id;cat_name;count
493;Дома культуры и клубы;478
495;Кинотеатры;41
498;Аттракционы в парках и на площадках;240
499;Организации, находящиеся в ведомственном подчинении Департамента жилищно-коммунального хозяйства города Москвы;29
500;Государственные казенные учреждения «Инженерные службы» районов города Москвы;120
501;(Архив) Аптеки;4121
502;Больницы детские и специализированные;15
503;Поликлиническая помощь взрослым;276
504;Госпитали для ветеранов;4
505;Поликлиническая помощь детям;208
506;Стоматологические поликлиники детские;40
507;Диспансеры;70
508;(Архив) Дома ребенка;8
509;Женские консультации;134
510;Санатории;21
512;Молочные кухни;250
514;Родильные дома;24
515;Станции переливания крови;18
516;Скорая и неотложная медицинская помощь;99
517;Больницы взрослые;45
518;Стоматологические поликлиники взрослые;67
519;Хосписы;9
520;(Архив) Паспортизация квартир в домах-новостройках, строительство которых выполнено за счет городского бюджета и по инвестиционным контрактам;1111
521;(Архив) Земельные участки, находящиеся в собственности города Москвы;7006
522;Рейтинг топ-100 должников арендной платы по договорам аренды земельных участков;100
526;Библиотеки;1104
527;Выставочные залы;54
528;Концертные организации;55
529;Музеи;209
530;Объекты культурного наследия;8316
531;Театры;83
535;(Архив) Вечерние школы;10
536;(Архив) Военно-патриотическое направление;92
537;(Архив) Учреждения высшего профессионального образования;46
538;(Архив) Гимназия;169
539;(Архив) Детские сады в составе школ (образовательные комплексы);876
540;(Архив) Детские сады;1925
541;(Архив) Детский сад комбинированного вида;481
542;(Архив) Детский сад компенсирующего вида;191
543;(Архив) Естественнонаучное направление;72
544;(Архив) Кадетские школы;9
545;(Архив) Кадетские школы-интернаты;25
546;(Архив) Колледжи;285
547;(Архив) Коррекционная начальная школа-детский сад;8
548;(Архив) Коррекционная общеобразовательная школа;29
549;(Архив) Коррекционная общеобразовательная школа-интернат;57
551;(Архив) Культурологическое направление;179
552;(Архив) Лицей;91
553;(Архив) Научно-техническое направление;147
554;(Архив) Начальная школа - детский сад компенсирующего вида;21
555;(Архив) Начальная школа - детский сад;21
556;(Архив) Образовательные учреждения города Москвы, реализующие программы среднего профессионального образования. Техникумы;27
557;(Архив) Прогимназия;28
559;(Архив) Санаторная школа-интернат;11
560;(Архив) Санаторно-лесная школа;5
561;(Архив) Социально-педагогическое направление;195
562;(Архив) Социально-экономическое направление;28
563;(Архив) Специальная общеобразовательная школа для детей и подростков с девиантным поведением;6
564;(Архив) Спортивно-техническое направление;93
565;(Архив) Средняя образовательная школа;1230
566;"(Архив) Средняя образовательная школа ""Школа Здоровья""";65
567;(Архив) Средняя образовательная школа с углубленным изучением отдельных предметов;267
568;(Архив) Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования;24
569;(Архив) Туристско-краеведческое направление;136
570;(Архив) Учебно-производственные комбинаты;6
572;(Архив) Физкультурно-спортивное направление;199
573;(Архив) Художественно-эстетическое направление;206
574;(Архив) Центр диагностики и консультирования;69
575;(Архив) Центр лечебной педагогики и дифференцированного обучения;4
576;(Архив) Центр образования;255
577;(Архив) Центр психолого-педагогической реабилитации и коррекции;17
578;(Архив) Центры повышения квалификации;2
579;(Архив) Центры психолого-медико-социального сопровождения;39
581;(Архив) Школы надомного обучения;13
582;(Архив) Школы, имеющие в своем составе детские сады (образовательные комплексы);876
583;(Архив) Школы-интернаты;22
584;(Архив) Школы-интернаты с углубленным изучением отдельных предметов;8
585;(Архив) Эколого-биологическое направление;116
586;Объекты розничной торговли и общественного питания, имеющие лицензию на розничную продажу алкогольной продукции с указанием срока ее действия;40413
587;Сезонные кафе при стационарных предприятиях общественного питания, расположенные на землях префектур;3204
588;(Архив) Объекты гаражного назначения ГУП «Дирекция гаражного строительства»;167
589;Органы записи актов гражданского состояния (структурные подразделения Управления ЗАГС Москвы);42
