Широта	Долгота	Наименование	Адрес	Категория	Подкатегория	Дата парсинга
61.79139	34.38311	Прибрежный парк Победы и Онежская набережная	Онежская набережная, Петрозаводск Россия	Развлечения	Зрелищные развлечения	2020-10-22
62.16969	34.29503	Церковь Успения Пресвятой Богородицы	ул. Кондопожская берег Кондопожской губы Онежского озера, Кондопога 186225 Россия	Развлечения	Музыка и искусство	2020-10-22
61.77827	34.36505	Дом куклы Татьяны Калининой	Набережная Ла-Рошель, 13, Петрозаводск 185030 Россия	Развлечения	Музыка и искусство	2020-10-22
61.995655	30.778648	Карельский зоопарк	Территория базы отдыха Черные Камни, Киркколахти 186758 Россия	Развлечения	Зрелищные развлечения	2020-10-22
61.54861	30.199429	Гора Филина	Лахденпохья Россия	Развлечения	Музыка и искусство	2020-10-22
61.780045	34.357864	Маленькая страна	Анохина, 1, Петрозаводск 185035 Россия	Непродовольственные магазины	Прочие товары	2020-10-22
61.7768	34.35877	Частная художественная галерея "Дом Куклы"	Набережная Ля Рошель, 13, Петрозаводск Россия	Непродовольственные магазины	Прочие товары	2020-10-22
61.753056	31.410482	Водопад Белые мосты	Питкяранта Россия	Развлечения	Зрелищные развлечения	2020-10-22
61.84524	34.36488	Ботанический Сад	Ботаническая, 40/1, Петрозаводск 185032 Россия	Развлечения	Зрелищные развлечения	2020-10-22
63.71995	34.32951	Topaz-Kola Hotel	P-21 Trassa, Сегежа 186424 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
61.38874	30.945503	Валаамский монастырь	о. Валаам, Валаам Россия	Развлечения	Музыка и искусство	2020-10-22
61.711178	30.725122	Исторический парк "Бастионъ"	Приозерная, 5, Сортавала 186790 Россия	Развлечения	Музыка и искусство	2020-10-22
61.705925	30.67832	Городской парк "Ваккосалми"	западная часть города, Сортавала Россия	Развлечения	Зрелищные развлечения	2020-10-22
61.787308	34.35352	Ягель	Ленина проспект, д. 28, Петрозаводск 185035 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.931538	30.594166	Апельсин	Сортавальское шоссе, 17а, Рускеала Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.78815	34.36534	Кавказ	пр. Ленина, 16, Петрозаводск 185035 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.679913	30.753351	Ресторан Ламберг	п. Ламберг, 44, Сортавала 186792 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.790863	34.365555	Артист	Ленина пр.,  15, Петрозаводск 185035 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.815235	34.1035	Вилга	Прионежское шоссе,1Б д.Вилга, Петрозаводск 185507 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.787685	34.352165	Хинкальная хаус	пр. Ленина, 26, Петрозаводск 185035 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
62.160267	30.679867	Кафе Янисмяки	пгт Вяртсиля Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
61.70121	30.689585	Акварель	ул.Суворова 1, Сортавала 186790 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
