Широта	Долгота	Наименование	Адрес	Категория	Подкатегория	Дата парсинга
54.962868	37.45793	Парк-отель "Воздвиженское"	Poselok Avangard пос. Д/О Авангард, Серпухов 142205 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
55.828484	37.389736	Гостиница Аквариум	65-66 км МКАД выставочный центр "Крокус –Экспо", Красногорск 143400 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
56.049526	36.829655	Яхонты Истра	ул. Песчаная, 2, Лечищево 143513 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
55.072807	38.85488	Гостиничный комплекс «40-й Меридиан Яхт-клуб»	ул. Береговая, вл. 48, Коломна 140413 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
56.310555	38.141624	Барские Полати	ул. Валовая, д. 2 Сергиев Посад, Сергиев Посад 141302 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
55.983494	37.594204	Оздоровительный комплекс "Клязьма"	п. Поведники 141044 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
55.107704	38.766518	Отель 40-й меридиан Арбат	Водовозный пер., 12, Коломна 140400 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
55.869465	38.001698	Загородный клуб "Медвежьи Озёра"	ул Берег озера, дом 1, Медвежьи Озера 141143 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
55.60601	37.28676	Aerosleep Capsule Hotel	2-я Рейсовая улица, дом 2, корпус 5 Vnukovo Airport , Terminal A, 3rd Floor, Внуково 119027 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
55.89994	38.51225	Яхонты Ногинск	Южнее деревни 1 км, Жилино 142402 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
56.129578	36.503635	Эко-отель Cosmos Collection Izumrudny Les Hotel	ул. Советская, 7, Денисово 141624 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
56.04153	36.864605	Истра Холидей	деревня Трусово, владение 2, Трусово 141534 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
55.879036	36.63831	Семейный парк-отель "Союз Истра" / Пансионат Союз Газпром	Кострово 143522 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
55.76127	37.657974	Остерия Марио	ул. Земляной Вал, 9, Москва 105064 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.856743	37.49256	Виа Романо	Лавочкина ул., 34, Москва 125581 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.730984	37.59343	Корейский ресторан Белый журавль и магазин	Фрунзенская набережная, д. 14/1, Москва 119146 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.76633	37.63205	Паста и баста	Сретенский б-р, д. 4 м. Чистые пруды, Москва 101000 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.754066	37.63613	Люди как люди	Солянский тупик, д. 1/4, Москва 109240 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.764748	37.607956	WE Pub	Козицкий переулок, 1A-2, Москва 125009 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.790466	37.74723	Ресторан "Гуси-Лебеди"	Измайловское ш., 71/3В, Москва 105187 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
56.31171	38.136574	Вареничная №9	ул. Карла Маркса, 7, Сергиев Посад 141315 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.782093	37.599693	Meat Puppets Bar & Meatarea	ул. Новослободская, 16 A, Москва 127055 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.756054	37.562016	Ухват	ул. Рочдельская, 15 стр. 41, Москва 123022 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.772636	37.621124	Кафе «Пироги Вино и Гусь»	Цветной бул., 23/1, Москва 127051 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.765057	37.620052	Пороселло	Неглинная 16/2 стр.4, Москва 125009 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.762768	37.595528	Мари Vanna	Спиридоньевский переулок, д. 10а, Москва 123104 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.763226	37.605206	Хачапури Тверская	Большой Гнездниковский переулок, 10, Москва 125009 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.758408	37.620716	SAVVA	Театральный пр-д, дом 2, Москва 109012 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.760063	37.621326	Ресторан-бар "Консерватория"	ул. Неглинная, 4 гостиница «Арарат Парк Хаятт Москва», 10 этаж, Москва 109012 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.76723	37.602036	Кафе Сценарио	ул. Тверская, 22В Дом Экономиста, Москва 125009 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.732334	37.628304	Обломов	1-й Монетчиковский пер., д. 5., Москва 115054 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.737724	37.593246	Аченти	Кропоткинский пер., 7, Москва 119034 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.755867	37.627502	Ресторан "5642 Высота"	Большой Черкасский пер., 15-17, стр. 1, Москва 109012 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.755013	37.560364	Шинок	ул. 1905 года, д. 2а, Москва 123022 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.73789	37.61886	Ресторан Абрамовъ	ул. Большая Полянка, 27, Москва 119180 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.763676	37.605003	Кафе ПушкинЪ	Тверской бульвар, 26A, Москва 125009 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.733376	37.643867	Бар "Сити Спейс"	Космодамианская набережная, д. 52/6 34-й этаж отеля "Swissotel Красные Холмы Москва", Москва 115054 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.770473	37.625454	Бар Италия	ул. Трубная, 26/1, Москва 127051 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.83679	38.40209	Ресторан Халиф	ул. Юбилейная, 6, Ногинск 142407 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.766605	37.63021	Китайская Грамота	ул. Сретенка, 1, Москва 107045 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
55.78437	37.4693	Brooklyn Pizza Pie	ул. Маршала Тухачевского, 41/1, Москва 123154 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
