Широта	Долгота	Наименование	Адрес	Категория	Подкатегория	Дата парсинга
56.325245	43.957684	Маринс Парк Отель	ул. Советская, 12, Нижний Новгород 603002 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
55.03206	43.234905	Дивеевская cлобода	Благовещенская площадь, стр. 1, Дивеево 603093 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.31135	43.990074	Гостиница Воробей	ул. Воровского, 3, Нижний Новгород Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.334583	43.85414	Зоопарк "Лимпопо"	ул. Ярошенко, 7Б, Нижний Новгород Россия	Развлечения	Зрелищные развлечения	2020-10-22
55.04896	43.24403	Отель Пилигрим	Гагарина, 51, Дивеево 607320 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.32943	43.993565	Мини-отель Salstory	Рождественская, 8, Нижний Новгород 603001 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.328625	43.990513	Бутик-отель "Рождественский дворик"	Рождественская ул., 20, Нижний Новгород 603001 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.25715	43.98078	Апарт-отель "Лондон - Париж"	Горная ул., 11, стр. 3, Нижний Новгород 603062 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.28495	43.929775	Гостиница "Заречная"	проспект Ленина, дом 36, Нижний Новгород 603076 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.31483	43.93271	Отель Майский сад	Зеленодольская ул., 19, Нижний Новгород 603002 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.36191	43.84043	Отель Бальмонт	Osetinskaya, 12, Нижний Новгород 603040 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.322113	43.999744	Отель Покровский Посад	Большая Покровская,  19Б, Нижний Новгород 603005 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.32634	43.99163	Мини-отель На Ильинке	пер. Крутой, д. 6В, Нижний Новгород 603109 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.32125	43.99885	Ярослав Hotel & Spa	ул.Большая Покровская 25, Нижний Новгород 603005 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.322495	44.00637	GAUCHO Bar.B.Q. & Grill	ул. Алексеевская, 10/16 6 этаж, Нижний Новгород 603005 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
56.32929	44.006466	Нижегородский государственный художественный музей	Кремль, 3 Inside Kremlin, Нижний Новгород 603082 Россия	Развлечения	Музыка и искусство	2020-10-22
56.32373	43.951	Бугров Хостел	ул. Советская, 20, Нижний Новгород 603002 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.24595	43.41611	БерЛога	Ленинского Комсомола проспект, 37, Дзержинск 606002 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.20906	43.75716	Стригино	Гнилицкая улица, д. 139, Нижний Новгород 603069 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.305122	43.99659	Отель Акварель	ул. Тимирязева, д. 3б, Нижний Новгород 603022 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.15726	47.39163	Усадьба Жемчужная	Левый берег реки Волга, Заволжье 428003 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.312946	43.991837	New House Mini-Hotel	ул. Новая, 15, Нижний Новгород 603000 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
55.04626	43.25625	Гостевой Дом Благовест	Улица Восточная,22, Дивеево 607320 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.31111	43.8138	отель Орион	Тепличная улица, д. 4, Нижний Новгород 603092 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.326775	44.009445	Гостиница Монарх	ул. Ульянова, д. 6в, Нижний Новгород 603005 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
55.0411	43.23988	Planeta	ul. Arzamasskaya, 62a, Дивеево 607320 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.3256	43.99595	У домика Петра отель	Почаинская улица, д. 14, Нижний Новгород 603001 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.210556	43.382244	Гостиница Ранчо 636	ш. Желнинское, д. 8, Дзержинск 606044 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
55.03723	43.25152	Гостиница Дивеево	Комсомольская ул., 4, Дивеево 607320 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.348507	43.92807	Гостиница Мещера	ул. Сергея Акимова, д. 56, Нижний Новгород 603159 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.32443	44.00281	Штолле	Минина и Пожарского площ., 2/2, Нижний Новгород 603005 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
56.32727	43.99598	Домино	Почаинский Овраг улица, д. 2, Нижний Новгород 603001 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.315147	43.987625	Отель ГОРКИ	ул. Маслякова, д. 16, Нижний Новгород 603000 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
55.39639	43.83122	Диана	ул. Калинина, д. 34а, Арзамас 607220 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
55.388416	43.817394	Отель "Реавиль"	ул. Карла Маркса, д. 10, Арзамас 607220 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.19372	43.372883	Загородный отель Чайка	Желнино 606044 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.325207	44.02343	Отель "Дипломат"	ул. Большая Печерская, 26 5 этаж, Нижний Новгород 603155 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.31316	44.07391	Гостиный дом 12 месяцев	ул. Цимлянская, д. 5, Нижний Новгород 603126 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.3246	44.00033	Никола Хаус	Пожарского улица, д. 18, Нижний Новгород 603005 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.660625	43.49347	Гостиница "Премьер Отель"	Садовая ул., 24, Городец 606500 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.323277	43.990097	Гостиница Сергиевская	ул. Сергиевская, д. 12, Нижний Новгород 603109 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
55.18939	44.12003	Shatkovskaya Inn	1 Mikrorayon, House 17, п. Шатки 607700 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.216393	43.934704	Guest House Argos Hotel	Ol'gino 16, Нижний Новгород 603137 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.328186	43.995674	Бэрри-хостел	Почаинская ул., 7А, Нижний Новгород 603001 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.21258	42.880486	Загородный клуб Ильдорф	ул. Приозерная ,д.1, Ильино 606090 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.32093	43.9299	Бизнес-отель Николь	Сормовское ш., д. 15а, Нижний Новгород 603074 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
55.03257	43.23059	Dom on Parkovaya 34	Parkovaya ulitsa 34, Дивеево 607320 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.29381	43.352875	Пыра М7	Московская 28, Пыра  606055 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.29195	43.99101	Beketoff	8A Ulitsa Beketova, Нижний Новгород 603057 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.52051	44.11596	Малиновая слобода	улица Слободка, дом 32в, Филипповское 606476 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.311943	43.99351	Отель Премьер	ул. Новая, д. 32, Нижний Новгород Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.31974	43.9799	Happy Holiday Hostel	ul. Grebeshkovskiy Otkos 9A, Нижний Новгород 603000 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.32689	43.98254	Мегаполис	ул. Рождественская, д. 47Д, Нижний Новгород 603001 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.32938	44.00878	Монами	Ул. Минина, 2/8/1А, Нижний Новгород 603005 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.33147	43.96801	Гостиница Шинель	ул. Стрелка, 4, Нижний Новгород 603086 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.328842	44.01359	Рокко	ул. Минина, д. 10б, Нижний Новгород 603005 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.330124	43.998573	Хостел "Хоум Хостел НН"	Ивановский съезд, 3 Бывшая ул. Рождественская, д.3, Нижний Новгород 603001 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.3305	43.998756	Отель "Серебряный ключ"	Рыбный пер., 8, Нижний Новгород 603001 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.045944	45.039852	Загородный отель "Парус"	ул. Нижняя Набережная, 2, Лысково 606210 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.325405	44.003483	Горький Отель	ул. Б.Покровская, 5/6, Нижний Новгород 603005 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.299953	43.59099	Мотель "Кросс Мотель"	Игумновское шоссе, здание 4, Дзержинск 606000 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.18413	43.81865	Отель Ключ	ул. Серебряный ключ, д.166 Sartakovo, Нижний Новгород 607635 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
55.04197	43.23932	Гостевой Дом "Странник"	ул. Труда, 5/3, Дивеево 607320 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.32852	44.01974	Гостиница Октябрьская	Верхне-Волжская наб., д. 9а, Нижний Новгород 603005 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
55.39102	43.81282	Дом паломника	ул. Советская, дом 2, Дивеево 607320 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.314262	43.95203	Отель Интернациональ	ул. Интернациональная, 96 А, Нижний Новгород 603002 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.94389	45.314045	Серая Лошадь	Канавинская, 3а, Нижний Новгород 603002 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.300827	44.030075	Отель Астра	ул. Гужевая, 48, Нижний Новгород 603105 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
55.40243	43.84176	Люкс	ул. Нижегородская д. 7б, Арзамас Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.322926	44.004253	Нижний Хостел	ул. Алексеевская, 13б, Нижний Новгород 603005 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.19631	43.84088	Спортивная деревня  Новинки	Окская, 19, п. Новинки 607635 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.29494	43.9753	Профсоюзная	пр. Гагарина, д. 25б, Нижний Новгород 603057 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.28969	44.08081	Мини-отель Александровская слобода	ул. Александровская Слобода, 3, Нижний Новгород 603000 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.801342	43.347427	Изумрудное	д. Большой Суходол, Городецкий район, Нижегордская область, Малый Суходол 603002 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
55.041397	43.240707	Монастырский Дворик	ул. Арзамасская, 6А, Дивеево Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.32952	43.99733	Гостевой Дом Чилаут	ул. Рождественская, 8"б" 2 подъезд, 3 этаж, Нижний Новгород Россия	Средства размещения	Гостиницы и санатории	2020-10-22
55.035007	43.241516	Guesthouse Pribrezhnyi	ulitsa Zariechnaia 260A, Дивеево 607320 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
55.41937	43.81242	Гостиница "Победа"	ул. Победы, д. 2, Арзамас 607220 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.222904	43.83593	Гостиница Русский Капитал	ул. Минеева, 29, Нижний Новгород 603018 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.30928	43.9261	Отель Династия	Спортивная, 13, Нижний Новгород 603010 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.787582	44.496643	Гостиница "Париж"	пл. Б. Корнилова, 2, Семенов 606650 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
55.40157	43.8322	Отель Коммерсант	ул.Парковая, д.1-г, Арзамас 607220 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.33171	43.96024	Ярмарочная	Должанская улица, д. 1А, Нижний Новгород 603086 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.325874	44.010548	Пешков Отель	ул. Ульянова, 7, Нижний Новгород 603005 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.2876	43.91436	мини-отель Яблоки	ул. Дружбы, 19а, Нижний Новгород 603000 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.349674	43.870937	Каскад Отель	ул. Щербакова, д.15, Нижний Новгород 603003 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.22582	43.83809	Отель "Атлантик"	ул. Минеева, 29/2, Нижний Новгород 603018 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.3289	43.99324	Гостиница Троицкая	пер. Вахитова, д. 8Б, Нижний Новгород 603093 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
56.31544	44.02732	Ока	Ошарская, 18, Нижний Новгород 603006 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
57.05762	45.26556	Дачный отель "Река чаек"	Подлысье 606710 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
