Широта	Долгота	Наименование	Адрес	Категория	Подкатегория	Дата парсинга
58.52076	31.27736	Новгородский кремль (детинец)	Софийская сторона, Великий Новгород Россия	Развлечения	Музыка и искусство	2020-10-22
58.53665	31.29189	Park Inn by Radisson	Студенческая улица, д. 2, Великий Новгород 173014 Россия	Средства размещения	Гостиницы и санатории	2020-10-22
57.99272	31.363125	Музей Северо-Западного фронта	ул. Володарского, 23, Старая Русса Россия	Развлечения	Музыка и искусство	2020-10-22
58.520397	31.269754	Туристский информационный центр Красная Изба	Сенная пл., 5, Великий Новгород 173007 Россия	Предоставление услуг	Турагенства	2020-10-22
58.524334	31.272139	Памятник Сергею Рахманинову	Кремлёвский парк, Великий Новгород Россия	Развлечения	Музыка и искусство	2020-10-22
58.51552	31.25947	Знаменский собор	ул. Ильина, Великий Новгород 173000 Россия	Развлечения	Музыка и искусство	2020-10-22
58.521385	31.269314	Кремлевский парк	Мерецкова-Волосова, 4, Великий Новгород 173007 Россия	Развлечения	Зрелищные развлечения	2020-10-22
58.39238	33.895287	Свято-Духов монастырь	ул. Александра Невского, 6, Боровичи Россия	Развлечения	Музыка и искусство	2020-10-22
58.521965	31.269768	Музей Изобразительных искусств	Победы-Софийская площадь, 2, Великий Новгород 173007 Россия	Развлечения	Музыка и искусство	2020-10-22
57.974846	33.254814	Музей колоколов	ул. Труда, 2A, Валдай 175400 Россия	Развлечения	Музыка и искусство	2020-10-22
58.51617	31.28572	Церковь Параскевы Пятницы на Торгу	Большая Московская, 5а/2, Великий Новгород 173000 Россия	Развлечения	Музыка и искусство	2020-10-22
58.57855	31.39145	Варлаамо-Хутынский женский монастырь	ул. Монастырская, д. 60, д. Хутынь 173011 Россия	Развлечения	Музыка и искусство	2020-10-22
58.52013	31.27445	Новгородский государственный объединенный музей-заповедник	Кремль территория, 4, Великий Новгород 173007 Россия	Развлечения	Музыка и искусство	2020-10-22
58.38579	33.90013	Спортивный Комплекс "Олимп"	Спасская площадь, Боровичи Россия	Развлечения	Активные развлечения	2020-10-22
58.519962	31.288021	Колобок	ул. Большая Московская, д. 28, Великий Новгород 173000 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.52378	31.285433	Диез	Фёдоровский ручей, 2/13, Великий Новгород 173004 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.530907	31.281057	Хурма	ул. Великая, 16, Великий Новгород Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.522186	31.268982	Чародейка	Мерецкова-Волосова,  1/1, Великий Новгород 173007 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.531532	31.23833	Клюква	Попова,  4/1, Великий Новгород 173025 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
57.990707	31.354809	кафе "Башня"	ул. Гостинодворская, 2, Старая Русса 175202 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
58.539185	31.300896	Паб Стейк Хаус "Oлдхэм"	ул. Большая Московская, д. 55, Великий Новгород 173023 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-22
