Широта	Долгота	Наименование	Адрес	Категория	Подкатегория	Дата парсинга
53.19275	50.088978	Набережная г. Самары	ул. Максима Горького, Самара Россия	Развлечения	Музыка и искусство	2020-10-23
53.202213	50.143837	Пармиджано	ул. Коммунистическая, 90, Самара 443013 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
53.31678	50.29671	Горнолыжный комплекс "СОК Красная Глинка"	3-й кварт., 37 стр. 1, Красная Глинка, Самара 443048 Россия	Развлечения	Зрелищные развлечения	2020-10-23
53.21021	50.11836	Памятник Григорию Засекину	Полевой спуск, Самара Россия	Развлечения	Музыка и искусство	2020-10-23
53.212227	50.14512	Музейно-выставочный центр Самара Космическая	пр-т. Ленина, д.21 метро Российская, Самара 443110 Россия	Развлечения	Музыка и искусство	2020-10-23
53.41976	50.02014	Дом-музей И.Е. Репина	ул. Советская, д. 14 поселок Ширяево, Жигулевск 445364 Россия	Развлечения	Музыка и искусство	2020-10-23
53.193558	50.09574	Музей-усадьба А.Н. Толстого	ул. Фрунзе, 155, Самара 443010 Россия	Развлечения	Музыка и искусство	2020-10-23
53.71425	49.75603	Свято-Троицкий храм	ул. Центральная, д. 35, с. Ташла 445132 Россия	Развлечения	Музыка и искусство	2020-10-23
53.11023	49.94768	Дубки	Суворова, 51, Новокуйбышевск 446200 Россия	Развлечения	Зрелищные развлечения	2020-10-23
53.19742	50.09355	Струковский сад	Красноармейская, 2, Самара 443010 Россия	Развлечения	Зрелищные развлечения	2020-10-23
53.19389	50.0888	Скульптурная композиция "Бурлаки на Волге"	ул. Максима Горького, 113, Самара 443099 Россия	Развлечения	Музыка и искусство	2020-10-23
53.47674	49.3658	Храм Успения Пресвятой Богородицы	Портпосёлок, Комсомольское шоссе, 2А, Тольятти 445003 Россия	Развлечения	Музыка и искусство	2020-10-23
53.50769	49.42256	Тольяттинский краеведческий музей	Ленина бульвар, д. 22, Тольятти 445021 Россия	Развлечения	Музыка и искусство	2020-10-23
53.204655	50.142708	Отель Городской	Мичурина, д.21, Самара 443110 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.23606	50.17344	Мини-отель "Вилла Классик "	ул. 3-я Просека, д. 132б, Самара 443011 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.18695	50.09903	Хачапурия	ул. Галактионовская, 39, Самара 443020 Россия	Кафе/бары/рестораны	Кафе/бары/рестораны	2020-10-23
53.217194	50.188652	Гостиница "Октябрьская"	Авроры улица, д. 209, Самара 443080 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.138714	49.29925	Парк-отель Васильевский	северо-западнее села Владимировка Samarskaya Luka, Безенчук 446233 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.54084	49.332085	Отель Шоколад	ул. Автостроителей, д. 11б/16, Тольятти 445031 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.618816	49.035374	Бутик-отель "Familia"	Садовая ул., 44, Ягодное, Тольятти 445144 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.208855	50.13145	Гостиница "Экватор"	ул. Ново-Садовая, 18, Самара 443110 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.232414	50.187363	Тренд Самара	8-ya Radialnaya ulitsa #6, Самара 443011 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.19307	50.08865	Велком Инн	ul. L'va Tolstogho 3, Самара 443099 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
53.210144	50.1622	Countries Hotel	ул. Николая Панова, 50, Самара 443056 Россия	Средства размещения	Гостиницы и санатории	2020-10-23
