с10_date,с1_region,с2_city,с3_category,с4_subcategory,с5_tags,с6_name,с7_adress,с8_latitude,с9_longitude
2020-10-22,Республика Карелия,Петрозаводск,Достопримечательности,Природа и парки,Парки,Прибрежный парк Победы и Онежская набережная,"Онежская набережная, Петрозаводск Россия",61.79139,34.38311
2020-10-22,Республика Карелия,Республика Карелия,Достопримечательности,Достопримечательности и культурные объекты,"Церкви и соборы,Архитектурные достопримечательности",Церковь Успения Пресвятой Богородицы,"ул. Кондопожская берег Кондопожской губы Онежского озера, Кондопога 186225 Россия",62.16969,34.29503
2020-10-22,Республика Карелия,Петрозаводск,Достопримечательности,Достопримечательности и культурные объекты,Культурные объекты и достопримечательности,Дом куклы Татьяны Калининой,"Набережная Ла-Рошель, 13, Петрозаводск 185030 Россия",61.77827,34.36505
2020-10-22,Республика Карелия,Киркколахти,Достопримечательности,Зоопарки и океанариумы,Зоопарки,Карельский зоопарк,"Территория базы отдыха Черные Камни, Киркколахти 186758 Россия",61.995655,30.778648
2020-10-22,Республика Карелия,Республика Карелия,Достопримечательности,Музеи,"Военные музеи,Исторические музеи",Гора Филина,Лахденпохья Россия,61.54861,30.199429
2020-10-22,Республика Карелия,Петрозаводск,Достопримечательности,Покупки,"Театры,Культурные объекты и достопримечательности,Художественные галереи",Маленькая страна,"Анохина, 1, Петрозаводск 185035 Россия",61.780045,34.357864
2020-10-22,Республика Карелия,Петрозаводск,Достопримечательности,Покупки,Художественные галереи,"Частная художественная галерея ""Дом Куклы""","Набережная Ля Рошель, 13, Петрозаводск Россия",61.7768,34.35877
2020-10-22,Республика Карелия,Питкяранта,Достопримечательности,Природа и парки,"Водоемы,Водопады",Водопад Белые мосты,Питкяранта Россия,61.753056,31.410482
2020-10-22,Республика Карелия,Петрозаводск,Достопримечательности,Природа и парки,Сады,Ботанический Сад,"Ботаническая, 40/1, Петрозаводск 185032 Россия",61.84524,34.36488
2020-10-22,Республика Карелия,Сегежа,Отели,,,Topaz-Kola Hotel,"P-21 Trassa, Сегежа 186424 Россия",63.71995,34.32951
