с10_date,с1_region,с2_city,с3_category,с4_subcategory,с5_tags,с6_name,с7_adress,с8_latitude,с9_longitude
2020-10-23,Московская Область,Серпухов,Отели,,,"Парк-отель ""Воздвиженское""","Poselok Avangard пос. Д/О Авангард, Серпухов 142205 Россия",54.962868,37.45793
2020-10-23,Московская Область,Красногорский район,Отели,,,Гостиница Аквариум,"65-66 км МКАД выставочный центр ""Крокус –Экспо"", Красногорск 143400 Россия",55.828484,37.389736
2020-10-23,Московская Область,Истринский район,Отели,,,Яхонты Истра,"ул. Песчаная, 2, Лечищево 143513 Россия",56.049526,36.829655
2020-10-23,Московская Область,Коломна,Отели,,,Гостиничный комплекс «40-й Меридиан Яхт-клуб»,"ул. Береговая, вл. 48, Коломна 140413 Россия",55.072807,38.85488
2020-10-23,Московская Область,Сергиево-Посадский район,Отели,,,Барские Полати,"ул. Валовая, д. 2 Сергиев Посад, Сергиев Посад 141302 Россия",56.310555,38.141624
2020-10-23,Московская Область,п. Поведники,Отели,,,"Оздоровительный комплекс ""Клязьма""",п. Поведники 141044 Россия,55.983494,37.594204
2020-10-23,Московская Область,Коломна,Отели,,,Отель 40-й меридиан Арбат,"Водовозный пер., 12, Коломна 140400 Россия",55.107704,38.766518
2020-10-23,Московская Область,Щелковский район,Отели,,,"Загородный клуб ""Медвежьи Озёра""","ул Берег озера, дом 1, Медвежьи Озера 141143 Россия",55.869465,38.001698
2020-10-23,Московская Область,Внуково,Отели,,,Aerosleep Capsule Hotel,"2-я Рейсовая улица, дом 2, корпус 5 Vnukovo Airport , Terminal A, 3rd Floor, Внуково 119027 Россия",55.60601,37.28676
2020-10-23,Московская Область,Ногинский район,Отели,,,Яхонты Ногинск,"Южнее деревни 1 км, Жилино 142402 Россия",55.89994,38.51225
2020-10-23,Московская Область,Клинский район,Отели,,,Эко-отель Cosmos Collection Izumrudny Les Hotel,"ул. Советская, 7, Денисово 141624 Россия",56.129578,36.503635
2020-10-23,Московская Область,Солнечногорский район,Отели,,,Истра Холидей,"деревня Трусово, владение 2, Трусово 141534 Россия",56.04153,36.864605
2020-10-23,Московская Область,Истринский район,Отели,,,"Семейный парк-отель ""Союз Истра"" / Пансионат Союз Газпром",Кострово 143522 Россия,55.879036,36.63831
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Остерия Марио,"ул. Земляной Вал, 9, Москва 105064 Россия",55.76127,37.657974
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Виа Романо,"Лавочкина ул., 34, Москва 125581 Россия",55.856743,37.49256
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Корейский ресторан Белый журавль и магазин,"Фрунзенская набережная, д. 14/1, Москва 119146 Россия",55.730984,37.59343
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Паста и баста,"Сретенский б-р, д. 4 м. Чистые пруды, Москва 101000 Россия",55.76633,37.63205
2020-10-23,Москва,Рестораны Москвы,Рестораны,,Кафе,Люди как люди,"Солянский тупик, д. 1/4, Москва 109240 Россия",55.754066,37.63613
2020-10-23,Москва,Рестораны Москвы,Рестораны,,Бар,WE Pub,"Козицкий переулок, 1A-2, Москва 125009 Россия",55.764748,37.607956
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,"Ресторан ""Гуси-Лебеди""","Измайловское ш., 71/3В, Москва 105187 Россия",55.790466,37.74723
2020-10-23,Московская Область,Сергиево-Посадский район,Рестораны,,,Вареничная №9,"ул. Карла Маркса, 7, Сергиев Посад 141315 Россия",56.31171,38.136574
2020-10-23,Москва,Рестораны Москвы,Рестораны,,Бар,Meat Puppets Bar & Meatarea,"ул. Новослободская, 16 A, Москва 127055 Россия",55.782093,37.599693
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Ухват,"ул. Рочдельская, 15 стр. 41, Москва 123022 Россия",55.756054,37.562016
2020-10-23,Москва,Рестораны Москвы,Рестораны,,Кафе,Кафе «Пироги Вино и Гусь»,"Цветной бул., 23/1, Москва 127051 Россия",55.772636,37.621124
2020-10-23,Москва,Рестораны Москвы,Рестораны,,"Бар,Кафе",Пороселло,"Неглинная 16/2 стр.4, Москва 125009 Россия",55.765057,37.620052
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Мари Vanna,"Спиридоньевский переулок, д. 10а, Москва 123104 Россия",55.762768,37.595528
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Хачапури Тверская,"Большой Гнездниковский переулок, 10, Москва 125009 Россия",55.763226,37.605206
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,SAVVA,"Театральный пр-д, дом 2, Москва 109012 Россия",55.758408,37.620716
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,"Ресторан-бар ""Консерватория""","ул. Неглинная, 4 гостиница «Арарат Парк Хаятт Москва», 10 этаж, Москва 109012 Россия",55.760063,37.621326
2020-10-23,Москва,Рестораны Москвы,Рестораны,,Бар,Кафе Сценарио,"ул. Тверская, 22В Дом Экономиста, Москва 125009 Россия",55.76723,37.602036
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Обломов,"1-й Монетчиковский пер., д. 5., Москва 115054 Россия",55.732334,37.628304
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Аченти,"Кропоткинский пер., 7, Москва 119034 Россия",55.737724,37.593246
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,"Ресторан ""5642 Высота""","Большой Черкасский пер., 15-17, стр. 1, Москва 109012 Россия",55.755867,37.627502
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Шинок,"ул. 1905 года, д. 2а, Москва 123022 Россия",55.755013,37.560364
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Ресторан Абрамовъ,"ул. Большая Полянка, 27, Москва 119180 Россия",55.73789,37.61886
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Кафе ПушкинЪ,"Тверской бульвар, 26A, Москва 125009 Россия",55.763676,37.605003
2020-10-23,Москва,Рестораны Москвы,Рестораны,,Бар,"Бар ""Сити Спейс""","Космодамианская набережная, д. 52/6 34-й этаж отеля ""Swissotel Красные Холмы Москва"", Москва 115054 Россия",55.733376,37.643867
2020-10-23,Москва,Рестораны Москвы,Рестораны,,Бар,Бар Италия,"ул. Трубная, 26/1, Москва 127051 Россия",55.770473,37.625454
2020-10-23,Московская Область,Ногинск,Рестораны,,,Ресторан Халиф,"ул. Юбилейная, 6, Ногинск 142407 Россия",55.83679,38.40209
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Китайская Грамота,"ул. Сретенка, 1, Москва 107045 Россия",55.766605,37.63021
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Brooklyn Pizza Pie,"ул. Маршала Тухачевского, 41/1, Москва 123154 Россия",55.78437,37.4693
2020-10-23,Москва,Рестораны Москвы,Рестораны,,"Быстрые перекусы,Бар",PIVBAR,"ул. 1-я Тверская-Ямская, 2/1, Москва Россия",55.769787,37.597187
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Кафе Натахтари,"ул. Маросейка, 6/8 стр.1, Москва 101000 Россия",55.75757,37.63506
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Black Thai,"Большой Путинковский переулок, 5, Москва Россия",55.766968,37.607494
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Баба Марта,"Гоголевский бульвар, д. 8 стр. 2 м. Кропоткинская, Москва 119019 Россия",55.746086,37.600624
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Twins Garden,"Страстной бульвар, 8А, Москва 125009 Россия",55.766186,37.61051
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Ресторан Bjorn,"ул. Пятницкая., 3/4, Москва 115035 Россия",55.74546,37.627243
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Па-Паэлья,"Банковский пер., 5, Москва 101000 Россия",55.762196,37.635006
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Турандот Ресторан,"Тверской бульвар, 26/3, Москва 125009 Россия",55.763187,37.604588
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,AQ Kitchen,"ул. Большая Грузинская, 69, Москва 123056 Россия",55.774006,37.586792
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Ритц-Карлтон Бар и Лобби Лаунж,"Тверская ул., 3, Москва 125009 Россия",55.757282,37.61306
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Эларджи,"Гагаринский переулок, д. 15а (м. Кропоткинская), Москва 119034 Россия",55.74458,37.59582
2020-10-23,Москва,Рестораны Москвы,Рестораны,,"Бар,Гастропаб",Косой Маркс,"ул. Таганская, 1/1, Москва 109147 Россия",55.741558,37.65629
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Рыбный базар,"Трехпрудный пер., д. 10/2, Москва 123001 Россия",55.765625,37.597504
2020-10-23,Москва,Рестораны Москвы,Рестораны,,"Бар,Гастропаб",Балалаечная,"Арбат 23, Москва 119002 Россия",55.750534,37.595207
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Dodici Wine & Kitchen,"ул. Остоженка, 14/2, Москва 119021 Россия",55.741917,37.59876
2020-10-23,Москва,Рестораны Москвы,Рестораны,,Кафе,Saperavi Cafe,"ул. Покровка, 5, Москва 101000 Россия",55.75864,37.640797
2020-10-23,Москва,Рестораны Москвы,Рестораны,,Кафе,Молоко,"Большая Дмитровка ул., 7/5 стр. 5, Москва 125009 Россия",55.76118,37.61475
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Ача-чача,"Ленинградский проспект, д, 9Б, стр.1, Москва 125124 Россия",55.780807,37.575
2020-10-23,Московская Область,Сергиево-Посадский район,Рестораны,,Кафе,Кафе Пиросмани,"проспект Красной Армии, 138/2, Сергиев Посад 141310 Россия",56.31136,38.13492
2020-10-23,Москва,Рестораны Москвы,Рестораны,,Кафе,Суп кафе,"1-я Брестская ул., 62, Москва 125047 Россия",55.775192,37.585155
2020-10-23,Москва,Рестораны Москвы,Рестораны,,,Fresh,"ул. Б. Дмитровка, д. 11, Москва 125009 Россия",55.761936,37.613705
2020-10-23,Москва,Рестораны Москвы,Рестораны,,Кафе,Vogue Cafe,"ул. Кузнецкий Мост, 7/9, Москва 107031 Россия",55.761574,37.61981
