с10_date,с1_region,с2_city,с3_category,с4_subcategory,с5_tags,с6_name,с7_adress,с8_latitude,с9_longitude
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Маринс Парк Отель,"ул. Советская, 12, Нижний Новгород 603002 Россия",56.325245,43.957684
2020-10-22,Нижегородская область,Дивеево,Отели,,,Дивеевская cлобода,"Благовещенская площадь, стр. 1, Дивеево 603093 Россия",55.03206,43.234905
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Гостиница Воробей,"ул. Воровского, 3, Нижний Новгород Россия",56.31135,43.990074
2020-10-22,Нижегородская область,Нижний Новгород,Достопримечательности,Зоопарки и океанариумы,Зоопарки,"Зоопарк ""Лимпопо""","ул. Ярошенко, 7Б, Нижний Новгород Россия",56.334583,43.85414
2020-10-22,Нижегородская область,Дивеево,Отели,,,Отель Пилигрим,"Гагарина, 51, Дивеево 607320 Россия",55.04896,43.24403
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Мини-отель Salstory,"Рождественская, 8, Нижний Новгород 603001 Россия",56.32943,43.993565
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,"Бутик-отель ""Рождественский дворик""","Рождественская ул., 20, Нижний Новгород 603001 Россия",56.328625,43.990513
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,"Апарт-отель ""Лондон - Париж""","Горная ул., 11, стр. 3, Нижний Новгород 603062 Россия",56.25715,43.98078
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,"Гостиница ""Заречная""","проспект Ленина, дом 36, Нижний Новгород 603076 Россия",56.28495,43.929775
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Отель Майский сад,"Зеленодольская ул., 19, Нижний Новгород 603002 Россия",56.31483,43.93271
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Отель Бальмонт,"Osetinskaya, 12, Нижний Новгород 603040 Россия",56.36191,43.84043
2020-10-22,Нижегородская область,Нижний Новгород,Отели,,,Отель Покровский Посад,"Большая Покровская,  19Б, Нижний Новгород 603005 Россия",56.322113,43.999744
