с10_date,с1_region,с2_city,с3_category,с4_subcategory,с5_tags,с6_name,с7_adress,с8_latitude,с9_longitude
2020-10-22,Новгородская область,Великий Новгород,Достопримечательности,Достопримечательности и культурные объекты,Исторические места для прогулок,Новгородский кремль (детинец),"Софийская сторона, Великий Новгород Россия",58.52076,31.27736
2020-10-22,Новгородская область,Великий Новгород,Отели,,,Park Inn by Radisson,"Студенческая улица, д. 2, Великий Новгород 173014 Россия",58.53665,31.29189
2020-10-22,Новгородская область,Старая Русса,Достопримечательности,Музеи,"Специализированные музеи,Исторические музеи,Военные музеи",Музей Северо-Западного фронта,"ул. Володарского, 23, Старая Русса Россия",57.99272,31.363125
2020-10-22,Новгородская область,Великий Новгород,Достопримечательности,Ресурсы для путешественников,Туристические центры,Туристский информационный центр Красная Изба,"Сенная пл., 5, Великий Новгород 173007 Россия",58.520397,31.269754
2020-10-22,Новгородская область,Великий Новгород,Достопримечательности,Достопримечательности и культурные объекты,"Культурные объекты и достопримечательности,Памятники и статуи",Памятник Сергею Рахманинову,"Кремлёвский парк, Великий Новгород Россия",58.524334,31.272139
2020-10-22,Новгородская область,Великий Новгород,Достопримечательности,Достопримечательности и культурные объекты,Архитектурные достопримечательности,Знаменский собор,"ул. Ильина, Великий Новгород 173000 Россия",58.51552,31.25947
2020-10-22,Новгородская область,Великий Новгород,Достопримечательности,Природа и парки,Парки,Кремлевский парк,"Мерецкова-Волосова, 4, Великий Новгород 173007 Россия",58.521385,31.269314
2020-10-22,Новгородская область,Новгородская область,Достопримечательности,Достопримечательности и культурные объекты,Церкви и соборы,Свято-Духов монастырь,"ул. Александра Невского, 6, Боровичи Россия",58.39238,33.895287
2020-10-22,Новгородская область,Великий Новгород,Достопримечательности,Музеи,Специализированные музеи,Музей Изобразительных искусств,"Победы-Софийская площадь, 2, Великий Новгород 173007 Россия",58.521965,31.269768
2020-10-22,Новгородская область,Валдай,Достопримечательности,Музеи,Специализированные музеи,Музей колоколов,"ул. Труда, 2A, Валдай 175400 Россия",57.974846,33.254814
2020-10-22,Новгородская область,Великий Новгород,Достопримечательности,Достопримечательности и культурные объекты,"Исторические музеи,Церкви и соборы",Церковь Параскевы Пятницы на Торгу,"Большая Московская, 5а/2, Великий Новгород 173000 Россия",58.51617,31.28572
2020-10-22,Новгородская область,д. Хутынь,Достопримечательности,Достопримечательности и культурные объекты,Культурные объекты и достопримечательности,Варлаамо-Хутынский женский монастырь,"ул. Монастырская, д. 60, д. Хутынь 173011 Россия",58.57855,31.39145
2020-10-22,Новгородская область,Великий Новгород,Достопримечательности,Музеи,Специализированные музеи,Новгородский государственный объединенный музей-заповедник,"Кремль территория, 4, Великий Новгород 173007 Россия",58.52013,31.27445
2020-10-22,Новгородская область,Новгородская область,Достопримечательности,Развлечения и игры,Спортивные комплексы,"Спортивный Комплекс ""Олимп""","Спасская площадь, Боровичи Россия",58.38579,33.90013
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,"Кафе,Фастфуд",Колобок,"ул. Большая Московская, д. 28, Великий Новгород 173000 Россия",58.519962,31.288021
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Диез,"Фёдоровский ручей, 2/13, Великий Новгород 173004 Россия",58.52378,31.285433
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,Бар,Хурма,"ул. Великая, 16, Великий Новгород Россия",58.530907,31.281057
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,Бар,Чародейка,"Мерецкова-Волосова,  1/1, Великий Новгород 173007 Россия",58.522186,31.268982
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Клюква,"Попова,  4/1, Великий Новгород 173025 Россия",58.531532,31.23833
2020-10-22,Новгородская область,Старая Русса,Рестораны,,Бар,"кафе ""Башня""","ул. Гостинодворская, 2, Старая Русса 175202 Россия",57.990707,31.354809
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,Бар,"Паб Стейк Хаус ""Oлдхэм""","ул. Большая Московская, д. 55, Великий Новгород 173023 Россия",58.539185,31.300896
2020-10-22,Новгородская область,Валдай,Рестораны,,,Подворье,"Выскодно 1 ул.,, Валдай Россия",57.956802,33.254616
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Семейное кафе Гурметто,"Ломоносова 37, Великий Новгород 173023 Россия",58.54319,31.24386
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,Кафе,Кафе Остров Черепах,"ул. Мерецкова-Волосова, 6, Великий Новгород 173007 Россия",58.518517,31.271564
2020-10-22,Новгородская область,Валдай,Рестораны,,,"Рыбный Ресторан ""Клевое Место""","396 км. от Москвы по трассе м10/e105. Поворт направо по указателю ""Долгие Бороды"". Ориентир - пост ГАИ, на ~8 километре поворот направо по указателю «Клёвое Место», Валдай 175400 Россия",58.035717,33.25659
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Усадьба,"ул. Фёдоровский ручей, д. 6, Великий Новгород 173004 Россия",58.5229,31.28512
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Васаби,"ул. Большая Санкт-Петербургская, д. 23, Великий Новгород 173003 Россия",58.531746,31.269108
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Державный,"ул. Газон, д. 5/2, Великий Новгород 173000 Россия",58.524773,31.272104
2020-10-22,Новгородская область,Боровичский район,Рестораны,,,Олимп,"Спасская площадь, 4, Боровичи 174411 Россия",58.38585,33.89966
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Галерея,"Студенческая ул., 2, Великий Новгород 173014 Россия",58.53638,31.29192
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Барашки,"Попова, 2/22, Великий Новгород 173000 Россия",58.53172,31.240257
2020-10-22,Новгородская область,Боровичский район,Рестораны,,,Любимая Чашка,"ул.Подбельского, 6, Боровичи 174411 Россия",58.39107,33.91287
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Ресторанный комплекс MAY,"ул. Троицкая, д.3, Великий Новгород 173007 Россия",58.51638,31.273941
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Скатерть-Самобранка,"ул. Большая Санкт-Петербургская, 95\1, Великий Новгород 173000 Россия",58.559475,31.273691
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,ВГости,"Большая Московская улица, 126, Великий Новгород 173020 Россия",58.549824,31.310352
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Золотой ковш,"Новолучанская, 14, Великий Новгород 173001 Россия",58.52508,31.27169
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Додо пицца,"ул. Чудинцева, 11/62, Великий Новгород 173007 Россия",58.52344,31.26274
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,Кафе,Акрон,"Предтеченская, 24, Великий Новгород 173007 Россия",58.52711,31.27083
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,На Старом Рынке,"Михайлова, 3, Великий Новгород 173000 Россия",58.515377,31.285954
2020-10-22,Новгородская область,Старая Русса,Рестораны,,Кафе,Полисть,"ул.Энгельса, д.20, Старая Русса Россия",57.99125,31.361082
2020-10-22,Новгородская область,Зайцево,Рестораны,,,Зайцева гора,"ул. Центральная, 139, Зайцево 175453 Россия",58.36844,32.0666
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,Кафе,Борщи,"Большая Санкт-Петербургская, 5/1, Великий Новгород 173001 Россия",58.52589,31.27429
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,My Kitchen,"ул. Большая Московская, 52/9, Великий Новгород 173000 Россия",58.52569,31.292025
2020-10-22,Новгородская область,Старая Русса,Рестораны,,Кафе,SOVA,"Тимура Фрунзе,  д.4а, Старая Русса 175204 Россия",57.99161,31.359343
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Скорофуд  Еда&Мьюзик БугиВуги,"Кочетова 1А, Великий Новгород Россия",58.546425,31.23075
2020-10-22,Новгородская область,Боровичский район,Рестораны,,,Пельменная,"ул. Подбельского, 13, Боровичи Россия",58.39063,33.91183
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,"Пицерия ""Джойя""","ул. Великая, д. 11/10 изменение  сайта, Великий Новгород 173001 Россия",58.52632,31.2806
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,"Бар,Паб",Милена,"Великая, 3, Великий Новгород 173001 Россия",58.52632,31.2806
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Веснянка,"Большая Санкт-Петербургская, 9, Великий Новгород 173001 Россия",58.52589,31.27429
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,На Солнце,"Студенческая, 2, Великий Новгород 173014 Россия",58.53655,31.29171
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Столовка,"Набережная реки Гзень, 5, Великий Новгород 173003 Россия",58.53342,31.2695
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Terraza,"ул. Великая, д. 14а, Великий Новгород 173001 Россия",58.529453,31.284264
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,"Акрополь ""ГИРОС""","ул. Большая Санкт-Петербургская, 26, Великий Новгород 173003 Россия",58.52589,31.27429
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,ПерSона,"улица Батецкая, 22, Великий Новгород 173015 Россия",58.51422,31.250275
2020-10-22,Новгородская область,Долгий Мост,Рестораны,,,Cafe Voyage,"M-10, Moscow - Saint Petersburg Hwy., 451 km, Долгий Мост 606860 Россия",58.27994,32.447388
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Турецкий DonaR,"Большая Московская, 25, Великий Новгород 173004 Россия",58.51617,31.28572
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,Фастфуд,Бавария,"Большая Санкт-Петербургская, 21, Великий Новгород 173001 Россия",58.52589,31.27429
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,"Бар,Паб",Лофт бар «ДОМ БЫТА»,"Набережная реки Гзень, 5, Великий Новгород 173003 Россия",58.537083,31.271221
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Bar XXX,"Александра Корсунова проспект, 14a, Великий Новгород 173000 Россия",58.545563,31.245146
2020-10-22,Новгородская область,Боровичский район,Рестораны,,,Летний сад,"Проезд Гагарина, 4, Боровичи 174411 Россия",58.38763,33.90541
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Шкипер,"Студенческая, 2а, Великий Новгород 173020 Россия",58.53638,31.29192
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Кафе на Великой,"ул. Великая, д. 23, Великий Новгород Россия",58.53879,31.27152
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,"Кафе ""ПАПОРОТНИК""","Нехинская, 8, Великий Новгород 173021 Россия",58.524178,31.241968
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Ресторан Русская Душа,"наб. Александра Невского, 22/1, Великий Новгород 173000 Россия",58.520763,31.282722
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Арго,"Набережная Александра Невского, 28, Великий Новгород 173004 Россия",58.5236,31.28569
2020-10-22,Новгородская область,Валдай,Рестораны,,,Флагман,"Советский Проспект, 27, Валдай 175400 Россия",57.97353,33.25793
2020-10-22,Новгородская область,Великий Новгород,Рестораны,,,Чайная Ложка,"Великая, 22а, Великий Новгород 173003 Россия",58.52632,31.2806
