с10_date,с1_region,с2_city,с3_category,с4_subcategory,с5_tags,с6_name,с7_adress,с8_latitude,с9_longitude
2020-10-23,Самарская область,Самара,Достопримечательности,Достопримечательности и культурные объекты,"Больше,Обзорные площадки,Культурные объекты и достопримечательности,Фонтаны,Прогулки по живописной местности, ",Набережная г. Самары,"ул. Максима Горького, Самара Россия",53.19275,50.088978
2020-10-23,Самарская область,Самара,Рестораны,,,Пармиджано,"ул. Коммунистическая, 90, Самара 443013 Россия",53.202213,50.143837
2020-10-23,Самарская область,Самарская область,Достопримечательности,Природа и парки,Зоны катания на горных лыжах и сноубордах,"Горнолыжный комплекс ""СОК Красная Глинка""","3-й кварт., 37 стр. 1, Красная Глинка, Самара 443048 Россия",53.31678,50.29671
2020-10-23,Самарская область,Самара,Достопримечательности,Достопримечательности и культурные объекты,"Памятники и статуи,Культурные объекты и достопримечательности",Памятник Григорию Засекину,"Полевой спуск, Самара Россия",53.21021,50.11836
2020-10-23,Самарская область,Самара,Достопримечательности,Музеи,Специализированные музеи,Музейно-выставочный центр Самара Космическая,"пр-т. Ленина, д.21 метро Российская, Самара 443110 Россия",53.212227,50.14512
2020-10-23,Самарская область,Жигулевск,Достопримечательности,Музеи,Специализированные музеи,Дом-музей И.Е. Репина,"ул. Советская, д. 14 поселок Ширяево, Жигулевск 445364 Россия",53.41976,50.02014
2020-10-23,Самарская область,Самара,Достопримечательности,Музеи,Исторические музеи,Музей-усадьба А.Н. Толстого,"ул. Фрунзе, 155, Самара 443010 Россия",53.193558,50.09574
2020-10-23,Самарская область,Самарская область,Достопримечательности,Достопримечательности и культурные объекты,Церкви и соборы,Свято-Троицкий храм,"ул. Центральная, д. 35, с. Ташла 445132 Россия",53.71425,49.75603
2020-10-23,Самарская область,Новокуйбышевск,Достопримечательности,Природа и парки,Парки,Дубки,"Суворова, 51, Новокуйбышевск 446200 Россия",53.11023,49.94768
2020-10-23,Самарская область,Самара,Достопримечательности,Природа и парки,Парки,Струковский сад,"Красноармейская, 2, Самара 443010 Россия",53.19742,50.09355
2020-10-23,Самарская область,Самара,Достопримечательности,Достопримечательности и культурные объекты,Культурные объекты и достопримечательности,"Скульптурная композиция ""Бурлаки на Волге""","ул. Максима Горького, 113, Самара 443099 Россия",53.19389,50.0888
2020-10-23,Самарская область,Тольятти,Достопримечательности,Достопримечательности и культурные объекты,"Священные места и религиозные достопримечательности,Архитектурные достопримечательности",Храм Успения Пресвятой Богородицы,"Портпосёлок, Комсомольское шоссе, 2А, Тольятти 445003 Россия",53.47674,49.3658
2020-10-23,Самарская область,Тольятти,Достопримечательности,Музеи,Специализированные музеи,Тольяттинский краеведческий музей,"Ленина бульвар, д. 22, Тольятти 445021 Россия",53.50769,49.42256
2020-10-23,Самарская область,Самара,Отели,,,Отель Городской,"Мичурина, д.21, Самара 443110 Россия",53.204655,50.142708
2020-10-23,Самарская область,Самара,Отели,,,"Мини-отель ""Вилла Классик ""","ул. 3-я Просека, д. 132б, Самара 443011 Россия",53.23606,50.17344
2020-10-23,Самарская область,Самара,Рестораны,,,Хачапурия,"ул. Галактионовская, 39, Самара 443020 Россия",53.18695,50.09903
2020-10-23,Самарская область,Самара,Отели,,,"Гостиница ""Октябрьская""","Авроры улица, д. 209, Самара 443080 Россия",53.217194,50.188652
2020-10-23,Самарская область,Безенчук,Отели,,,Парк-отель Васильевский,"северо-западнее села Владимировка Samarskaya Luka, Безенчук 446233 Россия",53.138714,49.29925
2020-10-23,Самарская область,Тольятти,Отели,,,Отель Шоколад,"ул. Автостроителей, д. 11б/16, Тольятти 445031 Россия",53.54084,49.332085
2020-10-23,Самарская область,Тольятти,Отели,,,"Бутик-отель ""Familia""","Садовая ул., 44, Ягодное, Тольятти 445144 Россия",53.618816,49.035374
2020-10-23,Самарская область,Самара,Отели,,,"Гостиница ""Экватор""","ул. Ново-Садовая, 18, Самара 443110 Россия",53.208855,50.13145
2020-10-23,Самарская область,Самара,Отели,,,Тренд Самара,"8-ya Radialnaya ulitsa #6, Самара 443011 Россия",53.232414,50.187363
2020-10-23,Самарская область,Самара,Отели,,,Велком Инн,"ul. L'va Tolstogho 3, Самара 443099 Россия",53.19307,50.08865
2020-10-23,Самарская область,Самара,Отели,,,Countries Hotel,"ул. Николая Панова, 50, Самара 443056 Россия",53.210144,50.1622
2020-10-23,Самарская область,Самара,Отели,,,Веструм Отель,"ул. Комсомольская, д.7, Самара 443099 Россия",53.182484,50.077633
2020-10-23,Самарская область,Самара,Отели,,,Гостиница Моя Глинка,"35, Квартал 2, Красная Глинка, Самара 443048 Россия",53.386295,50.171688
2020-10-23,Самарская область,Сызрань,Отели,,,"Гостиница ""У Кремля""","Советская улица, д. 1, лит.  А, Сызрань 446001 Россия",53.147316,48.454613
2020-10-23,Самарская область,Самара,Отели,,,Отель Меридиан,"ул. Революционная, 3, Самара 443086 Россия",53.216854,50.163113
2020-10-23,Самарская область,Самара,Отели,,,Отель Граф Орлов,"ул. Куйбышева, д. 88, Самара 443099 Россия",53.18917,50.088783
2020-10-23,Самарская область,Самара,Отели,,,Отель Ренессанс Самара,"ул. Ново-Садовая, д. 162в, Самара 443011 Россия",53.23132,50.178455
2020-10-23,Самарская область,Тольятти,Рестораны,,,"Бар ""Фрау Гретта""","ул. Свердлова, 1, Тольятти 445039 Россия",53.52478,49.32082
