с0_id,с10_date,с1_region,с2_city,с3_category,с4_subcategory,с5_tags,с6_name,с7_adress,с8_latitude,с9_longitude
10004865,2020-12-15,Калининградская область,Балтийск,Достопримечательности,Достопримечательности и культурные объекты,"Города-призраки, ,Исторические достопримечательности,Загадочные места,Больше,Исторические места для прогулок,Военные базы и объекты",Заброшенный военный аэродром Нойтиф,"Балтийская коса, Балтийск Россия",54.62629,19.884733
1566920,2020-12-15,Калининградская область,Калининград,Достопримечательности,Достопримечательности и культурные объекты,Культурные объекты и достопримечательности,Куршская коса,"98-километровый полуостровной национальный парк Куршская коса Клайпеда - Лесное, Калининград 238535 Россия",55.222794,20.888557
4891465,2020-12-15,Калининградская область,Калининградская область,Достопримечательности,Достопримечательности и культурные объекты,"Специализированные музеи,Культурные объекты и достопримечательности",Мурариум арт-коллекция кошек,"ул. Саратовская, 2A, Зеленоградск 238326 Россия",54.95981,20.482439
8445112,2020-12-15,Калининградская область,Калининград,Достопримечательности,Достопримечательности и культурные объекты,"Военные базы и объекты,Исторические достопримечательности,Культурные объекты и достопримечательности",Форт № 11 Денхофф,"ул. Энергетиков, Калининград Россия",54.65698,20.567411
10712660,2020-12-15,Калининградская область,Калининградская область,Достопримечательности,Достопримечательности и культурные объекты,"Памятники и статуи,Культурные объекты и достопримечательности",Макет средневекового Кёнигсберга,"пер. Гофмана, Светлогорск Россия",54.9406,20.14558
7788074,2020-12-15,Калининградская область,Янтарный,Достопримечательности,Достопримечательности и культурные объекты,"Пляжи,Культурные объекты и достопримечательности",Пляжный променад,"Парк им. Беккера, Янтарный Россия",54.86709,19.933529
544631,2020-12-15,Калининградская область,Калининград,Достопримечательности,Музеи,Специализированные музеи,Подводная лодка-музей Б-413,"наб. Петра Великого, 1, Калининград 236006 Россия",54.706543,20.493921
7113646,2020-12-15,Калининградская область,Калининградская область,Достопримечательности,Достопримечательности и культурные объекты,Культурные объекты и достопримечательности,Набережная Светлогорска,Светлогорск Россия,54.946114,20.150866
7790798,2020-12-15,Калининградская область,Балтийск,Достопримечательности,Достопримечательности и культурные объекты,"Прогулки по живописной местности,Культурные объекты и достопримечательности",Набережная Балтийска,Балтийск Россия,54.645172,19.878536
544640,2020-12-15,Калининградская область,Калининград,Достопримечательности,Достопримечательности и культурные объекты,Церкви и соборы,Кафедральный Собор,"ул. Канта, 1, Калининград 236006 Россия",54.70638,20.51218
8365225,2020-12-15,Калининградская область,Калининградская область,Достопримечательности,Природа и парки,"Водоемы,Парки",Озеро Тихое,"Калининградский пр., Светлогорск Россия",54.94058,20.14232
7790910,2020-12-15,Калининградская область,Балтийск,Достопримечательности,Достопримечательности и культурные объекты,Памятники и статуи,Памятник императрице Елизавете Петровне,"На северной части Балтийской косы, Балтийск Россия",54.64656,19.876127
544635,2020-12-15,Калининградская область,Калининград,Достопримечательности,Музеи,"Специализированные музеи,Научные музеи",Музей Мирового океана,"Набережная Петра Великого, д. 1, Калининград 236006 Россия",54.706516,20.499763
3759446,2020-12-15,Калининградская область,Орловка,Рестораны,,Бар,Нессельбек,"ул. Центральная, д. 7, Орловка 238324 Россия",54.793095,20.533636
7202794,2020-12-15,Калининградская область,Калининградская область,Достопримечательности,Достопримечательности и культурные объекты,Культурные объекты и достопримечательности,Зеленоградский променад,Зеленоградск Россия,54.961884,20.475197
14407101,2020-12-15,Калининградская область,Калининград,Отели,,,Константа,"ул. Северная,12 Ленинградский р-н, Калининград 236029 Россия",54.75262,20.49961
12715269,2020-12-15,Калининградская область,Калининград,Отели,,,Апартаменты на Арсенальной,"ул. Арсенальная, 3, Калининград 236029 Россия",54.745117,20.545086
6959076,2020-12-15,Калининградская область,Калининград,Отели,,,Отель RiverSide,"ул. Ялтинская, 20А, Калининград Россия",54.705914,20.543066
2696561,2020-12-15,Калининградская область,Калининград,Отели,,,Гостиница Обертайх Люкс,"ул. Гоголя, д. 17, Калининград 236008 Россия",54.732037,20.522657
6855298,2020-12-15,Калининградская область,Зеленоградский район,Отели,,,Зеленоградск Спа отель,"Ул. Юрия Гагарина, 41В, Зеленоградск 238530 Россия",54.954777,20.456139
300437,2020-12-15,Калининградская область,Калининград,Отели,,,Гостиница Калининград,"Ленинский проспект, 81, Калининград 236006 Россия",54.711956,20.509604
2342808,2020-12-15,Калининградская область,Зеленоградский район,Отели,,,Отель Априори,"ул. Гагарина, 24A, Зеленоградск 238530 Россия",54.95641,20.458958
3405813,2020-12-15,Калининградская область,Янтарный,Отели,,,Шлосс Отель,"ул. Советская, д. 68, Янтарный 238580 Россия",54.866764,19.93779
14969714,2020-12-15,Калининградская область,Советск,Отели,,,Hercules,"Ulitsa Pushkina 3A, Советск 238750 Россия",55.08044,21.89849
13003018,2020-12-15,Калининградская область,Зеленоградский район,Отели,,,Apartments Exclusive,"Володарского 28, Зеленоградск 238530 Россия",54.964577,20.485401
8556923,2020-12-15,Калининградская область,Зеленоградский район,Отели,,,Бутик-отель ГРЦ ПАРАDOX,"ул. Саратовская, 2А, Зеленоградск 238326 Россия",54.959934,20.48271
2492026,2020-12-15,Калининградская область,Светлогорский район,Отели,,,Санаторий Янтарь,"ул. Ленина, д. 50, Светлогорск 238560 Россия",54.941902,20.138897
2705029,2020-12-15,Калининградская область,Янтарный,Отели,,,Отель Акватория,"Советская улица, д. 1А, Янтарный 238580 Россия",54.88326,19.936144
14203915,2020-12-15,Калининградская область,Калининград,Отели,,,Вилла Тоскана,"Пушкина,  15, Калининград 236010 Россия",54.71689,20.473652
8299426,2020-12-15,Калининградская область,Зеленоградский район,Рестораны,,Кафе,Уксус,"ул. Саратовская, 2А, Зеленоградск 238530 Россия",54.95982,20.48264
2696265,2020-12-15,Калининградская область,Калининград,Отели,,,Робинзон Гостевой дом,"Достоевского улица, д. 22А, Калининград 236008 Россия",54.73578,20.53207
1106526,2020-12-15,Калининградская область,Калининград,Рестораны,,Бар,Планета,"ул. Черняховского, 26, Калининград 236000 Россия",54.71965,20.507307
7940657,2020-12-15,Калининградская область,Калининград,Рестораны,,Бар,Чешский трактир У Гашека,"Ленинский пр., 1, Калининград 236004 Россия",54.718376,20.501839
2696534,2020-12-15,Калининградская область,Калининград,Отели,,,Отель Пруссия,"ул. Коммунистическая, 4А, Калининград 236005 Россия",54.680046,20.482868
2710689,2020-12-15,Калининградская область,Калининград,Отели,,,Вилла Татьяна,"ул. Верхнеозёрная, д. 16а, Калининград 236008 Россия",54.730007,20.522549
300432,2020-12-15,Калининградская область,Калининград,Отели,,,Гостиница Балтика,"Московский проспект, д. 375, Калининград 236006 Россия",54.70748,20.616875
12477043,2020-12-15,Калининградская область,Зеленоградский район,Отели,,,Butik Hotel 12,"Lenina 32 А, Зеленоградск 238530 Россия",54.956875,20.463572
1900188,2020-12-15,Калининградская область,Калининград,Отели,,,Отель Черепаха,"ул. Зоологический тупик, 10, Калининград 236000 Россия",54.723785,20.490055
1462734,2020-12-15,Калининградская область,Калининград,Отели,,,Вилла Северин,"ул. Ленинградская, д. 9а, Калининград 236008 Россия",54.731884,20.521261
14076720,2020-12-15,Калининградская область,Калининград,Отели,,, Holiday Inn  Калининград,"ул. Гюго,  1, Калининград 236006 Россия",54.70807,20.505474
1838688,2020-12-15,Калининградская область,Орловка,Отели,,,"Гостиница ""Усадьба""","Заречная ул., 8, Орловка 238300 Россия",54.79227,20.528728
2550780,2020-12-15,Калининградская область,Зеленоградский район,Отели,,,Отель Кристалл,"ул. Гагарина, д. 19а, Зеленоградск 238530 Россия",54.957718,20.464722
585020,2020-12-15,Калининградская область,Светлогорский район,Отели,,,Гранд Палас Отель,"Береговой переулок, д. 2, Светлогорск 238560 Россия",54.945847,20.148613
14216056,2020-12-15,Калининградская область,Калининград,Рестораны,,,Другое Место,"ул.Пролетарская 82-84, Калининград 236029 Россия",54.71959,20.51374
14916563,2020-12-15,Калининградская область,Зеленоградский район,Отели,,,Exclusive Wild,"Володарского 28/6, Зеленоградск 238326 Россия",54.96329,20.48354
11999711,2020-12-15,Калининградская область,Бережковское,Отели,,,"Гостевой дом ""Вальдхаузен""","Луговая,  д.1, Бережковское 238178 Россия",54.634876,21.661062
10051128,2020-12-15,Калининградская область,Зеленоградский район,Отели,,,Apart-Hotel na Volodarskogo,"Ulitsa Volodarskogo 28А, Зеленоградск 238530 Россия",54.9642,20.48464
15010400,2020-12-15,Калининградская область,Калининград,Рестораны,,,RIOJA Restaurant & Tapas Bar,"Проспект Мира,  43, Калининград 236022 Россия",54.72077,20.482815
