с0_id,с10_date,с1_region,с2_city,с3_category,с4_subcategory,с5_tags,с6_name,с7_adress,с8_latitude,с9_longitude
6560617,2020-12-15,Камчатский край,Петропавловск-Камчатский,Достопримечательности,Музеи,Специализированные музеи,Научный музей вулканологии,"бульвар Пийпа, 9, Петропавловск-Камчатский 683006 Россия",53.06907,158.60747
6622855,2020-12-15,Камчатский край,Петропавловск-Камчатский,Достопримечательности,Природа и парки,Вулканы,Вулкан Мутновский,Петропавловск-Камчатский Россия,52.44899,158.19577
8066137,2020-12-15,Камчатский край,п. Ключи,Достопримечательности,Природа и парки,Вулканы,Ключевская сопка,п. Ключи Россия,56.05345,160.64137
6474699,2020-12-15,Камчатский край,Петропавловск-Камчатский,Достопримечательности,Достопримечательности и культурные объекты,Культурные объекты и достопримечательности,Мемориальный комплекс сопки Никольской,"улица Красинцев, Петропавловск-Камчатский Россия",53.01273,158.64275
7653915,2020-12-15,Камчатский край,Елизово,Достопримечательности,Природа и парки," ,Горячие источники и гейзеры,Природные и заповедные зоны,Геологические образования,Больше,Вулканы",Кальдера вулкана Узон,Елизово Россия,54.50035,160.00694
2621010,2020-12-15,Камчатский край,Камчатский край,Достопримечательности,Музеи,Специализированные музеи,Быстринский краеведческий музей,"Советская улица, Эссо 684310 Россия",54.69473,158.61899
3651802,2020-12-15,Камчатский край,п. Ключи,Достопримечательности,Природа и парки,Вулканы,Острый и Плоский Толбачик,п. Ключи Россия,55.845524,160.32028
8815665,2020-12-15,Камчатский край,Петропавловск-Камчатский,Достопримечательности,Природа и парки,"Парки,Геологические образования,Горы",Никольская сопка,"Красинцев, 11, Петропавловск-Камчатский 683000 Россия",53.018593,158.64723
6483957,2020-12-15,Камчатский край,Петропавловск-Камчатский,Достопримечательности,Достопримечательности и культурные объекты,Церкви и соборы,Свято-Троицкий кафедральный собор,"ул. Владивостокская, 18, Петропавловск-Камчатский 683046 Россия",53.04441,158.65941
8641614,2020-12-15,Камчатский край,Петропавловск-Камчатский,Достопримечательности,Достопримечательности и культурные объекты,"Памятники и статуи,Культурные объекты и достопримечательности",Памятник Петру и Павлу,"ул. Озерновская Коса, Петропавловск-Камчатский Россия",53.02539,158.64268
12049870,2020-12-15,Камчатский край,Петропавловск-Камчатский,Достопримечательности,Природа и парки,Водоемы,Бухта Русская,Петропавловск-Камчатский Россия,52.436134,158.47855
5504383,2020-12-15,Камчатский край,Малка,Достопримечательности,Природа и парки,Горячие источники и гейзеры,Малкинские горячие источники,Малка Россия,53.3225,157.53842
6621097,2020-12-15,Камчатский край,Петропавловск-Камчатский,Отели,,,"Туристическая база ""Камчатинтур""","50 км от Петропавловска-Камчатского, Петропавловск-Камчатский 683003 Россия",53.02397,158.64452
6852264,2020-12-15,Камчатский край,Быстринский район,Отели,,,"Частное имение ""Южная""","ул. Южная, д. 56, Эссо 684350 Россия",55.92514,158.69392
14011769,2020-12-15,Камчатский край,Петропавловск-Камчатский,Отели,,,Hotel Arsenev,"Ulitsa Arseneva 1, Петропавловск-Камчатский 683902 Россия",53.0689,158.58835
5026442,2020-12-15,Камчатский край,Петропавловск-Камчатский,Отели,,,"Гостевой дом ""Медвежий угол""","ул. Свердлова, 26a, Петропавловск-Камчатский Россия",52.98351,158.673
8665940,2020-12-15,Камчатский край,Елизово,Отели,,,Кречет,"Паратунское шоссе, 24-й км, Елизово Россия",53.04235,158.65193
8382112,2020-12-15,Камчатский край,Петропавловск-Камчатский,Отели,,,Светлячок,"Паратунское шоссе, 25 км, Петропавловск-Камчатский 684034 Россия",52.97895,158.25778
12462591,2020-12-15,Камчатский край,Петропавловск-Камчатский,Отели,,,Bay House,"Авачинская, 15, Петропавловск-Камчатский 683003 Россия",53.03269,158.6308
5026446,2020-12-15,Камчатский край,Елизово,Отели,,,Арт-Отель,"ул. Виталия Кручины, 3, Елизово 684000 Россия",53.19038,158.38823
6400790,2020-12-15,Камчатский край,Петропавловск-Камчатский,Отели,,,"Туристическая база ""Альпика Плюс""","У Авачинского перевала в 15 км от города, Петропавловск-Камчатский 683042 Россия",53.02397,158.64452
6621090,2020-12-15,Камчатский край,Паратунка,Отели,,,"База отдыха ""Фламинго""","Паратунское шоссе, 23 км, 2, Паратунка Россия",53.001476,158.27438
2643041,2020-12-15,Камчатский край,Петропавловск-Камчатский,Отели,,,"Гостиница ""Гейзер""","ул. Топоркова, 10, Петропавловск-Камчатский 683031 Россия",53.060604,158.6182
5499102,2020-12-15,Камчатский край,Быстринский район,Отели,,,Гостиница Парамушир Тур,"ул. 40 лет Победы, 11, Эссо 684350 Россия",55.929626,158.6908
8402592,2020-12-15,Камчатский край,Петропавловск-Камчатский,Рестораны,,,Хруст Булка,"Пограничная, 1/1, Петропавловск-Камчатский 683003 Россия",53.03693,158.65875
5026506,2020-12-15,Камчатский край,Елизово,Отели,,,Снежная Долина ,"Lodge - Valley of Paratunka river, near Termal'niy village, Елизово 683000 Россия",52.78661,158.17227
6228629,2020-12-15,Камчатский край,Петропавловск-Камчатский,Отели,,,Отель Dolce Vita,"ул. Топоркова, 5/1, Петропавловск-Камчатский 683032 Россия",53.063816,158.62239
8402493,2020-12-15,Камчатский край,Петропавловск-Камчатский,Рестораны,,,Бек Кухня,"50 лет Октября проспект, 1а/4, Петропавловск-Камчатский Россия",53.05166,158.64378
20377635,2020-12-15,Камчатский край,Петропавловск-Камчатский,Отели,,,Atlas,"Сопочная,  3, Петропавловск-Камчатский 683024 Россия",53.040543,158.65479
21312792,2020-12-15,Камчатский край,Петропавловск-Камчатский,Отели,,,"Капсульный хостел ""Луноход""","Ленинградская, 74, Петропавловск-Камчатский 683003 Россия",53.036133,158.65552
21314869,2020-12-15,Камчатский край,Петропавловск-Камчатский,Отели,,,Friends хостел,"Войцешека, 3А, Петропавловск-Камчатский 683031 Россия",53.05772,158.63008
6537269,2020-12-15,Камчатский край,Елизово,Отели,,,"Хостел ""Вила""","Уральская ул., 2, Елизово 684000 Россия",53.168472,158.36656
7606914,2020-12-15,Камчатский край,Елизово,Отели,,,Медвежий угол,"Sverdlova Street 26 a, Елизово 684010 Россия",53.16699,158.37218
15150614,2020-12-15,Камчатский край,Паратунка,Отели,,,Частное владение Камчатка,"ул. Малкинская, Паратунка 684000 Россия",52.93934,158.23392
15233714,2020-12-15,Камчатский край,Петропавловск-Камчатский,Отели,,,Kamchatka Sweet home,"Войцешека, 3А, Петропавловск-Камчатский 683031 Россия",53.057518,158.62987
8665935,2020-12-15,Камчатский край,Елизово,Отели,,,Колумб,"12 км от поселка Термальный., Елизово Россия",53.07971,158.5801
10795784,2020-12-15,Камчатский край,Паратунка,Отели,,,Жемчужина Камчатки,"25-й км Паратунского шоссе, Паратунка 684034 Россия",52.96202,158.25723
6692422,2020-12-15,Камчатский край,Паратунка,Отели,,,Арбат,"ул. Елизова, д. 39а, Паратунка 684034 Россия",52.96394,158.25388
627447,2020-12-15,Камчатский край,Петропавловск-Камчатский,Отели,,,Гостиница Русь,"ул. Звёздная, д. 11/2, Петропавловск-Камчатский 683038 Россия",53.05331,158.66367
14987733,2020-12-15,Камчатский край,Малка,Отели,,,База отдыха Малка,Малка 684029 Россия,53.32197,157.53851
12668398,2020-12-15,Камчатский край,Петропавловск-Камчатский,Отели,,,Hostel I Love Kamchatka,"Ключевская 7, Петропавловск-Камчатский 673005 Россия",53.03306,158.63724
14016364,2020-12-15,Камчатский край,п. Ключи,Отели,,,"Гостиница ""Спящая Красавица""","ул. Кирова, д. 150, п. Ключи 684400 Россия",56.32237,160.8447
8402502,2020-12-15,Камчатский край,Петропавловск-Камчатский,Рестораны,,"Бар,Паб",Богородское Озеро,"Петропавловское шоссе, 35, Петропавловск-Камчатский Россия",52.97224,158.6932
8617575,2020-12-15,Камчатский край,Елизово,Отели,,,Фиона,"ул. Подстанционная, 5А, Елизово Россия",53.16669,158.41568
8436119,2020-12-15,Камчатский край,Петропавловск-Камчатский,Рестораны,,,Пельменная,"ул. Академика Королева, д. 71, Петропавловск-Камчатский Россия",53.05076,158.65822
8402728,2020-12-15,Камчатский край,Петропавловск-Камчатский,Рестораны,,,Восточная Домашняя Кухня,"Академика Королева, 65/3, Петропавловск-Камчатский 683009 Россия",53.04703,158.66216
11884906,2020-12-15,Камчатский край,Петропавловск-Камчатский,Рестораны,,,Tasty,"ул. Пограничная, 1/1, Петропавловск-Камчатский Россия",53.03534,158.66466
8014026,2020-12-15,Камчатский край,Петропавловск-Камчатский,Отели,,,Petropavlovsk-Kamchatsky Guest House,"Ulitsa Gorkogo 15, Петропавловск-Камчатский 683024 Россия",53.05649,158.6321
8402591,2020-12-15,Камчатский край,Петропавловск-Камчатский,Рестораны,,,Хруст Булка,"Победы проспект, 67/2, Петропавловск-Камчатский Россия",53.06986,158.61478
3337506,2020-12-15,Камчатский край,Красный,Отели,,,"Гостевой дом ""Яранга""","ул. Восточная 17-а, Красный 684014 Россия",53.21114,158.41823
12516547,2020-12-15,Камчатский край,Петропавловск-Камчатский,Отели,,,Guest House Versal,"Ulitsa Kavkazskaia 21, Петропавловск-Камчатский 683023 Россия",53.07349,158.62099
8617303,2020-12-15,Камчатский край,Петропавловск-Камчатский,Отели,,,Чайка,"Садовый пер., 12, Петропавловск-Камчатский Россия",52.98055,158.6807
21297781,2020-12-15,Камчатский край,Петропавловск-Камчатский,Отели,,,Kроноцкая 12/1,"Кроноцкая, 12/1 первый этаж, Петропавловск-Камчатский 683017 Россия",53.04589,158.65997
