с0_id,с10_date,с1_region,с2_city,с3_category,с4_subcategory,с5_tags,с6_name,с7_adress,с8_latitude,с9_longitude
3606185,2020-12-15,Краснодарский край,Краснодарский край,Достопримечательности,Природа и парки,Парки,"Культурный центр ""Старый Парк""","ул. Черноморская, 55, Кабардинка 353480 Россия",44.64422,37.935764
5521323,2020-12-15,Краснодарский край,Новороссийск,Достопримечательности,Достопримечательности и культурные объекты,Культурные объекты и достопримечательности,Мемориальный Комплекс Малая Земля в Новороссийске,"просп. Ленина, Новороссийск Россия",44.69529,37.78538
5504385,2020-12-15,Краснодарский край,Анапа,Достопримечательности,Зоопарки и океанариумы,Океанариумы,Анапский дельфинарий на Пионерском проспекте 20А,"Пионерский проспект, 20А, Анапа 353440 Россия",44.924187,37.31995
6108866,2020-12-15,Краснодарский край,Краснодарский край,Достопримечательности,Достопримечательности и культурные объекты,"Спортивные комплексы,Арены и стадионы",Дворец зимнего спорта Айсберг,"Имеретинская низменность Прибрежный кластер, Адлер, Сочи 354375 Россия",43.40739,39.95835
6032201,2020-12-15,Краснодарский край,Краснодарский край,Достопримечательности,Природа и парки,Тематические парки развлечений,Сочи Парк,"Олимпийский проспект, 21 Имеретинская низменность, Сочи 354340 Россия",43.40367,39.96367
16869527,2020-12-15,Краснодарский край,Краснодарский край,Достопримечательности,Природа и парки,Природные и заповедные зоны,Хаски Парк,"Псехако, низовье трассы H, Сочи 352177 Россия",43.694054,40.334587
5533730,2020-12-15,Краснодарский край,Краснодарский край,Достопримечательности,Природа и парки,Парки,Олимпийский парк,"Имеретинская долина, Сочи Россия",43.40569,39.954803
6440036,2020-12-15,Краснодарский край,Краснодарский край,Достопримечательности,Природа и парки,Гроты и пещеры,пещера Нежная,"Doroga Dakhovskaya - Lago-Naki Лаго-Наки, 352666 Россия",44.15036,40.06507
307451,2020-12-15,Краснодарский край,Краснодарский край,Достопримечательности,Природа и парки,Сады,Парк Дендрарий в Сочи,"Курортный проспект 74к 1А, Сочи 354000 Россия",43.570503,39.745342
6537491,2020-12-15,Краснодарский край,Краснодарский край,Достопримечательности,Природа и парки,Парки,Лазаревский Парк Культуры и отдыха,"ул. Павлова, 2, Лазаревское, Сочи Россия",43.906292,39.328667
9865154,2020-12-15,Краснодарский край,Анапа,Достопримечательности,Достопримечательности и культурные объекты,Культурные объекты и достопримечательности,Набережная Анапы,Анапа Россия,44.897717,37.313522
11626541,2020-12-15,Краснодарский край,Краснодар,Достопримечательности,Достопримечательности и культурные объекты,Арены и стадионы,Cтадион ФК Краснодар,"ул. Разведчика Леонова, 1, Краснодар 350901 Россия",45.045605,39.02851
14768259,2020-12-15,Краснодарский край,Краснодар,Достопримечательности,Природа и парки,Парки,Парк Галицкого,"улица Разведчика Леонова, Краснодар 350059 Россия",45.041042,39.03354
6490486,2020-12-15,Краснодарский край,Новороссийск,Достопримечательности,Музеи,Специализированные музеи,Крейсер Михаил Кутузов,"Набережная им. Адмирала Серебрякова, 2а, Новороссийск 353900 Россия",44.72066,37.781086
6446724,2020-12-15,Краснодарский край,Большой Сочи,Отели,,,"Гостиница ""Дельфин""","Черноморская ул., 19, Сочи 354002 Россия",43.566402,39.738014
6158220,2020-12-15,Краснодарский край,Большой Сочи,Отели,,,Цитрус,"Набережная ул., 15, Адлер, Сочи 354340 Россия",43.420406,39.92807
4585959,2020-12-15,Краснодарский край,Большой Сочи,Отели,,,Отель Имеретинский,"Морской бульвар, 1 Имеретинская низменность, Адлер, Сочи 354340 Россия",43.411545,39.935944
2716432,2020-12-15,Краснодарский край,Большой Сочи,Отели,,,Отель Тюлип Инн Роза Хутор,"наб. Панорама, 2 Горнолыжный комплекс ""Роза Хутор"", Эсто-Садок, Сочи 354392 Россия",43.672707,40.293797
6363796,2020-12-15,Краснодарский край,Большой Сочи,Отели,,,Бархатные Сезоны Екатерининский Квартал,"ул. Бульвар Надежд, 42 ул. Бульвар Надежд, 42, Адлер, Сочи 354340 Россия",43.390457,39.99254
12247330,2020-12-15,Краснодарский край,Анапа,Отели,,,Утесов,"ул. Маяковского, 2Б проезд Крутой, 2, Анапа 353454 Россия",44.87655,37.311653
