с0_id,с10_date,с1_region,с2_city,с3_category,с4_subcategory,с5_tags,с6_name,с7_adress,с8_latitude,с9_longitude
4892007,2020-12-15,Липецкая область,Липецк,Достопримечательности,Зоопарки и океанариумы,Зоопарки,Липецкий зоопарк,"ул. К. Маркса, 9, Липецк 398059 Россия",52.60429,39.60308
6867849,2020-12-15,Липецкая область,Липецк,Достопримечательности,Достопримечательности и культурные объекты,"Памятники и статуи,Культурные объекты и достопримечательности",Памятник Народовольцам,"Нижний Парк, Липецк Россия",52.60677,39.6086
6680459,2020-12-15,Липецкая область,Елец,Достопримечательности,Музеи,Специализированные музеи,Дом-Музей Елецкого Кружева,"ул. Октябрьская, 108, Елец Россия",52.60291,38.49753
14009171,2020-12-15,Липецкая область,Данков,Достопримечательности,Достопримечательности и культурные объекты,Фермы,Сыр-Борев Масловка,"деревня Масловка, Данков 399842 Россия",53.383442,39.140583
8791709,2020-12-15,Липецкая область,Елец,Достопримечательности,Достопримечательности и культурные объекты,Архитектурные достопримечательности,Башня городских часов,"ул. Советская, Елец 399740 Россия",52.62293,38.49952
13079224,2020-12-15,Липецкая область,Задонск,Достопримечательности,Достопримечательности и культурные объекты,Памятники и статуи,Памятник Матери Марии Фроловой,"парк Победы, Задонск 399200 Россия",52.59634,39.52241
6685918,2020-12-15,Липецкая область,Донское,Достопримечательности,Природа и парки,Природные и заповедные зоны,Заповедник Галичья Гора,Донское Россия,52.5916,38.9216
6494318,2020-12-15,Липецкая область,Липецк,Достопримечательности,Достопримечательности и культурные объекты,Церкви и соборы,Преображенский храм,"Папина, 1, Липецк 398024 Россия",52.59452,39.55399
12583121,2020-12-15,Липецкая область,Лебедянь,Достопримечательности,Достопримечательности и культурные объекты,Церкви и соборы,Ново-Казанский собор,"ул. Советская, Лебедянь Россия",53.01704,39.12981
12950504,2020-12-15,Липецкая область,Липецк,Достопримечательности,Природа и парки,Парки,Верхний парк,"Ленина 23, Липецк 398050 Россия",52.60973,39.60182
6440031,2020-12-15,Липецкая область,Липецк,Достопримечательности,Природа и парки,Парки,Нижний парк,"Петровский проезд, д. 2, Липецк 398050 Россия",52.60636,39.6011
6189207,2020-12-15,Липецкая область,Липецк,Рестораны,,,GM cafe,"Первомайская, 35, Липецк 398059 Россия",52.60328,39.59771
6491848,2020-12-15,Липецкая область,Липецк,Достопримечательности,Достопримечательности и культурные объекты,Культурные объекты и достопримечательности,Часовня Первоверховных Апостолов Петра и Павла,"Карла Маркса, 5а, Липецк 398059 Россия",52.60455,39.59868
