с0_id,с10_date,с1_region,с2_city,с3_category,с4_subcategory,с5_tags,с6_name,с7_adress,с8_latitude,с9_longitude
2342077,2020-11-22,Москва,Москва,Достопримечательности,Природа и парки,Парки,Нескучный сад,"Ленинский пр-кт., 32а м. Октябрьская, Москва 119234 Россия",55.71064,37.58384
302956,2020-11-22,Москва,Москва,Достопримечательности,Музеи,"Военные музеи,Исторические музеи",Musée de la Grande Guerre Patriotique,"м. Парк Победы, Площадь Победы, д.3, Москва 121170 Россия",55.73095,37.50501
530940,2020-11-22,Москва,Москва,Достопримечательности,Природа и парки,Сады,Александровский сад,"около Кремля, Москва 119072 Россия",55.75528,37.61582
2351750,2020-11-22,Москва,Москва,Достопримечательности,Музеи,Специализированные музеи,"Музей ""Московский транспорт""","Рогожский Вал, 9/2 м. Римская, Москва 109544 Россия",55.74252,37.677917
565309,2020-11-22,Москва,Москва,Достопримечательности,развлечения поблизости.,Парки,Парк Сокольники,"Сокольнический Вал, 1/1, Москва 107014 Россия",55.79111,37.66708
300367,2020-11-22,Москва,Москва,Достопримечательности,развлечения поблизости.,Церкви и соборы,Собо́р Васи́лия Блаже́нного,"Красная площадь, 2, Москва 109012 Россия",55.75248,37.623203
301631,2020-11-22,Москва,Москва,Достопримечательности,Покупки,"Универмаги,Архитектурные достопримечательности","Универмаг ""ГУМ""","пл. Красная, 3 ст. метро Площадь Революции, Москва 109012 Россия",55.75444,37.621056
300409,2020-11-22,Москва,Москва,Достопримечательности,Достопримечательности и культурные объекты,"Исторические места для прогулок,Исторические достопримечательности",Соборная площадь,"Кремль, Москва 101000 Россия",55.75072,37.617725
300583,2020-11-22,Москва,Москва,Достопримечательности,развлечения поблизости.,Музеи искусств,Новая Третьяковка,"Крымский Вал улица, д. 10, Москва 119049 Россия",55.73507,37.606388
3671557,2020-11-22,Москва,Москва,Достопримечательности,Музеи,Специализированные музеи,Еврейский музей и центр толерантности,"Ул. Образцова, 11, строение 1А, Москва 127018 Россия",55.7894,37.60742
300341,2020-11-22,Москва,Москва,Достопримечательности,Музеи,Специализированные музеи,Усадьба Кусково,"ул. Юности, 2, Москва 115487 Россия",55.735348,37.807755
668919,2020-11-22,Москва,Москва,Достопримечательности,Достопримечательности и культурные объекты,Смотровые площадки и башни,Смотровая площадка Panorama360,"Пресненская наб., 12, Москва 123112 Россия",55.75003,37.53786
549635,2020-11-22,Москва,Москва,Достопримечательности,развлечения поблизости.,"Исторические места для прогулок,Культурные объекты и достопримечательности",Никольская улица,"Никольская улица, Москва Россия",55.71456,37.767
300362,2020-11-22,Москва,Москва,Достопримечательности,Достопримечательности и культурные объекты,Архитектурные достопримечательности,Донской монастырь,"ул. Донская, 1, Москва 115419 Россия",55.7144,37.60013
12144504,2020-11-22,Москва,Рестораны Москвы,Рестораны,,,Ресторан HONGKONG,"Русаковская, 24, Москва 107014 Россия",55.7887,37.68017
2344544,2020-11-22,Москва,Рестораны Москвы,Рестораны,,Кафе,Булошная,"Лялин переулок, д. 7/2, корп. 1 м. Курская, Москва 105062 Россия",55.759598,37.651913
