с0_id,с10_date,с1_region,с2_city,с3_category,с4_subcategory,с5_tags,с6_name,с7_adress,с8_latitude,с9_longitude
2572123,2020-12-14,Тульская область,Тула,Достопримечательности,Достопримечательности и культурные объекты,"Исторические достопримечательности,Специализированные музеи",Тульский Государственный Музей Оружия,"ул. Октябрьская, 2 Кремль, Тула 300026 Россия",54.12309,37.58621
7184848,2020-12-14,Тульская область,Кимовск,Достопримечательности,Достопримечательности и культурные объекты,"Культурные объекты и достопримечательности,Смотровые площадки и башни",Водонапорная башня,"ул. Бессолова, Кимовск Россия",53.96754,38.54155
8404593,2020-12-14,Тульская область,Дворяниново,Достопримечательности,Достопримечательности и культурные объекты,"Исторические музеи,Исторические достопримечательности",Музей-усадьба А.Т. Болотова Дворяниново,"Тульская область, Заокский район, деревня Дворяниново, Дворяниново Россия",54.704453,37.557236
8369425,2020-12-14,Тульская область,Тула,Достопримечательности,Достопримечательности и культурные объекты,"Культурные объекты и достопримечательности,Памятники и статуи",Ёжик на грибной поляне,"ул. Менделеевская, 8, Тула 300041 Россия",54.19215,37.62333
6492983,2020-12-14,Тульская область,Узловая,Достопримечательности,Достопримечательности и культурные объекты,Церкви и соборы,Свято-успенский храм,"Успенская, 12, Узловая 301605 Россия",53.9819,38.164745
8818718,2020-12-14,Тульская область,Узловая,Достопримечательности,Природа и парки,"Парки,Сады",Сквер имени Завенягина,"ул. Беклемищева, Узловая Россия",53.98215,38.15757
9883937,2020-12-14,Тульская область,Одоев,Достопримечательности,Музеи,Специализированные музеи,Музей Филимоновская игрушка,"ул. Сильверстова, 11, Одоев 301440 Россия",53.94139,36.68988
3258344,2020-12-14,Тульская область,Тула,Достопримечательности,Достопримечательности и культурные объекты,"Церкви и соборы,Архитектурные достопримечательности",Свято-Успенский кафедральный собор,"ул. Менделеевская, 13Л, Тула 300041 Россия",54.19215,37.62333
7052388,2020-12-14,Тульская область,Тула,Достопримечательности,Музеи,Специализированные музеи,Козлова засека,"ул. Льва Толстого, д. 1, Тула 300910 Россия",54.09619,37.569477
2494796,2020-12-14,Тульская область,Монастырщино,Достопримечательности,Музеи,"Исторические музеи,Военные музеи,Специализированные музеи",Музей и мемориал героям Куликовской битвы,Монастырщино Россия,53.623516,38.675365
2571991,2020-12-14,Тульская область,Тула,Достопримечательности,Зоопарки и океанариумы,"Зоопарки,Специализированные музеи",Тульский Экзотариум,"Октябрьская улица, д. 26, Центральный парк культуры и отдыха г.Тулы, строение 10, Тула 300002 Россия",54.208576,37.619434
2618751,2020-12-14,Тульская область,Богородицк,Достопримечательности,Достопримечательности и культурные объекты,"Парки,Обзорные площадки,Исторические музеи",Богородицкий дворец-музей и парк,"территория парка, д. 1, Богородицк 301832 Россия",53.77154,38.13925
15755786,2020-12-14,Тульская область,Новомосковск,Рестораны,,,Drova,"Трудовые резервы / Бережного 42/11, Новомосковск Россия",54.014614,38.287766
5513415,2020-12-14,Тульская область,Тула,Рестораны,,,Советская чебуречная,"ул. Советская, д. 16, Тула 300041 Россия",54.19349,37.61278
17548057,2020-12-14,Тульская область,Тула,Рестораны,,,Angel 8,"Проспект Ленина,  85/1 вход 5, Тула 300903 Россия",54.175518,37.59927
