category,city,name,region,subcategory,tags
Достопримечательности,Развлечения в Москве,Собо́р Васи́лия Блаже́нного,Москва,Достопримечательности и культурные объекты,Церкви и соборы
Достопримечательности,Развлечения в Москве,"Музей ""Московский транспорт""",Москва,Музеи,Специализированные музеи
Достопримечательности,Развлечения в Москве,Musée de la Grande Guerre Patriotique,Москва,Музеи,"Исторические музеи,Военные музеи"
Достопримечательности,Развлечения в Москве,Нескучный сад,Москва,Природа и парки,Парки
Достопримечательности,Развлечения в Москве,Александровский сад,Москва,Природа и парки,Сады
Достопримечательности,Развлечения в Москве,Соборная площадь,Москва,Достопримечательности и культурные объекты,"Исторические места для прогулок,Исторические достопримечательности"
Достопримечательности,Развлечения в Москве,"Универмаг ""ГУМ""",Москва,Покупки,"Архитектурные достопримечательности,Универмаги"
Достопримечательности,Развлечения в Москве,Парк Сокольники,Москва,Природа и парки,Парки
Достопримечательности,Развлечения в Москве,Новая Третьяковка,Москва,Музеи,Музеи искусств
Достопримечательности,Развлечения в Москве,Усадьба Кусково,Москва,Музеи,Специализированные музеи
Достопримечательности,Развлечения в Москве,Смотровая площадка Panorama360,Москва,Достопримечательности и культурные объекты,Смотровые площадки и башни
Достопримечательности,Развлечения в Москве,Еврейский музей и центр толерантности,Москва,Музеи,Специализированные музеи
Достопримечательности,Развлечения в Москве,Донской монастырь,Москва,Достопримечательности и культурные объекты,Архитектурные достопримечательности
Достопримечательности,Развлечения в Москве,Музей занимательных наук Экспериментаниум,Москва,Музеи,Научные музеи
Достопримечательности,Развлечения в Москве,Никольская улица,Москва,Достопримечательности и культурные объекты,"Исторические места для прогулок,Культурные объекты и достопримечательности"
Достопримечательности,Развлечения в Москве,Москва-Сити,Москва,Достопримечательности и культурные объекты,Культурные объекты и достопримечательности
Достопримечательности,Развлечения в Москве,Центральный парк культуры и отдыха им. Горького,Москва,Природа и парки,Парки
Достопримечательности,Развлечения в Москве,Музей человека Живые системы,Москва,Музеи,"Научные музеи,Музеи естествознания"
Достопримечательности,Развлечения в Москве,"Московский Государственный Объединенный Музей-Заповедник ""Коломенское""",Москва,Достопримечательности и культурные объекты,"Специализированные музеи,Исторические достопримечательности"
Достопримечательности,Развлечения в Москве,Оружейная палата,Москва,Музеи,"Исторические музеи,Музеи искусств,Военные музеи"
Достопримечательности,Развлечения в Москве,Храм Христа Спасителя,Москва,Достопримечательности и культурные объекты,Церкви и соборы
Достопримечательности,Развлечения в Москве,Музей советских игровых автоматов,Москва,Музеи,Специализированные музеи
Достопримечательности,Развлечения в Москве,Парк Победы,Москва,Природа и парки,Парки
Достопримечательности,Развлечения в Москве,Музей космонавтики,Москва,Музеи,Научные музеи
Достопримечательности,Развлечения в Москве,Царицыно Музей-Заповедник,Москва,Музеи,Специализированные музеи
Достопримечательности,Развлечения в Москве,Большой театр,Москва,Достопримечательности и культурные объекты,"Архитектурные достопримечательности,Театры"
Достопримечательности,Развлечения в Москве,Московский Кремль,Москва,Достопримечательности и культурные объекты,"Специализированные музеи,Исторические достопримечательности"
Достопримечательности,Развлечения в Москве,Красная площадь,Москва,Достопримечательности и культурные объекты,"Исторические достопримечательности,Культурные объекты и достопримечательности"
Достопримечательности,Развлечения в Москве,Московский Метрополитен,Москва,Достопримечательности и культурные объекты,"Архитектурные достопримечательности,Системы общественного транспорта"
Достопримечательности,Развлечения в Москве,Государственная Третьяковская Галерея,Москва,Музеи,Музеи искусств
category,city,name,region,subcategory,tags
Достопримечательности,Развлечения в Москве,Океанариум Крокус Сити,Москва,Зоопарки и океанариумы,Океанариумы
Достопримечательности,Развлечения в Москве,Третьяковская Государственная Галерея Дом-Музей Васнецова В.М.,Москва,Музеи,Исторические музеи
Достопримечательности,Развлечения в Москве,Музей-Квартира Горького А.М.,Москва,Музеи,Исторические музеи
Достопримечательности,Развлечения в Москве,Большой Кремлёвский дворец,Москва,Достопримечательности и культурные объекты,"Исторические достопримечательности,Архитектурные достопримечательности"
Достопримечательности,Развлечения в Москве,Дворец царя Алексея Михайловича в Коломенском,Москва,Достопримечательности и культурные объекты,Культурные объекты и достопримечательности
Достопримечательности,Развлечения в Москве,Успенский собор,Москва,Достопримечательности и культурные объекты,Церкви и соборы
Достопримечательности,Развлечения в Москве,Государственный музей истории ГУЛАГа,Москва,Музеи,Исторические музеи
Достопримечательности,Развлечения в Москве,Патриаршие пруды,Москва,Природа и парки,Парки
Достопримечательности,Развлечения в Москве,Московская соборная мечеть,Москва,Достопримечательности и культурные объекты,"Культурные объекты и достопримечательности,Обзорные площадки,Архитектурные достопримечательности"
Достопримечательности,Развлечения в Москве,Парк Музеон,Москва,Музеи,Специализированные музеи
Достопримечательности,Развлечения в Москве,Стадион Лужники,Москва,Достопримечательности и культурные объекты,Арены и стадионы
Достопримечательности,Развлечения в Москве,Стены и башни Московского Кремля,Москва,Достопримечательности и культурные объекты,"Исторические достопримечательности,Архитектурные достопримечательности"
Достопримечательности,Развлечения в Москве,Сиреневый сад,Москва,Природа и парки,Сады
Достопримечательности,Развлечения в Москве,Новая сцена Большого театра,Москва,Концерты и представления,Театры
Достопримечательности,Развлечения в Москве,Фонтан Дружба народов,Москва,Достопримечательности и культурные объекты,"Культурные объекты и достопримечательности,Фонтаны"
Достопримечательности,Развлечения в Москве,Сад Эрмитаж,Москва,Природа и парки,Парки
Достопримечательности,Развлечения в Москве,Государственный Дарвиновский музей,Москва,Музеи,"Музеи естествознания,Научные музеи"
Достопримечательности,Развлечения в Москве,Музей русского импрессионизма,Москва,Музеи,Музеи искусств
Достопримечательности,Развлечения в Москве,Выставка достижений народного хозяйства (ВДНХ),Москва,Достопримечательности и культурные объекты,"Культурные объекты и достопримечательности,Архитектурные достопримечательности"
Достопримечательности,Развлечения в Москве,"Торгово-развлекательный центр ""Авиапарк""",Москва,Покупки,Торговые центры
Достопримечательности,Развлечения в Москве,Римско-католический Кафедральный собор Непорочного Зачатия Пресвятой Девы Марии,Москва,Концерты и представления,Театры
Достопримечательности,Развлечения в Москве,Московский государственный университет имени М.В.Ломоносова,Москва,Достопримечательности и культурные объекты,"Образовательные объекты,Архитектурные достопримечательности"
Достопримечательности,Развлечения в Москве,Центральный музей Вооруженных Сил,Москва,Музеи,Военные музеи
Достопримечательности,Развлечения в Москве,"Московский Драматический Театр ""Модернъ""",Москва,Концерты и представления,Театры
Достопримечательности,Развлечения в Москве,Манежная площадь,Москва,Достопримечательности и культурные объекты,Культурные объекты и достопримечательности
Достопримечательности,Развлечения в Москве,Высоко-Петровский мужской монастырь,Москва,Достопримечательности и культурные объекты,Священные места и религиозные достопримечательности
Достопримечательности,Развлечения в Москве,Мультимедиа Арт Музей,Москва,Покупки,"Музеи искусств,Художественные галереи"
Достопримечательности,Развлечения в Москве,Государственный Академический Театр им. Е. Вахтангова,Москва,Концерты и представления,Театры
Достопримечательности,Развлечения в Москве,Музей Холодной войны в Бункер-42 на Таганке,Москва,Достопримечательности и культурные объекты,"Военные музеи,Исторические достопримечательности,Исторические музеи"
Достопримечательности,Развлечения в Москве,Покровский ставропигиальный женский монастырь,Москва,Достопримечательности и культурные объекты,Церкви и соборы
Достопримечательности,Развлечения в Москве,Музей-усадьба Л.Н. Толстого в Хамовниках,Москва,Музеи,Исторические музеи
Достопримечательности,Развлечения в Москве,Рабочий и колхозница,Москва,Достопримечательности и культурные объекты,Памятники и статуи
Достопримечательности,Развлечения в Москве,Измайловский рынок,Москва,Покупки,Блошиные и уличные рынки
Достопримечательности,Развлечения в Москве,Минералогический музей им. А.Е. Ферсмана,Москва,Музеи,Специализированные музеи
Достопримечательности,Развлечения в Москве,Парк Мещерский,Москва,Природа и парки,Парки
Достопримечательности,Развлечения в Москве,Улица Кузнецкий Мост,Москва,Достопримечательности и культурные объекты,"Исторические места для прогулок,Культурные объекты и достопримечательности"
Достопримечательности,Развлечения в Москве,"Малый Театр, Сцена на Ордынке",Москва,Достопримечательности и культурные объекты,"Культурные объекты и достопримечательности,Архитектурные достопримечательности"
Достопримечательности,Развлечения в Москве,Алмазный Фонд,Москва,Музеи,Специализированные музеи
Достопримечательности,Развлечения в Москве,Могила неизвестного солдата,Москва,Достопримечательности и культурные объекты,Памятники и статуи
Достопримечательности,Развлечения в Москве,Петровский путевой дворец,Москва,Достопримечательности и культурные объекты,Архитектурные достопримечательности
Достопримечательности,Развлечения в Москве,Палеонтологический музей им. Ю.А. Орлова,Москва,Музеи,"Музеи естествознания,Научные музеи"
Достопримечательности,Развлечения в Москве,Марфо-Мариинская обитель,Москва,Достопримечательности и культурные объекты,Священные места и религиозные достопримечательности
Достопримечательности,Развлечения в Москве,Музей Зураба Церетели,Москва,Музеи,Специализированные музеи
Достопримечательности,Развлечения в Москве,Стадион Спартак (Открытие Арена),Москва,Достопримечательности и культурные объекты,Арены и стадионы
Достопримечательности,Развлечения в Москве,,Москва,Концерты и представления,Театры
Достопримечательности,Развлечения в Москве,Архангельский собор,Москва,Музеи,Исторические музеи
Достопримечательности,Развлечения в Москве,Зачатьевский монастырь,Москва,Достопримечательности и культурные объекты,"Священные места и религиозные достопримечательности,Архитектурные достопримечательности"
Достопримечательности,Развлечения в Москве,Казанский собор,Москва,Достопримечательности и культурные объекты,"Церкви и соборы,Исторические достопримечательности"
Достопримечательности,Развлечения в Москве,Геликон-Опера,Москва,Концерты и представления,"Опера,Театры"
Достопримечательности,Развлечения в Москве,Патриарший мост,Москва,Достопримечательности и культурные объекты,Мосты
Достопримечательности,Развлечения в Москве,Самый высокий цилиндрический аквариум в мире,Москва,Зоопарки и океанариумы,Океанариумы
Достопримечательности,Развлечения в Москве,Гостиный Двор,Москва,Покупки,"Исторические места для прогулок,Исторические достопримечательности,Торговые центры"
Достопримечательности,Развлечения в Москве,Кафедральный собор святых апостолов Петра и Павла,Москва,Достопримечательности и культурные объекты,Церкви и соборы
Достопримечательности,Развлечения в Москве,Крымский мост,Москва,Достопримечательности и культурные объекты,Мосты
Достопримечательности,Развлечения в Москве,Центральный рынок,Москва,Покупки,Блошиные и уличные рынки
Достопримечательности,Развлечения в Москве,Центральный Детский Магазин,Москва,Покупки,Торговые центры
Достопримечательности,Развлечения в Москве,Кремль в Измайлово,Москва,Достопримечательности и культурные объекты,"Специализированные музеи,Культурные объекты и достопримечательности,Архитектурные достопримечательности"
Достопримечательности,Развлечения в Москве,Галерея Ильи Глазунова,Москва,Покупки,Художественные галереи
Достопримечательности,Развлечения в Москве,Московский Академический Театр Сатиры,Москва,Концерты и представления,Театры
Достопримечательности,Развлечения в Москве,Живописный мост,Москва,Достопримечательности и культурные объекты,Мосты
Достопримечательности,Развлечения в Москве,Андроников монастырь,Москва,Достопримечательности и культурные объекты,"Специализированные музеи,Исторические достопримечательности,Архитектурные достопримечательности"
Достопримечательности,Развлечения в Москве,Музей В.А. Тропинина и московских художников его времени,Москва,Музеи,Специализированные музеи
Достопримечательности,Развлечения в Москве,Гостиница Украина,Москва,Достопримечательности и культурные объекты,"Культурные объекты и достопримечательности,Обзорные площадки,Архитектурные достопримечательности"
Достопримечательности,Развлечения в Москве,Океанариум,Москва,Зоопарки и океанариумы,Океанариумы
Достопримечательности,Развлечения в Москве,"Музей-Театр ""Булгаковский Дом""",Москва,Музеи,Специализированные музеи
Достопримечательности,Развлечения в Москве,Камергерский переулок,Москва,Достопримечательности и культурные объекты,"Памятники и статуи,Больше,Исторические места для прогулок,Архитектурные достопримечательности,Исторические достопримечательности, "
Достопримечательности,Развлечения в Москве,Вернисаж,Москва,Достопримечательности и культурные объекты,Культурные объекты и достопримечательности
Достопримечательности,Развлечения в Москве,"Театр ""Уголок Дедушки Дурова""",Москва,Концерты и представления,Театры
Достопримечательности,Развлечения в Москве,Музейно-производственный комплекс Паровозное депо Подмосковная,Москва,Музеи,"Специализированные музеи,Исторические музеи"
Достопримечательности,Развлечения в Москве,Центральный музей древнерусской культуры и искусства им. Андрея Рублева,Москва,Музеи,"Специализированные музеи,Музеи искусств"
Достопримечательности,Развлечения в Москве,Дом Мельникова,Москва,Достопримечательности и культурные объекты,"Специализированные музеи,Архитектурные достопримечательности"
Достопримечательности,Развлечения в Москве,Российская государственная библиотека,Москва,Ресурсы для путешественников,Библиотеки
Достопримечательности,Развлечения в Москве,Московская хоральная синагога,Москва,Достопримечательности и культурные объекты,Священные места и религиозные достопримечательности
Достопримечательности,Развлечения в Москве,Ботанический сад МГУ,Москва,Природа и парки,Национальные парки
Достопримечательности,Развлечения в Москве,Лосиный остров,Москва,Природа и парки,"Национальные парки,Природные и заповедные зоны"
Достопримечательности,Развлечения в Москве,Площадь Революции,Москва,Достопримечательности и культурные объекты,Культурные объекты и достопримечательности
Достопримечательности,Развлечения в Москве,Храм Спаса Преображения Господня в Переделкино,Москва,Достопримечательности и культурные объекты,Церкви и соборы
Достопримечательности,Развлечения в Москве,Государственный академический центральный театр кукол им. С.В. Образцова,Москва,Музеи,Специализированные музеи
Достопримечательности,Развлечения в Москве,Государственный геологический музей им. В.И. Вернадского РАН,Москва,Музеи,Научные музеи
Достопримечательности,Развлечения в Москве,Дом-музей Марины Цветаевой,Москва,Музеи,Исторические музеи
Достопримечательности,Развлечения в Москве,Мясницкая улица,Москва,Достопримечательности и культурные объекты,"Исторические места для прогулок,Культурные объекты и достопримечательности"
Достопримечательности,Развлечения в Москве,"Музей эротического искусства ""Точка G""",Москва,Музеи,Специализированные музеи
Достопримечательности,Развлечения в Москве,Павильон 34 Космос,Москва,Музеи,Научные музеи
Достопримечательности,Развлечения в Москве,"Конгрессно-выставочный центр ""Сокольники""",Москва,Достопримечательности и культурные объекты,"Конференц-центры,Административные центры"
Достопримечательности,Развлечения в Москве,Музей автомобильных историй,Москва,Музеи,"Специализированные музеи,Исторические музеи,Детские музеи"
Достопримечательности,Развлечения в Москве,Музей Московского метрополитена,Москва,Музеи,Специализированные музеи
Достопримечательности,Развлечения в Москве,Российский академический Молодежный Театр,Москва,Концерты и представления,Театры
Достопримечательности,Развлечения в Москве,Монумент: Дети — жертвы пороков взрослых,Москва,Достопримечательности и культурные объекты,Памятники и статуи
Достопримечательности,Развлечения в Москве,Институт русского реалистического искусства,Москва,Музеи,Музеи искусств
Достопримечательности,Развлечения в Москве,Памятник Юрию Гагарину,Москва,Достопримечательности и культурные объекты,Памятники и статуи
Достопримечательности,Развлечения в Москве,Парк Серебряный бор,Москва,Природа и парки,Парки
Достопримечательности,Развлечения в Москве,Московский театр под руководством О. Табакова,Москва,Концерты и представления,Театры
Достопримечательности,Развлечения в Москве,Московский областной государственный театр юного зрителя,Москва,Концерты и представления,Театры
Достопримечательности,Развлечения в Москве,Храм священномученика Климента,Москва,Достопримечательности и культурные объекты,Церкви и соборы
Достопримечательности,Развлечения в Москве,Москвариум,Москва,Зоопарки и океанариумы,Океанариумы
Достопримечательности,Развлечения в Москве,Северный Речной Вокзал,Москва,Достопримечательности и культурные объекты,"Культурные объекты и достопримечательности,Пирсы и пляжные променады,Архитектурные достопримечательности"
