category,city,name,region,subcategory,tags
Достопримечательности,Арзамас,"Музей горного дела, геологии и спелеологии",Нижегородская область,Музеи,Специализированные музеи
Достопримечательности,Подвязье,Усадьба Приклонских-Рукавишниковых,Нижегородская область,Достопримечательности и культурные объекты,"Архитектурные достопримечательности,Исторические достопримечательности"
Достопримечательности,Нижний Новгород,Нижегородский Экзотариум,Нижегородская область,Природа и парки,Природные и заповедные зоны
Достопримечательности,Нижний Новгород,Памятник Валерию Чкалову,Нижегородская область,Достопримечательности и культурные объекты,Памятники и статуи
Достопримечательности,Нижний Новгород,Благовещенский мужской монастырь,Нижегородская область,Достопримечательности и культурные объекты,Культурные объекты и достопримечательности
Достопримечательности,Кстово,Церковь в честь иконы Божией Матери Владимирской,Нижегородская область,Достопримечательности и культурные объекты,Церкви и соборы
Достопримечательности,Нижний Новгород,Арка электрических витаминов,Нижегородская область,Достопримечательности и культурные объекты,Культурные объекты и достопримечательности
Достопримечательности,Нижний Новгород,Нижегородский городской музей техники и оборонной промышленности,Нижегородская область,Музеи,Специализированные музеи
Достопримечательности,Кстово,Памятник Чкалову,Нижегородская область,Достопримечательности и культурные объекты,Памятники и статуи
Достопримечательности,Нижний Новгород,Музей-квартира А.М.Горького,Нижегородская область,Музеи,Специализированные музеи
Достопримечательности,Нижний Новгород,"Мультимедийный Исторический Парк ""Россия-моя история""",Нижегородская область,Музеи,"Исторические музеи,Специализированные музеи"
Достопримечательности,Нижний Новгород,Памятник Минину и Пожарскому,Нижегородская область,Достопримечательности и культурные объекты,Памятники и статуи
Достопримечательности,Выкса,Музей истории АО ВМЗ,Нижегородская область,Музеи,Специализированные музеи
Достопримечательности,Нижний Новгород,Площадь Минина и Пожарского,Нижегородская область,Достопримечательности и культурные объекты,Культурные объекты и достопримечательности
Достопримечательности,Кстово,Детский парк,Нижегородская область,Развлечения и игры,Игровые площадки
Достопримечательности,Саров,Саровский подземный комплекс,Нижегородская область,Достопримечательности и культурные объекты,"Священные места и религиозные достопримечательности,Церкви и соборы"
Достопримечательности,Павлово,усадьба Гомулина,Нижегородская область,Музеи,Специализированные музеи
Достопримечательности,Нижний Новгород,Дом Сироткина,Нижегородская область,Музеи,Специализированные музеи
Достопримечательности,Нижний Новгород,Музей занимательных наук Кварки,Нижегородская область,Музеи,Специализированные музеи
Достопримечательности,Нижний Новгород,"Арт-галерея ""Кладовка""",Нижегородская область,Покупки,Художественные галереи
Достопримечательности,Богородский район,Богородский музей керамики,Нижегородская область,Музеи,Музеи искусств
Достопримечательности,Нижний Новгород,"Галерея ""Хрупкие мечты""",Нижегородская область,Покупки,Художественные галереи
Достопримечательности,Кстово,Храм в честь Преподобного Сергия Радонежского,Нижегородская область,Достопримечательности и культурные объекты,Церкви и соборы
Достопримечательности,Городец,Музей Городецкий пряник,Нижегородская область,Музеи,Специализированные музеи
Достопримечательности,Нижний Новгород,Михайло-Архангельский собор,Нижегородская область,Достопримечательности и культурные объекты,Священные места и религиозные достопримечательности
Достопримечательности,Нижний Новгород,Памятник Жюль Верну,Нижегородская область,Достопримечательности и культурные объекты,Памятники и статуи
Достопримечательности,Нижний Новгород,Музей архитектуры и быта народов Нижегородского Поволжья,Нижегородская область,Музеи,Музеи искусств
Достопримечательности,Большое Болдино,,Нижегородская область,Достопримечательности и культурные объекты,"Специализированные музеи,Культурные объекты и достопримечательности"
Достопримечательности,Бор,Борский городской парк культуры и отдыха,Нижегородская область,Природа и парки,Парки
Достопримечательности,Бор,Церковь иконы Божией Матери Знамение,Нижегородская область,Достопримечательности и культурные объекты,"Архитектурные достопримечательности,Церкви и соборы,Исторические достопримечательности"
Достопримечательности,Бор,Храм во имя преподобного Сергея Радонежского,Нижегородская область,Достопримечательности и культурные объекты,Культурные объекты и достопримечательности
Достопримечательности,Чкаловск,Музей Валерия Чкалова,Нижегородская область,Музеи,Специализированные музеи
Достопримечательности,Нижний Новгород,Храм Рождества Иоанна Предтечи,Нижегородская область,Достопримечательности и культурные объекты,Культурные объекты и достопримечательности
Достопримечательности,Балахна,Дом Плотникова,Нижегородская область,Музеи,"Исторические музеи,Музеи естествознания"
Достопримечательности,Ворсма,Свято-Троицкий Островоезерский монастырь,Нижегородская область,Достопримечательности и культурные объекты,"Священные места и религиозные достопримечательности,Культурные объекты и достопримечательности"
Достопримечательности,Кстово,Церковь Троицы Живоначальной,Нижегородская область,Достопримечательности и культурные объекты,Церкви и соборы
Достопримечательности,Кстово,Часовня во имя святого Благоверного и Великого князя Александра Невского,Нижегородская область,Достопримечательности и культурные объекты,Церкви и соборы
Достопримечательности,Дзержинск,Дзержинский театр драмы,Нижегородская область,Концерты и представления,Театры
Достопримечательности,Нижний Новгород,Памятник Максиму Горькому,Нижегородская область,Достопримечательности и культурные объекты,Памятники и статуи
Достопримечательности,Нижний Новгород,Музей истории развития Горьковской железной дороги,Нижегородская область,Музеи,Специализированные музеи
Достопримечательности,Нижний Новгород,Дельфинарий,Нижегородская область,Зоопарки и океанариумы,Океанариумы
Достопримечательности,Нижний Новгород,Музей истории завода Красное Сормово,Нижегородская область,Музеи,Исторические музеи
Достопримечательности,Нижний Новгород,FUTURO Gallery,Нижегородская область,Покупки,"Художественные галереи,Музеи искусств"
Достопримечательности,Нижний Новгород,Музей живой бумаги,Нижегородская область,Покупки,Художественные галереи
Достопримечательности,Выкса,Усадебно-промышленный комплекс Баташевых-Шепелевых,Нижегородская область,Музеи,Специализированные музеи
Достопримечательности,Нижний Новгород,Ивановская башня,Нижегородская область,Достопримечательности и культурные объекты,Культурные объекты и достопримечательности
Достопримечательности,Дивеево,Часовня в честь преп.Серафима Саровского,Нижегородская область,Достопримечательности и культурные объекты,Церкви и соборы
Достопримечательности,Нижний Новгород,Нижегородский планетарий,Нижегородская область,Музеи,Специализированные музеи
Достопримечательности,Бор,Памятник Ленину,Нижегородская область,Достопримечательности и культурные объекты,Памятники и статуи
