category,city,name,region,subcategory,tags
Достопримечательности,Нижний Новгород,"Зоопарк ""Лимпопо""",Нижегородская область,,Зоопарки
Достопримечательности,Дивеево,Источник Святого Пантелеймона,Нижегородская область,,Священные места и религиозные достопримечательности
Достопримечательности,Дзержинск,Шуховская башня,Нижегородская область,,Культурные объекты и достопримечательности
Достопримечательности,Нижний Новгород,Скоростной поезд Стриж,Нижегородская область,,Системы общественного транспорта
Достопримечательности,Нижний Новгород,"Художественная галерея ""Юрковка""",Нижегородская область,,Художественные галереи
Достопримечательности,Нижний Новгород,Нижегородский государственный художественный музей,Нижегородская область,,Специализированные музеи
Достопримечательности,Нижний Новгород,"Скульптура ""Весёлая коза""",Нижегородская область,,Памятники и статуи
Достопримечательности,Нижний Новгород,Верхневолжская набережная,Нижегородская область,,Культурные объекты и достопримечательности
Достопримечательности,Развлечения в Нижегородской области,Окская тропа,Нижегородская область,,Пешеходные маршруты
Достопримечательности,Нижний Новгород,Стадион Нижний Новгород,Нижегородская область,,Арены и стадионы
Достопримечательности,Городец,Музей Самоваров,Нижегородская область,,Специализированные музеи
Достопримечательности,Арзамас,Свято-Николаевский женский монастырь,Нижегородская область,,Культурные объекты и достопримечательности
Достопримечательности,Нижний Новгород,Нижне-Волжская набережная,Нижегородская область,,"Прогулки по живописной местности,Культурные объекты и достопримечательности"
Достопримечательности,Арзамас,Воскресенский Собор,Нижегородская область,,Церкви и соборы
Достопримечательности,Нижний Новгород,Кафедральный собор во имя святого благоверного князя Александра Невского,Нижегородская область,,Церкви и соборы
Достопримечательности,Нижний Новгород,Горьковский музей паровозов,Нижегородская область,,Исторические музеи
Достопримечательности,Нижний Новгород,Улица Рождественская,Нижегородская область,,Прогулки по живописной местности
Достопримечательности,Нижний Новгород,Печерский Вознесенский монастырь,Нижегородская область,,Церкви и соборы
Достопримечательности,Дивеево,Святая Канавка Царицы Небесной,Нижегородская область,,Священные места и религиозные достопримечательности
Достопримечательности,Дивеево,Источник Серафима Саровского,Нижегородская область,,"Водоемы,Священные места и религиозные достопримечательности"
Достопримечательности,Нижний Новгород,Государственный банк,Нижегородская область,,"Архитектурные достопримечательности,Культурные объекты и достопримечательности"
Достопримечательности,Нижний Новгород,Музей Старинной Техники и Инструментов,Нижегородская область,,Научные музеи
Достопримечательности,Нижний Новгород,Усадьба Рукавишниковых,Нижегородская область,,"Специализированные музеи,Исторические музеи"
Достопримечательности,Нижний Новгород,Парк чудес Галилео,Нижегородская область,,"Специализированные музеи,Загадочные места,Тематические парки развлечений"
Достопримечательности,Нижний Новгород,Улица Большая Покровская,Нижегородская область,,Культурные объекты и достопримечательности
Достопримечательности,Дивеево,Серафимо-Дивеевский монастырь,Нижегородская область,,"Архитектурные достопримечательности,Священные места и религиозные достопримечательности"
Достопримечательности,Нижний Новгород,Чкаловская лестница,Нижегородская область,,Культурные объекты и достопримечательности
Достопримечательности,Нижний Новгород,Нижегородские Канатные Дороги,Нижегородская область,,Трамваи
Достопримечательности,Нижний Новгород,Набережная Федоровского,Нижегородская область,,Исторические места для прогулок
Достопримечательности,Нижний Новгород,Нижегородский Кремль,Нижегородская область,,Замки
