category,city,name,region,subcategory,tags
Достопримечательности,Великий Новгород,Памятник Сергею Рахманинову,Новгородская область,Достопримечательности и культурные объекты,"Памятники и статуи,Культурные объекты и достопримечательности"
Достопримечательности,Великий Новгород,Кремлевский парк,Новгородская область,Природа и парки,Парки
Достопримечательности,Великий Новгород,Туристский информационный центр Красная Изба,Новгородская область,Ресурсы для путешественников,Туристические центры
Достопримечательности,Великий Новгород,Новгородский кремль (детинец),Новгородская область,Достопримечательности и культурные объекты,Исторические места для прогулок
Достопримечательности,Боровичский район,Свято-Духов монастырь,Новгородская область,Достопримечательности и культурные объекты,Церкви и соборы
Достопримечательности,Великий Новгород,Музей Изобразительных искусств,Новгородская область,Музеи,Специализированные музеи
Достопримечательности,Старая Русса,Музей Северо-Западного фронта,Новгородская область,Музеи,"Исторические музеи,Специализированные музеи,Военные музеи"
Достопримечательности,Великий Новгород,Знаменский собор,Новгородская область,Достопримечательности и культурные объекты,Архитектурные достопримечательности
Достопримечательности,Великий Новгород,Новгородский государственный объединенный музей-заповедник,Новгородская область,Музеи,Специализированные музеи
Достопримечательности,Валдай,Музей колоколов,Новгородская область,Музеи,Специализированные музеи
Достопримечательности,Великий Новгород,Церковь Параскевы Пятницы на Торгу,Новгородская область,Достопримечательности и культурные объекты,"Церкви и соборы,Исторические музеи"
Достопримечательности,д. Хутынь,Варлаамо-Хутынский женский монастырь,Новгородская область,Достопримечательности и культурные объекты,Культурные объекты и достопримечательности
Достопримечательности,Боровичский район,"Спортивный Комплекс ""Олимп""",Новгородская область,Развлечения и игры,Спортивные комплексы
Достопримечательности,Старая Русса,Церковь Георгия Победоносца,Новгородская область,Достопримечательности и культурные объекты,Церкви и соборы
Достопримечательности,Великий Новгород,Памятник девушке-туристке,Новгородская область,Достопримечательности и культурные объекты,Памятники и статуи
Достопримечательности,Великий Новгород,Витославлицы музей народного деревянного зодчества,Новгородская область,Музеи,Специализированные музеи
Достопримечательности,Великий Новгород,Ярославово Дворище,Новгородская область,Достопримечательности и культурные объекты,Исторические места для прогулок
Достопримечательности,Валдай,Иверский святоозерский мужской монастырь,Новгородская область,Достопримечательности и культурные объекты,Культурные объекты и достопримечательности
Достопримечательности,Великий Новгород,Церковь Спаса Преображения на Ильине улице,Новгородская область,Достопримечательности и культурные объекты,Архитектурные достопримечательности
Достопримечательности,Боровичский район,Боровичский краеведческий музей,Новгородская область,Музеи,Специализированные музеи
Достопримечательности,Великий Новгород,Пешеходный мост через реку Волхов,Новгородская область,Достопримечательности и культурные объекты,Мосты
Достопримечательности,Старая Русса,Курортный парк Старая Русса,Новгородская область,Природа и парки,Парки
Достопримечательности,Великий Новгород,Центр музыкальных древностей В.И. Поветкина,Новгородская область,Музеи,Специализированные музеи
Достопримечательности,Старая Русса,Дом-Музей Ф. М. Достоевского,Новгородская область,Музеи,Исторические музеи
Достопримечательности,Великий Новгород,Владычная (Грановитая) палата,Новгородская область,Достопримечательности и культурные объекты,Архитектурные достопримечательности
Достопримечательности,Старая Русса,Музей Усадьба средневекового рушанина,Новгородская область,Музеи,Специализированные музеи
Достопримечательности,Великий Новгород,Собор Софии Премудрости Божией,Новгородская область,Достопримечательности и культурные объекты,Архитектурные достопримечательности
Достопримечательности,Великий Новгород,Памятник «Тысячелетие России»,Новгородская область,Достопримечательности и культурные объекты,Памятники и статуи
Достопримечательности,Старая Русса,Городской Центр Туризма,Новгородская область,Ресурсы для путешественников,Туристические центры
Достопримечательности,Старая Русса,Церковь Мины Великомученика,Новгородская область,Достопримечательности и культурные объекты,Церкви и соборы
Достопримечательности,Великий Новгород,Ганзейский фонтан,Новгородская область,Достопримечательности и культурные объекты,"Фонтаны,Культурные объекты и достопримечательности"
Достопримечательности,Старая Русса,Муравьевский фонтан и питьевая галерея,Новгородская область,Достопримечательности и культурные объекты,Фонтаны
Достопримечательности,Коростынь,Немецкое мемориальное кладбище,Новгородская область,Достопримечательности и культурные объекты,"Кладбища,Исторические достопримечательности,Больше,Прогулки по живописной местности,Исторические места для прогулок, "
Достопримечательности,Старая Русса,Памятник Ф.М. Достоевскому,Новгородская область,Достопримечательности и культурные объекты,Памятники и статуи
Достопримечательности,Великий Новгород,Памятник рисующему мальчику,Новгородская область,Достопримечательности и культурные объекты,"Памятники и статуи,Прогулки по живописной местности,Пирсы и пляжные променады"
Достопримечательности,Великий Новгород,Софийская звонница,Новгородская область,Музеи,Специализированные музеи
Достопримечательности,Старая Русса,Водонапорная башня,Новгородская область,Достопримечательности и культурные объекты,"Смотровые площадки и башни,Культурные объекты и достопримечательности"
Достопримечательности,д. Вяжищи,Николо-Вяжищский женский монастырь,Новгородская область,Достопримечательности и культурные объекты,Культурные объекты и достопримечательности
Достопримечательности,Великий Новгород,Церковь Спаса на Нередице,Новгородская область,Достопримечательности и культурные объекты,Церкви и соборы
Достопримечательности,Старая Русса,Царицинский источник,Новгородская область,Природа и парки,Водоемы
Достопримечательности,Великий Новгород,Монумент Победы,Новгородская область,Достопримечательности и культурные объекты,"Памятники и статуи,Архитектурные достопримечательности,Исторические достопримечательности,Больше,Культурные объекты и достопримечательности,Смотровые площадки и башни, "
Достопримечательности,Крестцы,Крестецкий районный краеведческий музей,Новгородская область,Музеи,"Специализированные музеи,Исторические музеи"
Достопримечательности,Боровичский район,Деревянный железнодорожный вокзал станции Боровичи,Новгородская область,Достопримечательности и культурные объекты,"Архитектурные достопримечательности,Исторические достопримечательности,Больше,Культурные объекты и достопримечательности,Прогулки по живописной местности,Исторические места для прогулок, "
Достопримечательности,Боровичский район,Церковь Мученицы Параскевы,Новгородская область,Достопримечательности и культурные объекты,Церкви и соборы
