category,city,name,region,subcategory,tags
Достопримечательности,Самара,Набережная г. Самары,Самарская область,Достопримечательности и культурные объекты,"Прогулки по живописной местности, ,Культурные объекты и достопримечательности,Больше,Фонтаны,Обзорные площадки"
Достопримечательности,Самара,"Горнолыжный комплекс ""СОК Красная Глинка""",Самарская область,Природа и парки,Зоны катания на горных лыжах и сноубордах
Достопримечательности,с. Ширяево,Ширяевские штольни,Самарская область,Природа и парки,"Гроты и пещеры,Геологические образования"
Достопримечательности,Жигулевск,Дом-музей И.Е. Репина,Самарская область,Музеи,Специализированные музеи
Достопримечательности,Самара,Музейно-выставочный центр Самара Космическая,Самарская область,Музеи,Специализированные музеи
Достопримечательности,Самара,Памятник Григорию Засекину,Самарская область,Достопримечательности и культурные объекты,"Культурные объекты и достопримечательности,Памятники и статуи"
Достопримечательности,Ставропольский район,Свято-Троицкий храм,Самарская область,Достопримечательности и культурные объекты,Церкви и соборы
Достопримечательности,Самара,Музей-усадьба А.Н. Толстого,Самарская область,Музеи,Исторические музеи
Достопримечательности,Самара,Струковский сад,Самарская область,Природа и парки,Парки
Достопримечательности,Новокуйбышевск,Дубки,Самарская область,Природа и парки,Парки
Достопримечательности,Сызрань,	Святой источник Феодоровской иконы Божией Матери,Самарская область,Достопримечательности и культурные объекты,Культурные объекты и достопримечательности
Достопримечательности,Тольятти,Тольяттинский краеведческий музей,Самарская область,Музеи,Специализированные музеи
Достопримечательности,Самара,Самара Арена,Самарская область,Достопримечательности и культурные объекты,Арены и стадионы
Достопримечательности,Тольятти,Храм Успения Пресвятой Богородицы,Самарская область,Достопримечательности и культурные объекты,"Архитектурные достопримечательности,Священные места и религиозные достопримечательности"
Достопримечательности,Тольятти,Памятник В. Н. Татищеву,Самарская область,Достопримечательности и культурные объекты,Памятники и статуи
Достопримечательности,Самара,"Скульптурная композиция ""Бурлаки на Волге""",Самарская область,Достопримечательности и культурные объекты,Культурные объекты и достопримечательности
Достопримечательности,Самара,Музей Модерна,Самарская область,Музеи,Специализированные музеи
Достопримечательности,Самара,Ленинградская улица,Самарская область,Достопримечательности и культурные объекты,"Исторические места для прогулок,Культурные объекты и достопримечательности"
Достопримечательности,Тольятти,Спасо-Преображенский собор,Самарская область,Достопримечательности и культурные объекты,"Архитектурные достопримечательности,Священные места и религиозные достопримечательности"
Достопримечательности,Жигулевск,"Национальный парк ""Самарская Лука""",Самарская область,Природа и парки,Национальные парки
Достопримечательности,Самара,Бункер И.В. Сталина,Самарская область,Музеи,Специализированные музеи
Достопримечательности,Самара,Площадь Куйбышева,Самарская область,развлечения поблизости.,Культурные объекты и достопримечательности
Достопримечательности,Сызрань,Сызранский кремль,Самарская область,Достопримечательности и культурные объекты,Культурные объекты и достопримечательности
Достопримечательности,Сызрань,Казанский кафедральный собор,Самарская область,Достопримечательности и культурные объекты,"Архитектурные достопримечательности,Священные места и религиозные достопримечательности"
Достопримечательности,Самара,Смотровая площадка,Самарская область,Достопримечательности и культурные объекты,"Смотровые площадки и башни,Обзорные площадки"
Достопримечательности,Развлечения в Самарской области,Шунгутский водопад,Самарская область,Природа и парки,Водопады
Достопримечательности,Самара,Парк чудес Галилео,Самарская область,Достопримечательности и культурные объекты,"Загадочные места,Тематические парки развлечений,Специализированные музеи"
Достопримечательности,Тольятти,Музей АвтоВАЗ,Самарская область,Музеи,Специализированные музеи
Достопримечательности,Тольятти,Парковый комплекс истории техники имени К. Г. Сахарова,Самарская область,Музеи,Военные музеи
Достопримечательности,Хрящевка,Замок Гарибальди,Самарская область,Достопримечательности и культурные объекты,"Культурные объекты и достопримечательности,Архитектурные достопримечательности,Замки"
category,city,name,region,subcategory,tags
Достопримечательности,Самара,Парк культуры и отдыха им. Ю.А. Гагарина,Самарская область,Природа и парки,Парки
Достопримечательности,Отрадный,Храм в честь великомученика и целителя Пантелеимона,Самарская область,Достопримечательности и культурные объекты,Церкви и соборы
Достопримечательности,Жигулевск,Храм во имя святого праведного Иоанна Кронштадтского,Самарская область,Достопримечательности и культурные объекты,Церкви и соборы
Достопримечательности,Тольятти,Фанни парк,Самарская область,Природа и парки,Парки
Достопримечательности,Жигулевск,Самарская Лука,Самарская область,Музеи,Специализированные музеи
Достопримечательности,Самара,Памятник В.И. Чапаеву,Самарская область,Достопримечательности и культурные объекты,Памятники и статуи
Достопримечательности,Тольятти,Парк Победы,Самарская область,Природа и парки,Парки
Достопримечательности,Сызрань,Памятник воеводе Григорию Козловскому,Самарская область,Достопримечательности и культурные объекты,Памятники и статуи
Достопримечательности,Жигулевск,Жигулевская ГЭС,Самарская область,Достопримечательности и культурные объекты,"Культурные объекты и достопримечательности,Плотины"
