category,city,name,region,subcategory,tags
Отели,Рускеала,Holiday Park Ruskeala,Республика Карелия,,
Отели,Сортавала,Guest House Na Vyborgskom,Республика Карелия,,
Отели,Петрозаводск,"Гостиница ""Руна""",Республика Карелия,,
Отели,Рускеала,Карел,Республика Карелия,,
Отели,Рускеала,Mini-Gostinitsa Yuliya,Республика Карелия,,
Отели,Кондопожский район,Сандал,Республика Карелия,,
Отели,Пудож,Отель Онего,Республика Карелия,,
Отели,Петрозаводск,"Гостиница ""Северная""",Республика Карелия,,
Отели,Сортавала,Gourmet-hotel Wild Chocolate,Республика Карелия,,
Отели,д. Рауталахти,Времена Года,Республика Карелия,,
Отели,Шуйская Чупа,Shuyskaya Chupa Resort Village,Республика Карелия,,
Отели,Петрозаводск,Марциальные ключи,Республика Карелия,,
Отели,Отели Республики Карелия,Гостевой комплекс Остров,Республика Карелия,,
Отели,Рускеала,Гостевой дом Царь Горы,Республика Карелия,,
Отели,Петрозаводск,СПА Отель «Карелия»,Республика Карелия,,
Отели,Петрозаводск,Комплекс Karjala Park,Республика Карелия,,
Отели,Сортавала,Дом для хороших гостей,Республика Карелия,,
Отели,Сортавала,Mini-Hotel Impulse,Республика Карелия,,
Отели,Шуя,"Гостиничный комплекс ""Карельская усадьба""",Республика Карелия,,
Отели,Рускеала,Camping Paporotnik,Республика Карелия,,
Отели,Сортавала,Riekkalansaari Mini Hotel,Республика Карелия,,
Отели,Лахденпохский район,"Гостиница ""Щучье озеро""",Республика Карелия,,
Отели,Сегежа,Topaz-Kola Hotel,Республика Карелия,,
Отели,Петрозаводск,Клубный отель Прионежский,Республика Карелия,,
Отели,Медвежьегорск,Загородный клуб Большая Медведица,Республика Карелия,,
Отели,Киркколахти,База отдыха Черные камни,Республика Карелия,,
Отели,Пряжинский район,Денисов мыс,Республика Карелия,,
Отели,Петрозаводск,Piter Inn Petrozavodsk,Республика Карелия,,
Отели,Петрозаводск,Отель Cosmos Petrozavodsk,Республика Карелия,,
Отели,Петрозаводск,Отель Фрегат,Республика Карелия,,
Отели,Сортавала,Dom U Ozera Hyumpelyayarvi,Республика Карелия,,
