category,city,name,region,subcategory,tags
Отели,Отели Москвы,AZIMUT Отель Смоленская Москва,Москва,,
Отели,Отели Москвы,Отель Элемент,Москва,,
Отели,Отели Москвы,Отель Ахаус,Москва,,
Отели,Отели Москвы,Новотель Москва Центр,Москва,,
Отели,Отели Москвы,Отель Арбат Хаус,Москва,,
Отели,Отели Москвы,Гостиница Хилтон Москва Ленинградская,Москва,,
Отели,Отели Москвы,Свиссотель Красные Холмы Москва,Москва,,
Отели,Отели Москвы,Гостиница Славянка,Москва,,
Отели,Отели Москвы,Мамезон Ол-Суитс Спа Отель Покровка,Москва,,
Отели,Отели Москвы,Рэдиссон Коллекшен Отель Москва,Москва,,
Отели,Отели Москвы,"Отель ""Ibis Москва Центр Бахрушина""",Москва,,
Отели,Отели Москвы,Москва Марриотт Гранд Отель,Москва,,
Отели,Отели Москвы,Select Hotel Paveletskaya,Москва,,
Отели,Химки,Отель СкайПойнт Шереметьево,Московская Область,,
Отели,Отели Москвы,Гостиница Метрополь Москва,Москва,,
Отели,Отели Москвы,Петр 1,Москва,,
Отели,Отели Москвы,Гостиница Аструс - Центральный Дом Туриста,Москва,,
Отели,Отели Москвы,Гостиничный комплекс Измайлово Гамма-Дельта,Москва,,
Отели,Отели Москвы,DoubleTree by Hilton Hotel Moscow - Marina,Москва,,
Отели,Отели Москвы,Гостиница Останкино,Москва,,
Отели,Отели Москвы,Гостиница Бета Измайлово,Москва,,
Отели,Отели Москвы,Меркюр Арбат Москва,Москва,,
Отели,Отели Москвы,Oтель Radisson Blu Олимпийский,Москва,,
Отели,Отели Москвы,Ibis Moscow Kievskaya,Москва,,
Отели,Отели Москвы,Гостиница Рэдиссон Блу Белорусская,Москва,,
Отели,Отели Москвы,Ибис Москва Динамо Отель,Москва,,
Отели,Отели Москвы,Кортъярд Марриотт Москва Сити Центр,Москва,,
Отели,Отели Москвы,Ренессанс Москва Монарх Центр Отель,Москва,,
Отели,Внуково,DoubleTree By Hilton Moscow - Vnukovo Airport,Московская Область,,
Отели,Отели Москвы,ИнтерКонтинентал Москва Тверская,Москва,,
Отели,Отели Москвы,Арарат Парк Хаятт Москва,Москва,,
Отели,B&B/мини-отели/гостиницы Москвы,Круассан Отель и Кофейня,Москва,,
Отели,Отели Москвы,"Апарт-отель ""Ханой-Москва""",Москва,,
