category,city,name,region,subcategory,tags
Отели,Нижний Новгород,Отель Майский сад,Нижегородская область,,
Отели,Нижний Новгород,Мини-отель На Ильинке,Нижегородская область,,
Отели,Нижний Новгород,Ярослав Hotel & Spa,Нижегородская область,,
Отели,Нижний Новгород,Маринс Парк Отель,Нижегородская область,,
Отели,Дивеево,Гостевой дом Светочь,Нижегородская область,,
Отели,Нижний Новгород,"Гостиница ""Заречная""",Нижегородская область,,
Отели,Нижний Новгород,"Апарт-отель ""Лондон - Париж""",Нижегородская область,,
Отели,Нижний Новгород,Отель Покровский Посад,Нижегородская область,,
Отели,Нижний Новгород,Отель Жук Жак,Нижегородская область,,
Отели,Нижний Новгород,Отель Joy,Нижегородская область,,
Отели,Нижний Новгород,Отель Easy Room,Нижегородская область,,
Отели,Нижний Новгород,Mercure Нижний Новгород Центр,Нижегородская область,,
Отели,Нижний Новгород,City Hotel Sova,Нижегородская область,,
Отели,Нижний Новгород,"Отель ""Никитин""",Нижегородская область,,
Отели,Нижний Новгород,Гостиница Воробей,Нижегородская область,,
Отели,Нижний Новгород,Отель Бальмонт,Нижегородская область,,
Отели,Нижний Новгород,"Бутик-отель ""Рождественский дворик""",Нижегородская область,,
Отели,Дивеево,Дивеев град,Нижегородская область,,
Отели,Дивеево,Дивеевский гостевой дом,Нижегородская область,,
Отели,Нижний Новгород,Мини-отель Salstory,Нижегородская область,,
Отели,Нижний Новгород,Гостиница Ибис Нижний Новгород,Нижегородская область,,
Отели,Нижний Новгород,"Отель ""Элион""",Нижегородская область,,
Отели,Нижний Новгород,Гранд Отель Ока Бизнес,Нижегородская область,,
Отели,Нижний Новгород,AZIMUT Отель Нижний Новгород,Нижегородская область,,
Отели,Нижний Новгород,Отель Покровка,Нижегородская область,,
Отели,Нижний Новгород,Courtyard Нижний Новгород Сити Центр,Нижегородская область,,
Отели,Нижний Новгород,Hampton by Hilton Nizhny Novgorod,Нижегородская область,,
Отели,Нижний Новгород,Бугров Хостел,Нижегородская область,,
Отели,Дивеево,Дивеевская cлобода,Нижегородская область,,
Отели,Нижний Новгород,Sheraton Nizhny Novgorod Kremlin,Нижегородская область,,
Отели,Дзержинск,БерЛога,Нижегородская область,,
Отели,Дивеево,Planeta,Нижегородская область,,
Отели,Нижний Новгород,Весна,Нижегородская область,,
Отели,Нижний Новгород,отель Орион,Нижегородская область,,
Отели,Дивеево,Гостевой Дом Благовест,Нижегородская область,,
Отели,Нижний Новгород,Гостиница Монарх,Нижегородская область,,
Отели,Нижний Новгород,,Нижегородская область,,
Отели,Дивеево,Гостиница Дивеево,Нижегородская область,,
Отели,Нижний Новгород,Ирис,Нижегородская область,,
Отели,Нижний Новгород,Гостиница Шинель,Нижегородская область,,
Отели,Заволжье,Усадьба Жемчужная,Нижегородская область,,
Отели,Нижний Новгород,Отель Арт 11,Нижегородская область,,
Отели,Желнино,Загородный отель Чайка,Нижегородская область,,
Отели,Арзамас,"Отель ""Реавиль""",Нижегородская область,,
Отели,Нижний Новгород,"Отель ""Дипломат""",Нижегородская область,,
Отели,Арзамас,Диана,Нижегородская область,,
Отели,Нижний Новгород,Отель Акварель,Нижегородская область,,
Отели,Дзержинск,Гостиница Ранчо 636,Нижегородская область,,
Отели,Нижний Новгород,Гостиный дом 12 месяцев,Нижегородская область,,
Отели,Городец,Малый КитежЪ,Нижегородская область,,
Отели,Нижний Новгород,Гостиница Мещера,Нижегородская область,,
Отели,Нижний Новгород,Отель ГОРКИ,Нижегородская область,,
Отели,Ильино,Загородный клуб Ильдорф,Нижегородская область,,
Отели,Дивеево,Hotel Divny Dvorik,Нижегородская область,,
Отели,п. Шатки,Shatkovskaya Inn,Нижегородская область,,
Отели,Нижний Новгород,Никола Хаус,Нижегородская область,,
Отели,Нижний Новгород,Гостиница Сергиевская,Нижегородская область,,
Отели,Нижний Новгород,Мегаполис,Нижегородская область,,
Отели,Нижний Новгород,Бизнес-отель Николь,Нижегородская область,,
Отели,Дивеево,"Гостевой Дом ""Странник""",Нижегородская область,,
Отели,Городец,"Гостиница ""Премьер Отель""",Нижегородская область,,
Отели,Филипповское,Малиновая слобода,Нижегородская область,,
Отели,Нижний Новгород,Монами,Нижегородская область,,
Отели,Нижний Новгород,Рокко,Нижегородская область,,
Отели,Нижний Новгород,Отель Премьер,Нижегородская область,,
Отели,Нижний Новгород,"Хостел ""Хоум Хостел НН""",Нижегородская область,,
Отели,Нижний Новгород,Бэрри-хостел,Нижегородская область,,
Отели,Нижний Новгород,Happy Holiday Hostel,Нижегородская область,,
Отели,Дивеево,Дом паломника,Нижегородская область,,
Отели,Арзамас,Люкс,Нижегородская область,,
Отели,Нижний Новгород,Гостиница Октябрьская,Нижегородская область,,
Отели,Нижний Новгород,Нижний Хостел,Нижегородская область,,
Отели,Лысково,"Загородный отель ""Парус""",Нижегородская область,,
Отели,Нижний Новгород,Отель Астра,Нижегородская область,,
Отели,п. Новинки,Спортивная деревня  Новинки,Нижегородская область,,
Отели,Нижний Новгород,"Отель ""Серебряный ключ""",Нижегородская область,,
Отели,Нижний Новгород,Горький Отель,Нижегородская область,,
Отели,Дзержинск,"Мотель ""Кросс Мотель""",Нижегородская область,,
Отели,Дивеево,Guesthouse Pribrezhnyi,Нижегородская область,,
Отели,Нижний Новгород,Отель Ключ,Нижегородская область,,
Отели,Арзамас,"Гостиница ""Победа""",Нижегородская область,,
Отели,Нижний Новгород,Гостевой Дом Чилаут,Нижегородская область,,
Отели,Нижний Новгород,Профсоюзная,Нижегородская область,,
Отели,Малый Суходол,Изумрудное,Нижегородская область,,
Отели,Арзамасский район,"Профилакторий ""Морозовский""",Нижегородская область,,
Отели,Подлысье,"Дачный отель ""Река чаек""",Нижегородская область,,
Отели,Нижний Новгород,Гостиница Троицкая,Нижегородская область,,
