category,city,name,region,subcategory,tags
Отели,Великий Новгород,Park Inn by Radisson,Новгородская область,,
Отели,Валдай,Валдай гостевой дом Флора-53,Новгородская область,,
Отели,Великий Новгород,Гостиница Садко,Новгородская область,,
Отели,Боровичский район,"Гостиница ""Олимп""",Новгородская область,,
Отели,Валдайский район,"Турбаза ""Великое озеро""",Новгородская область,,
Отели,Старая Русса,Hotel Vestnik,Новгородская область,,
Отели,Великий Новгород,Hotel Welcome Inn,Новгородская область,,
Отели,Великий Новгород,Амакс отель Россия,Новгородская область,,
Отели,Валдай,Придорожный комплекс Автопарк,Новгородская область,,
Отели,Великий Новгород,Отель София,Новгородская область,,
Отели,Великий Новгород,Юрьевское Подворье,Новгородская область,,
Отели,Валдай,Валдай Эко Клуб,Новгородская область,,
Отели,Великий Новгород,Рахманинов отель,Новгородская область,,
Отели,Великий Новгород,БМ-Хостел Великий Новгород,Новгородская область,,
Отели,Валдай,Baza Otdikha Vatzy,Новгородская область,,
Отели,Великий Новгород,Гостевой дом Добрыня,Новгородская область,,
Отели,Великий Новгород,Арт-отель Вернисаж,Новгородская область,,
Отели,Старая Русса,Гостиница Полисть,Новгородская область,,
Отели,Старая Русса,Визави,Новгородская область,,
Отели,Великий Новгород,Гостевой Дом Аист,Новгородская область,,
Отели,Великий Новгород,Гостевой дом Валерия,Новгородская область,,
Отели,Великий Новгород,Гостиница Акрон,Новгородская область,,
Отели,Чудово,Волхов Мост,Новгородская область,,
Отели,Валдай,Валдайские Зори,Новгородская область,,
Отели,Великий Новгород,"Гостиница ""Волхов""",Новгородская область,,
Отели,Великий Новгород,Гостевой Дом Орловский,Новгородская область,,
Отели,Великий Новгород,Гостиница Интурист,Новгородская область,,
Отели,Пестово,"Отель ""Вокруг света""",Новгородская область,,
Отели,Великий Новгород,"Гостевой дом ""Три кота""",Новгородская область,,
Отели,Взвад,Дом охотника и рыбака,Новгородская область,,
Отели,Валдайский район,Ерёмина гора,Новгородская область,,
Отели,Зыковщина,Константинова Усадьба,Новгородская область,,
Отели,Великий Новгород,"Хостел ""Ярослав""",Новгородская область,,
Отели,Великий Новгород,Гостевой дом Антоново,Новгородская область,,
Отели,Валдай,Клёвое Место,Новгородская область,,
Отели,Валдай,Мараканас,Новгородская область,,
Отели,Бор,Любытино-хутор,Новгородская область,,
Отели,Валдай,Ватцы,Новгородская область,,
Отели,Великий Новгород,Гостевой дом Берёза,Новгородская область,,
Отели,Великий Новгород,Lyubava Hostel 2,Новгородская область,,
Отели,Валдай,Приют Охотника,Новгородская область,,
Отели,Великий Новгород,Роза Ветров,Новгородская область,,
Отели,Великий Новгород,Гостиница Ганза,Новгородская область,,
Отели,Старая Русса,Старая Русса,Новгородская область,,
Отели,Новая Ситенка,Валдайский Теннисный Клуб,Новгородская область,,
Отели,Великий Новгород,"Хостел ""Хоум""",Новгородская область,,
Отели,Великий Новгород,"Гостевой дом ""Кожевники""",Новгородская область,,
Отели,Валдай,Кот и кошка,Новгородская область,,
Отели,Великий Новгород,Эврика,Новгородская область,,
Отели,Великий Новгород,Апартаменты Берлога,Новгородская область,,
Отели,Валдай,Vatzy Guesthouse,Новгородская область,,
Отели,Валдай,Baza Klevoe Mesto,Новгородская область,,
Отели,Великий Новгород,Otel' Veryazhskiy,Новгородская область,,
Отели,Рощино,Дом отдыха Валдай,Новгородская область,,
Отели,Великий Новгород,Ламбада,Новгородская область,,
Отели,Селище,Klub Otdyha Liubogorie,Новгородская область,,
Отели,Боровичский район,Рабочая слобода,Новгородская область,,
Отели,Великий Новгород,Бутик-отель Трувор,Новгородская область,,
Отели,Великий Новгород,Профилакторий-Санаторий Акрон,Новгородская область,,
Отели,Боровичский район,Гостевои дом на Дзержинского,Новгородская область,,
Отели,Великий Новгород,Гостиница Новгородская,Новгородская область,,
Отели,Великий Новгород,Хостел Великий,Новгородская область,,
Отели,Валдай,Романовская усадьба,Новгородская область,,
Отели,Валдай,Национальный парк Валдайский,Новгородская область,,
Отели,Городищи,Мстинские Горки,Новгородская область,,
Отели,Боровичский район,Профилакторий,Новгородская область,,
Отели,Валдайский район,Берендеево царство,Новгородская область,,
Отели,Пестово,Гостиница Серебряный Бор,Новгородская область,,
Отели,Боровичский район,Отель VICTORIA,Новгородская область,,
Отели,Демянский район,Усадьба Русская деревенька,Новгородская область,,
Отели,Валдай,Holiday Home Podlipki,Новгородская область,,
Отели,Валдай,Хостел Ленина 3,Новгородская область,,
Отели,Великий Новгород,Гостевой дом Bergen,Новгородская область,,
Отели,Старая Русса,"Хостел ""Старая Русса""",Новгородская область,,
Отели,Великий Новгород,65HOME minihotel,Новгородская область,,
Отели,Великий Новгород,B&B Hotel Centre,Новгородская область,,
Отели,Хабарское,"Гостиница ""СК Хабарское""",Новгородская область,,
Отели,Старая Русса,Коттедж в Старой Руссе,Новгородская область,,
Отели,Великий Новгород,Рэстап Хостел ,Новгородская область,,
Отели,Великий Новгород,Гостиница Круиз,Новгородская область,,
Отели,Бураково,Кемпинг Валдайская тропа,Новгородская область,,
