category,city,name,region,subcategory,tags
Отели,Самара,Лотте Отель Самара,Самарская область,,
Отели,Самара,Apartment On Bulvar Ivana Finyutina,Самарская область,,
Отели,Тольятти,Гостиница Атаман,Самарская область,,
Отели,Самара,Отель Оазис,Самарская область,,
Отели,Самара,Гостиница Виктория,Самарская область,,
Отели,Самара,Гостиница Мельница,Самарская область,,
Отели,Тольятти,Отель Вега,Самарская область,,
Отели,Самара,Отель Меридиан,Самарская область,,
Отели,Тольятти,Подснежник,Самарская область,,
Отели,Самара,Гостиница Дубки,Самарская область,,
Отели,Самара,Butik-Hotel 7Terrass,Самарская область,,
Отели,Самара,Домик в самаре,Самарская область,,
Отели,Самара,Отель Городской,Самарская область,,
Отели,Тольятти,Алпен Парк,Самарская область,,
Отели,Самара,Отель Холидей Инн Самара,Самарская область,,
Отели,Самара,Альянс Отель Самарский,Самарская область,,
Отели,Самара,Гостиница Ост Вест Клуб,Самарская область,,
Отели,Тольятти,"Гостиница Амакс ""Юбилейная""",Самарская область,,
Отели,Самара,Гостиница Моя,Самарская область,,
Отели,Тольятти,Калина Красная,Самарская область,,
Отели,Береза,"Гостиница ""Авиаотель""",Самарская область,,
Отели,Самара,"Гостиничный комплекс ""Русская охота""",Самарская область,,
Отели,Самара,House on Potapova,Самарская область,,
Отели,Тольятти,Отель ЛАДА-РЕЗОРТ,Самарская область,,
Отели,Самара,"Отель ""Грин Лайн Самара""",Самарская область,,
Отели,Самара,Бутик Отель Лофт,Самарская область,,
Отели,Тольятти,"Гостиница ""Парк Отель""",Самарская область,,
Отели,Самара,Ибис Самара,Самарская область,,
Отели,Самара,Гостиница Бристоль-Жигули,Самарская область,,
Отели,Самара,Отель Hampton by Hilton Самара,Самарская область,,
Отели,Самара,"Мини-отель ""Вилла Классик """,Самарская область,,
Отели,Самара,"Хостел ""Лайм""",Самарская область,,
Отели,Безенчук,Парк-отель Васильевский,Самарская область,,
Отели,Самара,Веструм Отель,Самарская область,,
Отели,Самара,Гостиница Моя Глинка,Самарская область,,
Отели,Самара,Countries Hotel,Самарская область,,
Отели,Сызрань,"Гостиница ""У Кремля""",Самарская область,,
Отели,Самара,Отель Ренессанс Самара,Самарская область,,
Отели,Самара,Отель Граф Орлов,Самарская область,,
Отели,Тольятти,Mini-Hotel Matreshka,Самарская область,,
Отели,Ширяево,Apart-hotel Repino,Самарская область,,
Отели,Сызрань,Mini-Hotel Centre,Самарская область,,
Отели,Самара,Hostel Pixel,Самарская область,,
Отели,Тольятти,Алые Паруса,Самарская область,,
Отели,Самара,Гостиница Волга,Самарская область,,
Отели,Тольятти,На Суворова 41,Самарская область,,
Отели,Ставропольский район,Baza Otdykha Privol'ye,Самарская область,,
Отели,Самара,Хостел Комфорт,Самарская область,,
Отели,Самара,Гостиница Колос,Самарская область,,
Отели,Переволоки,Отель Итиль,Самарская область,,
Отели,Самара,Отель  Прага,Самарская область,,
Отели,Самара,Резиденция Троя,Самарская область,,
Отели,Самара,Гостиница Россия,Самарская область,,
Отели,Самара,Old City Hotel Samara,Самарская область,,
Отели,Сызрань,Кристалл,Самарская область,,
Отели,Тольятти,Ловчий Плюс,Самарская область,,
