category,city,name,region,subcategory,tags
Рестораны,Нижний Новгород,Ресторан АМО,Нижегородская область,,
Рестораны,Нижний Новгород,Библиотека,Нижегородская область,,
Рестораны,Нижний Новгород,Трактир Патрон. Дикая кухня,Нижегородская область,,
Рестораны,Нижний Новгород,Ресторан Экспедиция Северная кухня,Нижегородская область,,
Рестораны,Нижний Новгород,Хмель,Нижегородская область,,
Рестораны,Нижний Новгород,Mitrich,Нижегородская область,,
Рестораны,Нижний Новгород,Шустрый Шмэль,Нижегородская область,,
Рестораны,Нижний Новгород,Le grill,Нижегородская область,,
Рестораны,Нижний Новгород,Селедка & Кофе,Нижегородская область,,
Рестораны,Нижний Новгород,"Пельменная ""Лепи тесто""",Нижегородская область,,
Рестораны,Нижний Новгород,Южная кухня УГОЛЁК,Нижегородская область,,
Рестораны,Нижний Новгород,Franky,Нижегородская область,,
Рестораны,Нижний Новгород,GAUCHO Bar.B.Q. & Grill,Нижегородская область,,
Рестораны,Нижний Новгород,Джани ресторан,Нижегородская область,,
Рестораны,Нижний Новгород,Хинкальная,Нижегородская область,,
Рестораны,Нижний Новгород,Три апельсина,Нижегородская область,,
Рестораны,Нижний Новгород,Negroni Bar&Enoteca,Нижегородская область,,
Рестораны,Федяково,Мушу,Нижегородская область,,
Рестораны,Нижний Новгород,Ресторация Ёж,Нижегородская область,,
Рестораны,Нижний Новгород,"Кафе ""Позавчера""",Нижегородская область,,
Рестораны,Нижний Новгород,БаклаДжан,Нижегородская область,,
Рестораны,Дивеево,Кафе Пельменная,Нижегородская область,,
Рестораны,Нижний Новгород,Фонотека,Нижегородская область,,
Рестораны,Нижний Новгород,Noot,Нижегородская область,,
Рестораны,Нижний Новгород,Surf Coffee,Нижегородская область,,
Рестораны,Нижний Новгород,"Seafoodbar ""Рыба и Крабы""",Нижегородская область,,
Рестораны,Нижний Новгород,Пяткинъ,Нижегородская область,,
Рестораны,Нижний Новгород,Dodici Wine & Kitchen,Нижегородская область,,
Рестораны,Нижний Новгород,Хачапури,Нижегородская область,,
Рестораны,Нижний Новгород,Хачапурия,Нижегородская область,,
Рестораны,Нижний Новгород,"Гастропаб ""Горьковская пивоварня""",Нижегородская область,,
Рестораны,Нижний Новгород,"Ресторан ""Премьер""",Нижегородская область,,
