category,city,name,region,subcategory,tags
Рестораны,Нижний Новгород,Ресторан АМО,Нижегородская область,,
Рестораны,Нижний Новгород,Ресторан Экспедиция Северная кухня,Нижегородская область,,
Рестораны,Нижний Новгород,Хмель,Нижегородская область,,"Бар,Паб"
Рестораны,Нижний Новгород,Библиотека,Нижегородская область,,Кафе
Рестораны,Нижний Новгород,Mitrich,Нижегородская область,,
Рестораны,Нижний Новгород,Селедка & Кофе,Нижегородская область,,"Бар,Кафе"
Рестораны,Нижний Новгород,Шустрый Шмэль,Нижегородская область,,"Бар,Паб"
Рестораны,Нижний Новгород,Джани ресторан,Нижегородская область,,
Рестораны,Нижний Новгород,"Пельменная ""Лепи тесто""",Нижегородская область,,Кафе
Рестораны,Нижний Новгород,"Кафе ""Позавчера""",Нижегородская область,,"Бар,Кафе"
Рестораны,Нижний Новгород,Dodici Wine & Kitchen,Нижегородская область,,
Рестораны,Нижний Новгород,Le grill,Нижегородская область,,
Рестораны,Нижний Новгород,Южная кухня УГОЛЁК,Нижегородская область,,
Рестораны,Нижний Новгород,Franky,Нижегородская область,,Бар
Рестораны,Нижний Новгород,Negroni Bar&Enoteca,Нижегородская область,,Бар
Рестораны,Нижний Новгород,GAUCHO Bar.B.Q. & Grill,Нижегородская область,,
Рестораны,Дивеево,Кафе Пельменная,Нижегородская область,,
Рестораны,Федяково,Мушу,Нижегородская область,,
Рестораны,Нижний Новгород,Ресторация Ёж,Нижегородская область,,
Рестораны,Нижний Новгород,Surf Coffee,Нижегородская область,,
Рестораны,Нижний Новгород,Noot,Нижегородская область,,
Рестораны,Нижний Новгород,БаклаДжан,Нижегородская область,,
Рестораны,Нижний Новгород,Фонотека,Нижегородская область,,
Рестораны,Нижний Новгород,Пяткинъ,Нижегородская область,,
Рестораны,Нижний Новгород,Хачапури,Нижегородская область,,
Рестораны,Нижний Новгород,Хачапурия,Нижегородская область,,
Рестораны,Нижний Новгород,"Гастропаб ""Горьковская пивоварня""",Нижегородская область,,
Рестораны,Нижний Новгород,"Seafoodbar ""Рыба и Крабы""",Нижегородская область,,
Рестораны,Нижний Новгород,Кремлёвская столовая,Нижегородская область,,
Рестораны,Нижний Новгород,Трактир Патрон. Дикая кухня,Нижегородская область,,
Рестораны,Нижний Новгород,"Ресторан ""Премьер""",Нижегородская область,,
Рестораны,Нижний Новгород,Безухов,Нижегородская область,,
Рестораны,Нижний Новгород,Хинкальная,Нижегородская область,,Гастропаб
Рестораны,Нижний Новгород,Traveler's Coffee,Нижегородская область,,Кафе
Рестораны,Нижний Новгород,Три апельсина,Нижегородская область,,
Рестораны,Нижний Новгород,Тарантино Бар,Нижегородская область,,
Рестораны,Нижний Новгород,Наршараб,Нижегородская область,,
Рестораны,Нижний Новгород,Ресторан Никитин,Нижегородская область,,
Рестораны,Нижний Новгород,Barelli,Нижегородская область,,Кафе
Рестораны,Нижний Новгород,Тюбетейка,Нижегородская область,,
Рестораны,Арзамас,Реавиль,Нижегородская область,,
Рестораны,Нижний Новгород,Веселая кума,Нижегородская область,,
Рестораны,Нижний Новгород,Pronto Pizza & Pasta,Нижегородская область,,
Рестораны,Дивеево,Веранда,Нижегородская область,,
Рестораны,Нижний Новгород,МУККА,Нижегородская область,,
Рестораны,Кстово,Cipollino,Нижегородская область,,
Рестораны,Павлово,Ресторан Династия,Нижегородская область,,
Рестораны,Нижний Новгород,Бар Медные Трубы,Нижегородская область,,
Рестораны,Нижний Новгород,Бургерная БурЖуй,Нижегородская область,,"Быстрые перекусы,Бар"
Рестораны,Нижний Новгород,Pepe&Roni,Нижегородская область,,
Рестораны,Дивеево,Вкусная Всячина,Нижегородская область,,
Рестораны,Нижний Новгород,Винный бар Time for Wine,Нижегородская область,,
Рестораны,Нижний Новгород,Лукум,Нижегородская область,,Кафе
Рестораны,Нижний Новгород,Юла Pizza,Нижегородская область,,
Рестораны,Нижний Новгород,Bar&Joy,Нижегородская область,,
Рестораны,Нижний Новгород,ПАСТАРАМА,Нижегородская область,,
Рестораны,Дзержинск,Каравелла,Нижегородская область,,
Рестораны,Нижний Новгород,Волга,Нижегородская область,,Бар
Рестораны,Нижний Новгород,Ресторан Сова,Нижегородская область,,
Рестораны,Нижний Новгород,Горячо,Нижегородская область,,Бар
Рестораны,Нижний Новгород,Молоко,Нижегородская область,,
Рестораны,Нижний Новгород,ма Тина,Нижегородская область,,
Рестораны,Нижний Новгород,Кофейня Темп,Нижегородская область,,
Рестораны,Нижний Новгород,Дружкова Кружка,Нижегородская область,,"Бар,Паб"
Рестораны,Нижний Новгород,Берёзка бар,Нижегородская область,,"Бар,Паб"
