category,city,name,region,subcategory,tags
Рестораны,Петрозаводск,Ягель,Республика Карелия,,
Рестораны,Петрозаводск,Ресторан Карелия,Республика Карелия,,
Рестораны,Медвежьегорск,Едем&Едим,Республика Карелия,,
Рестораны,Сортавала,Акварель,Республика Карелия,,
Рестораны,Петрозаводск,Кафе Петрозаводск,Республика Карелия,,
Рестораны,Сортавала,Кафе Сеурахуоне,Республика Карелия,,"Кафе,Фастфуд"
Рестораны,Медвежьегорск,Медвежка,Республика Карелия,,
Рестораны,Петрозаводск,Миндаль,Республика Карелия,,
Рестораны,Петрозаводск,Crema Caffe,Республика Карелия,,Кафе
Рестораны,д. Рауталахти,Приладожье,Республика Карелия,,Кафе
Рестораны,Рускеала,Кафе Русколка,Республика Карелия,,
Рестораны,Сортавала,"Ресторан ""Пийпун Пиха""",Республика Карелия,,
Рестораны,Петрозаводск,Ресторан Пауланер,Республика Карелия,,Бар
Рестораны,Сортавала,Ресторан Густав Винтер,Республика Карелия,,
Рестораны,Петрозаводск,Оттолина,Республика Карелия,,Кафе
Рестораны,Петрозаводск,Бавариус,Республика Карелия,,Бар
Рестораны,Рускеала,Апельсин,Республика Карелия,,Кафе
Рестораны,Петрозаводск,Хинкальная хаус,Республика Карелия,,
Рестораны,пгт Вяртсиля,Кафе Янисмяки,Республика Карелия,,
Рестораны,Петрозаводск,Кавказ,Республика Карелия,,
Рестораны,Сортавала,Ресторан Ламберг,Республика Карелия,,
Рестораны,Сортавала,Акуловка,Республика Карелия,,Кафе
Рестораны,Петрозаводск,Вилга,Республика Карелия,,
Рестораны,Петрозаводск,Артист,Республика Карелия,,Кафе
Рестораны,Петрозаводск,Ресторан Фрегат,Республика Карелия,,
Рестораны,Петрозаводск,Fusion,Республика Карелия,,
Рестораны,Петрозаводск,Карельская горница,Республика Карелия,,
Рестораны,Петрозаводск,The Кухня,Республика Карелия,,"Бар,Кафе"
Рестораны,Сортавала,Кафе Релакс,Республика Карелия,,"Бар,Кафе"
Рестораны,Петрозаводск,Дежавю,Республика Карелия,,"Бар,Кафе"
Рестораны,Петрозаводск,Пекарня Беккер,Республика Карелия,,Быстрые перекусы
Рестораны,Петрозаводск,Kahvi&Salaatti,Республика Карелия,,
Рестораны,Петрозаводск,Петровский,Республика Карелия,,
Рестораны,Петрозаводск,70-е годы,Республика Карелия,,Кафе
Рестораны,Олонец,Столовая №5,Республика Карелия,,
Рестораны,Петрозаводск,La Parisienne,Республика Карелия,,
Рестораны,Петрозаводск,Coffee Shop,Республика Карелия,,Кафе
Рестораны,Петрозаводск,Додо Пицца,Республика Карелия,,
Рестораны,Петрозаводск,Ресторан Северный,Республика Карелия,,
Рестораны,Петрозаводск,ПТЗ,Республика Карелия,,"Бар,Паб"
Рестораны,Петрозаводск,Пекарня Bekker,Республика Карелия,,
Рестораны,Сегежа,Медвежий Угол,Республика Карелия,,
Рестораны,Петрозаводск,Burger King,Республика Карелия,,Фастфуд
Рестораны,Петрозаводск,Сушимания,Республика Карелия,,
Рестораны,Петрозаводск,У Али,Республика Карелия,,
Рестораны,Сортавала,Кинза,Республика Карелия,,
Рестораны,Петрозаводск,Saloon Sanches,Республика Карелия,,
Рестораны,Сортавала,Дом Берга,Республика Карелия,,
Рестораны,Петрозаводск,Solo Burger Bar,Республика Карелия,,
Рестораны,Кондопожский район,"кафе ""Коралл""",Республика Карелия,,
Рестораны,Петрозаводск,Cherchez La Femme,Республика Карелия,,
Рестораны,Костомукша,"Семейное кафе ""Микс""",Республика Карелия,,
Рестораны,Петрозаводск,Нойбранденбург,Республика Карелия,,Бар
Рестораны,Петрозаводск,Генацвале,Республика Карелия,,
Рестораны,Петрозаводск,Грин Стрит,Республика Карелия,,"Бар,Паб"
Рестораны,Петрозаводск,Сигма-Сити,Республика Карелия,,
Рестораны,Петрозаводск,Хан-Ган,Республика Карелия,,
Рестораны,Олонец,Кафе Прованс,Республика Карелия,,
Рестораны,Петрозаводск,Сациви,Республика Карелия,,
Рестораны,Сопоха,Рыбка,Республика Карелия,,
Рестораны,Медвежьегорск,Железнодорожник,Республика Карелия,,
Рестораны,Петрозаводск,Солнцевой,Республика Карелия,,
Рестораны,Кондопожский район,Truck Stop КАРЕЛИЯ,Республика Карелия,,
Рестораны,Петрозаводск,Яблочное,Республика Карелия,,
Рестораны,Петрозаводск,Петрозаводское ГОРПО,Республика Карелия,,
Рестораны,Петрозаводск,ПитСервис,Республика Карелия,,Фастфуд
Рестораны,Петрозаводск,Кафе Корсика,Республика Карелия,,Кафе
Рестораны,Сортавала,Кафе Ранта,Республика Карелия,,
Рестораны,Петрозаводск,Good Meal,Республика Карелия,,
Рестораны,Петрозаводск,Yes Pizza,Республика Карелия,,
Рестораны,Петрозаводск,Гермес,Республика Карелия,,Фастфуд
Рестораны,Петрозаводск,Набережная,Республика Карелия,,
Рестораны,Петрозаводск,Fellini,Республика Карелия,,Кафе
Рестораны,Костомукша,кафе Европа,Республика Карелия,,Кафе
Рестораны,Петрозаводск,Караван,Республика Карелия,,
Рестораны,Петрозаводск,Тик Тайм,Республика Карелия,,
Рестораны,Петрозаводск,KFC,Республика Карелия,,Фастфуд
Рестораны,Петрозаводск,Баскин Роббинс,Республика Карелия,,
Рестораны,Петрозаводск,Макдоналдс,Республика Карелия,,Фастфуд
Рестораны,Петрозаводск,SALAD Cafe,Республика Карелия,,
Рестораны,Петрозаводск,Кафе Алаверди,Республика Карелия,,
Рестораны,Петрозаводск,Чистый Вкус,Республика Карелия,,
Рестораны,Петрозаводск,Мираж Синема,Республика Карелия,,
Рестораны,Пряжинский район,Старая кузница,Республика Карелия,,Кафе
Рестораны,Петрозаводск,Абажур,Республика Карелия,,
Рестораны,Петрозаводск,Трюфель,Республика Карелия,,
Рестораны,Сегежа,Пицца Маэстро,Республика Карелия,,
Рестораны,Кондопожский район,Марио,Республика Карелия,,
Рестораны,Петрозаводск,Культура,Республика Карелия,,"Кафе,Фастфуд"
Рестораны,Петрозаводск,Бар на Набережная Гюллинга,Республика Карелия,,"Бар,Паб"
Рестораны,Лахденпохский район,"Блин, карельский",Республика Карелия,,
Рестораны,Петрозаводск,Небо Золотое,Республика Карелия,,
Рестораны,Петрозаводск,ГарантЪ,Республика Карелия,,
Рестораны,Петрозаводск,Папарацци,Республика Карелия,,Кафе
Рестораны,Кемь,"Ресторан ""Прибой""",Республика Карелия,,
Рестораны,Петрозаводск,Le Cafe,Республика Карелия,,
Рестораны,Петрозаводск,Republic Bar & Lounge,Республика Карелия,,Бар
Рестораны,Петрозаводск,Масленица,Республика Карелия,,
Рестораны,Петрозаводск,Village,Республика Карелия,,
Рестораны,Костомукша,Burger Club,Республика Карелия,,Фастфуд
