category,city,name,region,subcategory,tags
Рестораны,Рестораны Москвы,Ресторан Добрыня,Москва,,
Рестораны,Рестораны Москвы,Сабор де ла Вида Ресторан,Москва,,
Рестораны,Рестораны Москвы,Сапиенс эст,Москва,,
Рестораны,Рестораны Москвы,WE Cidreria,Москва,,Бар
Рестораны,Рестораны Москвы,АндерСон,Москва,,
Рестораны,Рестораны Москвы,Булошная,Москва,,Кафе
Рестораны,Рестораны Москвы,Вино и краб,Москва,,
Рестораны,Рестораны Москвы,Winil Wine Bar,Москва,,
Рестораны,Рестораны Москвы,Do not Disturb,Москва,,"Бар,Паб"
Рестораны,Рестораны Москвы,Корейский ресторан Белый журавль и магазин,Москва,,
Рестораны,Рестораны Москвы,Джумбус,Москва,,
Рестораны,Рестораны Москвы,Capito Cafe,Москва,,Бар
Рестораны,Рестораны Москвы,Виа Романо,Москва,,
Рестораны,Рестораны Москвы,Остерия Марио,Москва,,
Рестораны,Рестораны Москвы,Lure Oyster Bar,Москва,,
Рестораны,Рестораны Москвы,Стейк Хаус Бутчер,Москва,,
Рестораны,Рестораны Москвы,Остерия Марио,Москва,,
Рестораны,Рестораны Москвы,Брянский Бык,Москва,,
Рестораны,Рестораны Москвы,Молдова,Москва,,
Рестораны,Рестораны Москвы,Одесса-Мама,Москва,,
Рестораны,Рестораны Москвы,15 Kitchen + Bar,Москва,,
Рестораны,Рестораны Москвы,Будвар,Москва,,
Рестораны,Рестораны Москвы,Русский паб | Russian pub,Москва,,
Рестораны,Рестораны Москвы,Поместье Парк,Москва,,
Рестораны,Рестораны Москвы,ИТАЛОНИЯ,Москва,,
Рестораны,Рестораны Москвы,"Практика by Darvin, Ленком",Москва,,Бар
Рестораны,Рестораны Москвы,Leffe Cafe,Москва,,"Бар,Кафе"
Рестораны,Рестораны Москвы,Фермерский ресторан LavкаLavка,Москва,,
Рестораны,Рестораны Москвы,Megobari,Москва,,
Рестораны,Рестораны Москвы,Ресторан HONGKONG,Москва,,
Рестораны,Рестораны Москвы,Раковарня Ивана Раковара,Москва,,
Рестораны,Рестораны Москвы,Остерия Марио,Москва,,
Рестораны,Рестораны Москвы,Rакия бар,Москва,,
Рестораны,Рестораны Москвы,Хинкали Point,Москва,,
