category,city,name,region,subcategory,tags
Рестораны,Валдай,"Рыбный Ресторан ""Клевое Место""",Новгородская область,,
Рестораны,Великий Новгород,Дом коромыслом,Новгородская область,,Кафе
Рестораны,Великий Новгород,"Паб Стейк Хаус ""Oлдхэм""",Новгородская область,,Бар
Рестораны,Великий Новгород,Кафе Остров Черепах,Новгородская область,,Кафе
Рестораны,Боровичский район,Antonio,Новгородская область,,
Рестораны,Великий Новгород,My Kitchen - Псковская,Новгородская область,,
Рестораны,Великий Новгород,My Kitchen,Новгородская область,,
Рестораны,Великий Новгород,Дом Берга,Новгородская область,,
Рестораны,Великий Новгород,Zavodbar,Новгородская область,,Бар
Рестораны,Великий Новгород,Колобок,Новгородская область,,"Кафе,Фастфуд"
Рестораны,Великий Новгород,Чайхана Сказка,Новгородская область,,
Рестораны,Великий Новгород,Гастробар «Наffига Козе баян?!»,Новгородская область,,Паб
Рестораны,Великий Новгород,Кафе Телеграф,Новгородская область,,
Рестораны,Великий Новгород,"Траттория ""Тепло""",Новгородская область,,Кафе
Рестораны,Великий Новгород,"Кафе-кондитерская ""ХочуТорт""",Новгородская область,,Кафе
Рестораны,Великий Новгород,Семейное кафе Гурметто,Новгородская область,,
Рестораны,Великий Новгород,Клюква,Новгородская область,,
Рестораны,Великий Новгород,Хурма,Новгородская область,,Бар
Рестораны,Великий Новгород,Диез,Новгородская область,,
Рестораны,Великий Новгород,Майкрофт Паб,Новгородская область,,Бар
Рестораны,Великий Новгород,"Street food ""ДОМ БЫТА""",Новгородская область,,
Рестораны,Великий Новгород,Сказка,Новгородская область,,
Рестораны,Великий Новгород,Время Ч.,Новгородская область,,Кафе
Рестораны,Великий Новгород,Наполи,Новгородская область,,
Рестораны,Великий Новгород,Чародейка,Новгородская область,,Бар
Рестораны,Великий Новгород,"Кафе ""Шоколад""",Новгородская область,,
Рестораны,Великий Новгород,Сударушка,Новгородская область,,Кафе
Рестораны,Великий Новгород,Барашки,Новгородская область,,
Рестораны,Великий Новгород,La Chatte кафе,Новгородская область,,Кафе
Рестораны,Великий Новгород,Ресторанный комплекс MAY,Новгородская область,,
Рестораны,Великий Новгород,Усадьба,Новгородская область,,
Рестораны,Великий Новгород,Галерея,Новгородская область,,
Рестораны,Великий Новгород,Державный,Новгородская область,,
Рестораны,Валдай,Подворье,Новгородская область,,
Рестораны,Старая Русса,"кафе ""Башня""",Новгородская область,,Бар
Рестораны,Боровичский район,Олимп,Новгородская область,,
Рестораны,Великий Новгород,ВГости,Новгородская область,,
Рестораны,Великий Новгород,Додо пицца,Новгородская область,,
Рестораны,Великий Новгород,Акрон,Новгородская область,,Кафе
Рестораны,Великий Новгород,Золотой ковш,Новгородская область,,
Рестораны,Великий Новгород,БУРГЕР СТЕЙК,Новгородская область,,
Рестораны,Великий Новгород,Черный континент,Новгородская область,,Кафе
Рестораны,Великий Новгород,Bандам Бар,Новгородская область,,
Рестораны,Великий Новгород,Кафе на Сенной,Новгородская область,,Кафе
Рестораны,Великий Новгород,Джаз & Блюз Бар,Новгородская область,,"Бар,Паб"
Рестораны,Боровичский район,Любимая Чашка,Новгородская область,,
Рестораны,Зайцево,Зайцева гора,Новгородская область,,
Рестораны,Великий Новгород,Борщи,Новгородская область,,Кафе
Рестораны,Великий Новгород,На Старом Рынке,Новгородская область,,
Рестораны,Великий Новгород,Васаби,Новгородская область,,
Рестораны,Старая Русса,Полисть,Новгородская область,,Кафе
Рестораны,Великий Новгород,Скатерть-Самобранка,Новгородская область,,
Рестораны,Великий Новгород,"Пицерия ""Джойя""",Новгородская область,,
Рестораны,Великий Новгород,Веснянка,Новгородская область,,
Рестораны,Боровичский район,Пельменная,Новгородская область,,
Рестораны,Великий Новгород,Столовка,Новгородская область,,
Рестораны,Великий Новгород,Terraza,Новгородская область,,
Рестораны,Великий Новгород,Милена,Новгородская область,,"Бар,Паб"
Рестораны,Долгий Мост,Cafe Voyage,Новгородская область,,
Рестораны,Великий Новгород,"Акрополь ""ГИРОС""",Новгородская область,,
Рестораны,Великий Новгород,Скорофуд  Еда&Мьюзик БугиВуги,Новгородская область,,
Рестораны,Великий Новгород,Бавария,Новгородская область,,Фастфуд
Рестораны,Старая Русса,SOVA,Новгородская область,,Кафе
Рестораны,Великий Новгород,На Солнце,Новгородская область,,
Рестораны,Великий Новгород,Лофт бар «ДОМ БЫТА»,Новгородская область,,"Бар,Паб"
Рестораны,Валдай,Услада,Новгородская область,,Кафе
Рестораны,Великий Новгород,Кафе ОГУРЕЦ,Новгородская область,,Кафе
Рестораны,Боровичский район,Летний сад,Новгородская область,,
Рестораны,Великий Новгород,Шкипер,Новгородская область,,
Рестораны,Великий Новгород,"Кафе ""ПАПОРОТНИК""",Новгородская область,,
Рестораны,Старая Русса,Кулинария,Новгородская область,,
Рестораны,Великий Новгород,Кафе на Великой,Новгородская область,,
Рестораны,Великий Новгород,Кофемолка,Новгородская область,,Кафе
Рестораны,Великий Новгород,Кафе-Бар Beavers,Новгородская область,,
Рестораны,Великий Новгород,Турецкий DonaR,Новгородская область,,
Рестораны,Великий Новгород,KFC,Новгородская область,,Фастфуд
Рестораны,Великий Новгород,ПерSона,Новгородская область,,
Рестораны,Великий Новгород,Камелот,Новгородская область,,Паб
Рестораны,Великий Новгород,Макдоналдс,Новгородская область,,Фастфуд
Рестораны,Боровичский район,Рестобар ЮлА,Новгородская область,,
Рестораны,Великий Новгород,Bar XXX,Новгородская область,,
Рестораны,Великий Новгород,На Причале,Новгородская область,,
Рестораны,Боровичский район,EatWellCafe,Новгородская область,,
Рестораны,Великий Новгород,Золотая Подкова,Новгородская область,,
Рестораны,Великий Новгород,КофеМолка,Новгородская область,,
Рестораны,Великий Новгород,Кафе Jazz & Blues,Новгородская область,,Бар
Рестораны,Валдай,Кафе Горянка,Новгородская область,,Кафе
Рестораны,п. Любытино,Любытино-Хутор,Новгородская область,,
Рестораны,Великий Новгород,Екатерининская горка,Новгородская область,,Фастфуд
Рестораны,Великий Новгород,Альянс,Новгородская область,,
Рестораны,Великий Новгород,Крафти Пицца,Новгородская область,,
Рестораны,Великий Новгород,Тысяча и одна ночь,Новгородская область,,
Рестораны,Великий Новгород,Буги Вуги,Новгородская область,,
Рестораны,Чудово,Бургер-Кинг,Новгородская область,,
Рестораны,Великий Новгород,Мистер Пекиблин Блинная,Новгородская область,,
Рестораны,Великий Новгород,Кофейня Монокль,Новгородская область,,
Рестораны,Великий Новгород,Полюс,Новгородская область,,
Рестораны,Великий Новгород,А.З.С.,Новгородская область,,"Бар,Паб"
Рестораны,Великий Новгород,Доминион,Новгородская область,,
Рестораны,Бор,Coffee Like,Новгородская область,,
Рестораны,Великий Новгород,Ладья,Новгородская область,,
Рестораны,Великий Новгород,Кураж,Новгородская область,,
Рестораны,Nemchinova Gora,2СВ2,Новгородская область,,
Рестораны,Малая Вишера,Кафе БургерФорт,Новгородская область,,
Рестораны,Боровичский район,Счастливая Пекарня,Новгородская область,,
Рестораны,Пестово,Суши Фуд,Новгородская область,,
Рестораны,Великий Новгород,Марвел,Новгородская область,,Фастфуд
Рестораны,Великий Новгород,Счастливая Пекарня,Новгородская область,,
Рестораны,Валдай,Суши Фуд,Новгородская область,,
Рестораны,Великий Новгород,Mari Povari,Новгородская область,,
Рестораны,Великий Новгород,Матрешка,Новгородская область,,
Рестораны,Великий Новгород,Идеал,Новгородская область,,
Рестораны,Великий Новгород,На Объездной,Новгородская область,,
Рестораны,Великий Новгород,Бир Хауз,Новгородская область,,Паб
Рестораны,Великий Новгород,Центр Суши,Новгородская область,,
Рестораны,Великий Новгород,Ворлд Бир,Новгородская область,,
Рестораны,Великий Новгород,Столовая,Новгородская область,,
Рестораны,Боровичский район,Giza,Новгородская область,,
Рестораны,Великий Новгород,Фортуна,Новгородская область,,"Бар,Паб"
Рестораны,Великий Новгород,Кофемолка,Новгородская область,,
Рестораны,Боровичский район,КофеМолка,Новгородская область,,
Рестораны,Великий Новгород,Welcome,Новгородская область,,
Рестораны,Боровичский район,Кафе Ледового дворца Металлург,Новгородская область,,
Рестораны,Великий Новгород,Пончики,Новгородская область,,Кафе
Рестораны,Великий Новгород,ТРИ СОУСА,Новгородская область,,
Рестораны,Великий Новгород,РестоДискоБар REX,Новгородская область,,
Рестораны,Великий Новгород,1000 и одна ночь,Новгородская область,,
Рестораны,Великий Новгород,Встреча,Новгородская область,,Фастфуд
Рестораны,Великий Новгород,Адепт,Новгородская область,,Фастфуд
Рестораны,Великий Новгород,Жара,Новгородская область,,
Рестораны,Великий Новгород,Подкова,Новгородская область,,
Рестораны,Великий Новгород,Лагуна,Новгородская область,,
Рестораны,Великий Новгород,Оазис,Новгородская область,,
Рестораны,Великий Новгород,Павлин,Новгородская область,,Фастфуд
Рестораны,Великий Новгород,Зелёный огонёк,Новгородская область,,
Рестораны,Великий Новгород,Плакучая Ива,Новгородская область,,
Рестораны,Великий Новгород,Погребок Флинта,Новгородская область,,"Бар,Паб"
Рестораны,Великий Новгород,Три желания,Новгородская область,,Фастфуд
Рестораны,Великий Новгород,Дружба,Новгородская область,,
Рестораны,Великий Новгород,Кабриолет,Новгородская область,,
Рестораны,Великий Новгород,Причал,Новгородская область,,
Рестораны,Старая Русса,Рушане,Новгородская область,,
Рестораны,Зайцево,Любава,Новгородская область,,
Рестораны,Великий Новгород,Шансон,Новгородская область,,
Рестораны,Старая Русса,Аура,Новгородская область,,
Рестораны,Великий Новгород,Пив & Ко,Новгородская область,,
Рестораны,Окуловка,Суши Фуд,Новгородская область,,
Рестораны,Великий Новгород,Кошелёк,Новгородская область,,Кафе
Рестораны,Великий Новгород,"Столовая ""Проектстрой""",Новгородская область,,
Рестораны,Великий Новгород,Джасмин,Новгородская область,,
Рестораны,Великий Новгород,Антракт,Новгородская область,,
Рестораны,Великий Новгород,Филин,Новгородская область,,"Бар,Паб"
Рестораны,Великий Новгород,My Cake,Новгородская область,,
Рестораны,Великий Новгород,Емеля,Новгородская область,,
Рестораны,Великий Новгород,Бадемус,Новгородская область,,
Рестораны,Великий Новгород,Рабочий полдень,Новгородская область,,
Рестораны,Великий Новгород,Ontre,Новгородская область,,
Рестораны,Великий Новгород,Cafe Valentia,Новгородская область,,Кафе
Рестораны,Великий Новгород,Закусочная,Новгородская область,,
Рестораны,Великий Новгород,Вкусняшки,Новгородская область,,
Рестораны,Великий Новгород,Палуба,Новгородская область,,
Рестораны,Великий Новгород,Мечта,Новгородская область,,
Рестораны,Великий Новгород,Закусочная,Новгородская область,,
Рестораны,Великий Новгород,Сушишоп,Новгородская область,,
Рестораны,Великий Новгород,Good Morning,Новгородская область,,
Рестораны,Великий Новгород,Бавария,Новгородская область,,
Рестораны,Великий Новгород,Сушишоп,Новгородская область,,
Рестораны,Великий Новгород,Панковка,Новгородская область,,Фастфуд
Рестораны,Великий Новгород,Винни Вино Бар,Новгородская область,,
Рестораны,Великий Новгород,Корица,Новгородская область,,Кафе
