category,city,name,region,subcategory,tags
Рестораны,Самара,Ферма,Самарская область,,"Бар,Кафе"
Рестораны,Самара,Shamrock,Самарская область,,Бар
Рестораны,Самара,Три оленя,Самарская область,,
Рестораны,Самара,Кембридж кафе,Самарская область,,"Бар,Паб"
Рестораны,Самара,Пармиджано,Самарская область,,
Рестораны,Тольятти,Базилик,Самарская область,,
Рестораны,Тольятти,20 Франков,Самарская область,,
Рестораны,Самара,Уютное кафе Бенджамин,Самарская область,,"Бар,Кафе"
Рестораны,Самара,Перчини,Самарская область,,Бар
Рестораны,Самара,Кафе Puri,Самарская область,,
Рестораны,Самара,Перчини Grill&Wine,Самарская область,,
Рестораны,Самара,Перчини Grill&Wine,Самарская область,,
Рестораны,Самара,Чучвара,Самарская область,,Кафе
Рестораны,Самара,Бар & Гриль МясО,Самарская область,,Бар
Рестораны,Самара,Перчини Пицца & Паста,Самарская область,,
Рестораны,Самара,Чучвара,Самарская область,,
Рестораны,Самара,Хачапурия,Самарская область,,
Рестораны,Тольятти,Il Grano,Самарская область,,
Рестораны,Тольятти,Изюм,Самарская область,,
Рестораны,Тольятти,Карл и Клара,Самарская область,,
Рестораны,Самара,Патари,Самарская область,,
Рестораны,Самара,Эклерная,Самарская область,,
Рестораны,Тольятти,Швейк,Самарская область,,Бар
Рестораны,Самара,Чайхона №1,Самарская область,,
Рестораны,Самара,Буфет на Соловьиной,Самарская область,,
Рестораны,Тольятти,Редкая птица,Самарская область,,
Рестораны,Самара,КипятокЪ,Самарская область,,
Рестораны,Тольятти,Восьмая миля,Самарская область,,
Рестораны,Тольятти,Union Bar,Самарская область,,
Рестораны,Тольятти,Ведро гвоздей,Самарская область,,Бар
Рестораны,Самара,Serbian Grill,Самарская область,,Кафе
Рестораны,Тольятти,Хлопок,Самарская область,,
Рестораны,Самара,Прага,Самарская область,,
Рестораны,Самара,Блинари,Самарская область,,
Рестораны,Самара,Галерея Ресторанов,Самарская область,,Бар
Рестораны,Тольятти,Удачное место,Самарская область,,Кафе
Рестораны,Самара,Cucina Casu,Самарская область,,
Рестораны,Самара,Da Luciano,Самарская область,,
Рестораны,Самара,Ресторан Честных Цен,Самарская область,,
Рестораны,Самара,Балкан Гриль,Самарская область,,
Рестораны,Самара,Friends Фуджи суши,Самарская область,,
Рестораны,Самара,Мята,Самарская область,,
Рестораны,Самара,Биджо,Самарская область,,
Рестораны,Самара,Ресторан Бразерия,Самарская область,,
Рестораны,Самара,Harat's pub в Самаре на Дачной (Хэратс паб),Самарская область,,
Рестораны,Самара,Максимилианс,Самарская область,,Бар
Рестораны,Самара,"Фуджи Суши ""Friends""",Самарская область,,
Рестораны,Самара,Лепрекон Бар,Самарская область,,
Рестораны,Тольятти,Усадьба,Самарская область,,
Рестораны,Тольятти,КакаоМама,Самарская область,,Кафе
Рестораны,Самара,Черчилль Bar,Самарская область,,
Рестораны,Самара,Дом Нино,Самарская область,,
Рестораны,Тольятти,Джон Сильвер,Самарская область,,Паб
Рестораны,Самара,Спотыкач,Самарская область,,
Рестораны,Самара,Хоровод,Самарская область,,
Рестораны,Самара,Хэдвуд,Самарская область,,
Рестораны,Сызрань,Панорама,Самарская область,,
Рестораны,Тольятти,ГОСТИ - Винный ресторан,Самарская область,,
Рестораны,Самара,Чайка,Самарская область,,"Бар,Паб"
Рестораны,Самара,Искра,Самарская область,,
Рестораны,Сызрань,Кафе У Кремля,Самарская область,,
Рестораны,Самара,Vinoterria,Самарская область,,
Рестораны,Самара,Пилзнер,Самарская область,,"Бар,Паб"
Рестораны,Тольятти,ЛюБлины,Самарская область,,
Рестораны,Тольятти,Хороший,Самарская область,,
Рестораны,Самара,Трактир У Палыча,Самарская область,,Фастфуд
Рестораны,Тольятти,Оливка,Самарская область,,
Рестораны,Самара,Vinograd,Самарская область,,
Рестораны,Самара,Хинкали & Хачапури,Самарская область,,
Рестораны,Самара,Марракеш,Самарская область,,Фастфуд
Рестораны,Самара,Jaw Pike,Самарская область,,"Бар,Паб"
Рестораны,Самара,Крем и Брюле,Самарская область,,
Рестораны,Самара,Три Оленя,Самарская область,,
Рестораны,Тольятти,Vesna,Самарская область,,Бар
Рестораны,Самара,Мама Люба,Самарская область,,
Рестораны,Самара,The Burger Out,Самарская область,,
Рестораны,Самара,Гитар Бар,Самарская область,,Бар
Рестораны,Самара,Route Bar ,Самарская область,,
Рестораны,Тольятти,Чеширский кот,Самарская область,,
Рестораны,Тольятти,Hollywood,Самарская область,,
Рестораны,Самара,Sehr Gut,Самарская область,,
Рестораны,Самара,Столовушка,Самарская область,,
Рестораны,Самара,Сидрерия Пива Нет,Самарская область,,
Рестораны,Самара,La Petite,Самарская область,,
Рестораны,Самара,Sky Bar,Самарская область,,
Рестораны,Самара,Robbi Cafe Italiano,Самарская область,,
Рестораны,Самара,Мушмула,Самарская область,,
Рестораны,Самара,Парбург,Самарская область,,Бар
Рестораны,Самара,Лагманная,Самарская область,,
Рестораны,Курумоч,Три Оленя,Самарская область,,
Рестораны,Самара,Пряный барашек,Самарская область,,
Рестораны,Самара,Покетерий,Самарская область,,
Рестораны,Самара,Ирландский бар PUB47,Самарская область,,
Рестораны,Самара,ТОСЁ,Самарская область,,
Рестораны,Тольятти,Восьмая миля Мотель,Самарская область,,
Рестораны,Самара,Surf Coffee x Globe,Самарская область,,
Рестораны,Самара,ДАДИ,Самарская область,,
Рестораны,Самара,Black Rabbit,Самарская область,,
Рестораны,Самара,Проливошная,Самарская область,,
Рестораны,Тольятти,Цуккини,Самарская область,,
Рестораны,Самара,Клауд Кафе,Самарская область,,
Рестораны,Самара,Прохлада,Самарская область,,
Рестораны,Самара,"Кафе "" 1 Рай""",Самарская область,,
Рестораны,Самара,LOBBY BAR Imperial,Самарская область,,
Рестораны,Самара,АОШИ,Самарская область,,"Бар,Паб"
Рестораны,Самара,Джузеппе,Самарская область,,
Рестораны,Самара,Мега Суши,Самарская область,,
Рестораны,Самара,Баскин Роббинс,Самарская область,,
Рестораны,Самара,Градус Доверия,Самарская область,,Бар
Рестораны,Самара,Breeze,Самарская область,,
Рестораны,Самара,Ресторан-бар Библиотека,Самарская область,,Паб
Рестораны,Самара,У Ханумы,Самарская область,,"Бар,Паб"
Рестораны,Тольятти,"Гастропаб ""Шале""",Самарская область,,
Рестораны,Самара,Хлебница,Самарская область,,
Рестораны,Самара,"Фуджи Суши ""Friends""",Самарская область,,
Рестораны,Самара,Luigi,Самарская область,,
Рестораны,Тольятти,Чайхана «Ай-Вай»,Самарская область,,
Рестораны,Сызрань,ресторан Трактир,Самарская область,,
Рестораны,Самара,Штолле,Самарская область,,Кафе
Рестораны,Самара,Coffee Jungle,Самарская область,,
Рестораны,Самара,Sunlight,Самарская область,,
Рестораны,Самара,Ресторан Francesco,Самарская область,,
Рестораны,Самара,Баскин Роббинс,Самарская область,,
Рестораны,Самара,Додо Пицца,Самарская область,,
Рестораны,Самара,Сказка,Самарская область,,
Рестораны,Самара,Голодная пиранья,Самарская область,,"Бар,Паб"
Рестораны,Самара,City of LONDON,Самарская область,,Кафе
Рестораны,Самара,Швейк,Самарская область,,
Рестораны,Самара,Спроси Француза,Самарская область,,
Рестораны,Самара,Ин Альто Итальянский Ресторан,Самарская область,,
Рестораны,Самара,МясоRooB,Самарская область,,
Рестораны,Самара,Ла Мезон,Самарская область,,
Рестораны,Тольятти,Ресторан ЛАДЬЯ,Самарская область,,
Рестораны,Самара,Чебуречная,Самарская область,,
Рестораны,Самара,Настроение Есть,Самарская область,,
Рестораны,Самара,Золотая пагода,Самарская область,,
Рестораны,Самара,ЦСК ВВС,Самарская область,,Фастфуд
Рестораны,Самара,Pleasures,Самарская область,,"Бар,Кафе,Паб"
Рестораны,Самара,Суши-Шоп,Самарская область,,
Рестораны,Самара,Omni Чайхана,Самарская область,,
Рестораны,Самара,Кафе Вена,Самарская область,,
Рестораны,Самара,ресторан Волга,Самарская область,,
Рестораны,Самара,IBIS Kitchen,Самарская область,,
Рестораны,Самара,Старая Пристань,Самарская область,,
Рестораны,Самара,The Soup,Самарская область,,
Рестораны,Самара,Хац Хаус,Самарская область,,
Рестораны,Тольятти,Амбар,Самарская область,,
Рестораны,Тольятти,Маяковский,Самарская область,,
Рестораны,Самара,Пир,Самарская область,,
Рестораны,Тольятти,Шири,Самарская область,,
Рестораны,Самара,Beerhouse,Самарская область,,
Рестораны,Самара,Папа Рядом Гриль-Паб,Самарская область,,
Рестораны,Тольятти,Сосновый бор,Самарская область,,
Рестораны,Тольятти,La Fattoria,Самарская область,,
Рестораны,Самара,Ал-Халал,Самарская область,,
Рестораны,Самара,Art & Fact,Самарская область,,
Рестораны,Самара,Picolla Pizza,Самарская область,,
Рестораны,Самара,Coffee Bean,Самарская область,,Кафе
Рестораны,Тольятти,Эдгар,Самарская область,,Кафе
Рестораны,Самара,Traveler's Coffee,Самарская область,,
Рестораны,Сызрань,Траттория,Самарская область,,
Рестораны,Самара,Subway,Самарская область,,Фастфуд
Рестораны,Тольятти,Кинто,Самарская область,,
Рестораны,Сызрань,Веранда,Самарская область,,
Рестораны,Новокуйбышевск,Ретро,Самарская область,,
Рестораны,Самара,Khutorok Ridniy,Самарская область,,
Рестораны,Самара,Макдоналдс,Самарская область,,Фастфуд
Рестораны,Тольятти,Святая Корова,Самарская область,,Бар
Рестораны,Самара,Лаврушка,Самарская область,,"Кафе,Фастфуд"
Рестораны,Тольятти,Кантина Мука,Самарская область,,
Рестораны,Самара,Лапша,Самарская область,,
Рестораны,Самара,Папа Джонс,Самарская область,,
Рестораны,Тольятти,Ау,Самарская область,,Кафе
Рестораны,Самара,Heavy Smoke Lounge,Самарская область,,
Рестораны,Тольятти,Папа Джонс,Самарская область,,
Рестораны,Самара,Пельменная дюжина,Самарская область,,
Рестораны,Самара,Сицилия,Самарская область,,
Рестораны,Тольятти,Аббатское,Самарская область,,Паб
Рестораны,Новокуйбышевск,Ташир Пицца,Самарская область,,Фастфуд
Рестораны,Самара,Макдоналдс,Самарская область,,Фастфуд
Рестораны,Самара,Утесов,Самарская область,,
Рестораны,Тольятти,Дрова,Самарская область,,Кафе
Рестораны,Тольятти,Маленький Париж,Самарская область,,Паб
Рестораны,Самара,Sirocco Lounge Bar,Самарская область,,
Рестораны,Самара,Кукарача,Самарская область,,
Рестораны,Тольятти,Ресторан Атаман,Самарская область,,
Рестораны,Самара,Biscuit,Самарская область,,
Рестораны,Самара,Наше место,Самарская область,,
Рестораны,Тольятти,Террасса,Самарская область,,
Рестораны,Самара,Милано,Самарская область,,
Рестораны,Самара,Чебуречная,Самарская область,,
Рестораны,Самара,New Garden,Самарская область,,
Рестораны,Самара,Пена,Самарская область,,Паб
Рестораны,Самара,Prohlada,Самарская область,,
Рестораны,Самара,Ресторан Честных Цен,Самарская область,,Бар
Рестораны,Самара,Хокку,Самарская область,,
Рестораны,Самара,Like Pizza,Самарская область,,
Рестораны,Самара,Атриум,Самарская область,,"Бар,Паб"
Рестораны,Тольятти,Папа Пекарь,Самарская область,,Фастфуд
Рестораны,Тольятти,Крошка Япошка,Самарская область,,
Рестораны,Самара,Солнечный рай,Самарская область,,
Рестораны,Самара,Cozy кафе,Самарская область,,
Рестораны,Тольятти,Додо Пицца,Самарская область,,
Рестораны,Самара,KFC,Самарская область,,
Рестораны,Самара,Жили-Были,Самарская область,,
Рестораны,Самара,Шашлык Хаус,Самарская область,,
Рестораны,Самара,Чайковский,Самарская область,,
Рестораны,Сызрань,Винтаж,Самарская область,,
Рестораны,Самара,Фон Вакано 1881,Самарская область,,
Рестораны,Самара,IPho Cafe,Самарская область,,
Рестораны,Самара,Додо пицца,Самарская область,,
Рестораны,Самара,Friends фуджи суши,Самарская область,,
Рестораны,Самара,McDonald's,Самарская область,,
Рестораны,Самара,Винил,Самарская область,,
Рестораны,Самара,Пастернак,Самарская область,,
Рестораны,Тольятти,Имбирь,Самарская область,,
Рестораны,Самара,Камеди Кафе,Самарская область,,Кафе
Рестораны,Самара,Farrini,Самарская область,,
