Широта	Долгота	Наименование	Адрес	Категория	Подкатегория	Дата	Тип даты
53.06907	158.60747	Научный музей вулканологии	бульвар Пийпа, 9, Петропавловск-Камчатский 683006 Россия	Достопримечательности	Музеи	2020-10-01	q
53.06907	158.60747	Научный музей вулканологии	бульвар Пийпа, 9, Петропавловск-Камчатский 683006 Россия	Достопримечательности	Музеи	2020-07-01	q
53.06907	158.60747	Научный музей вулканологии	бульвар Пийпа, 9, Петропавловск-Камчатский 683006 Россия	Достопримечательности	Музеи	2020-04-01	q
53.06907	158.60747	Научный музей вулканологии	бульвар Пийпа, 9, Петропавловск-Камчатский 683006 Россия	Достопримечательности	Музеи	2020-01-01	q
53.06907	158.60747	Научный музей вулканологии	бульвар Пийпа, 9, Петропавловск-Камчатский 683006 Россия	Достопримечательности	Музеи	2019-10-01	q
53.06907	158.60747	Научный музей вулканологии	бульвар Пийпа, 9, Петропавловск-Камчатский 683006 Россия	Достопримечательности	Музеи	2019-07-01	q
53.06907	158.60747	Научный музей вулканологии	бульвар Пийпа, 9, Петропавловск-Камчатский 683006 Россия	Достопримечательности	Музеи	2019-04-01	q
53.06907	158.60747	Научный музей вулканологии	бульвар Пийпа, 9, Петропавловск-Камчатский 683006 Россия	Достопримечательности	Музеи	2019-01-01	q
53.06907	158.60747	Научный музей вулканологии	бульвар Пийпа, 9, Петропавловск-Камчатский 683006 Россия	Достопримечательности	Музеи	2018-10-01	q
53.06907	158.60747	Научный музей вулканологии	бульвар Пийпа, 9, Петропавловск-Камчатский 683006 Россия	Достопримечательности	Музеи	2018-07-01	q
53.06907	158.60747	Научный музей вулканологии	бульвар Пийпа, 9, Петропавловск-Камчатский 683006 Россия	Достопримечательности	Музеи	2018-04-01	q
53.06907	158.60747	Научный музей вулканологии	бульвар Пийпа, 9, Петропавловск-Камчатский 683006 Россия	Достопримечательности	Музеи	2018-01-01	q
53.06907	158.60747	Научный музей вулканологии	бульвар Пийпа, 9, Петропавловск-Камчатский 683006 Россия	Достопримечательности	Музеи	2020-01-01	y
53.06907	158.60747	Научный музей вулканологии	бульвар Пийпа, 9, Петропавловск-Камчатский 683006 Россия	Достопримечательности	Музеи	2019-01-01	y
53.06907	158.60747	Научный музей вулканологии	бульвар Пийпа, 9, Петропавловск-Камчатский 683006 Россия	Достопримечательности	Музеи	2018-01-01	y
52.44899	158.19577	Вулкан Мутновский	Петропавловск-Камчатский Россия	Достопримечательности	Парки	2020-10-01	q
52.44899	158.19577	Вулкан Мутновский	Петропавловск-Камчатский Россия	Достопримечательности	Парки	2020-07-01	q
52.44899	158.19577	Вулкан Мутновский	Петропавловск-Камчатский Россия	Достопримечательности	Парки	2020-04-01	q
52.44899	158.19577	Вулкан Мутновский	Петропавловск-Камчатский Россия	Достопримечательности	Парки	2020-01-01	q
52.44899	158.19577	Вулкан Мутновский	Петропавловск-Камчатский Россия	Достопримечательности	Парки	2019-10-01	q
52.44899	158.19577	Вулкан Мутновский	Петропавловск-Камчатский Россия	Достопримечательности	Парки	2019-07-01	q
52.44899	158.19577	Вулкан Мутновский	Петропавловск-Камчатский Россия	Достопримечательности	Парки	2019-04-01	q
52.44899	158.19577	Вулкан Мутновский	Петропавловск-Камчатский Россия	Достопримечательности	Парки	2019-01-01	q
52.44899	158.19577	Вулкан Мутновский	Петропавловск-Камчатский Россия	Достопримечательности	Парки	2018-10-01	q
