Широта	Долгота	Наименование	Адрес	Категория	Подкатегория	Дата	Тип даты
52.60429	39.60308	Липецкий зоопарк	ул. К. Маркса, 9, Липецк 398059 Россия	Отдых/развлечения/спорт	Развлечения	2020-10-01	q
52.60429	39.60308	Липецкий зоопарк	ул. К. Маркса, 9, Липецк 398059 Россия	Отдых/развлечения/спорт	Развлечения	2020-07-01	q
52.60429	39.60308	Липецкий зоопарк	ул. К. Маркса, 9, Липецк 398059 Россия	Отдых/развлечения/спорт	Развлечения	2020-04-01	q
52.60429	39.60308	Липецкий зоопарк	ул. К. Маркса, 9, Липецк 398059 Россия	Отдых/развлечения/спорт	Развлечения	2020-01-01	q
52.60429	39.60308	Липецкий зоопарк	ул. К. Маркса, 9, Липецк 398059 Россия	Отдых/развлечения/спорт	Развлечения	2019-10-01	q
52.60429	39.60308	Липецкий зоопарк	ул. К. Маркса, 9, Липецк 398059 Россия	Отдых/развлечения/спорт	Развлечения	2019-07-01	q
52.60429	39.60308	Липецкий зоопарк	ул. К. Маркса, 9, Липецк 398059 Россия	Отдых/развлечения/спорт	Развлечения	2019-04-01	q
52.60429	39.60308	Липецкий зоопарк	ул. К. Маркса, 9, Липецк 398059 Россия	Отдых/развлечения/спорт	Развлечения	2019-01-01	q
52.60429	39.60308	Липецкий зоопарк	ул. К. Маркса, 9, Липецк 398059 Россия	Отдых/развлечения/спорт	Развлечения	2018-10-01	q
52.60429	39.60308	Липецкий зоопарк	ул. К. Маркса, 9, Липецк 398059 Россия	Отдых/развлечения/спорт	Развлечения	2018-07-01	q
52.60429	39.60308	Липецкий зоопарк	ул. К. Маркса, 9, Липецк 398059 Россия	Отдых/развлечения/спорт	Развлечения	2018-04-01	q
52.60429	39.60308	Липецкий зоопарк	ул. К. Маркса, 9, Липецк 398059 Россия	Отдых/развлечения/спорт	Развлечения	2018-01-01	q
52.60429	39.60308	Липецкий зоопарк	ул. К. Маркса, 9, Липецк 398059 Россия	Отдых/развлечения/спорт	Развлечения	2020-01-01	y
52.60429	39.60308	Липецкий зоопарк	ул. К. Маркса, 9, Липецк 398059 Россия	Отдых/развлечения/спорт	Развлечения	2019-01-01	y
52.60429	39.60308	Липецкий зоопарк	ул. К. Маркса, 9, Липецк 398059 Россия	Отдых/развлечения/спорт	Развлечения	2018-01-01	y
52.60677	39.6086	Памятник Народовольцам	Нижний Парк, Липецк Россия	Достопримечательности	Культурные объекты	2020-10-01	q
52.60677	39.6086	Памятник Народовольцам	Нижний Парк, Липецк Россия	Достопримечательности	Культурные объекты	2020-07-01	q
52.60677	39.6086	Памятник Народовольцам	Нижний Парк, Липецк Россия	Достопримечательности	Культурные объекты	2020-04-01	q
52.60677	39.6086	Памятник Народовольцам	Нижний Парк, Липецк Россия	Достопримечательности	Культурные объекты	2020-01-01	q
52.60677	39.6086	Памятник Народовольцам	Нижний Парк, Липецк Россия	Достопримечательности	Культурные объекты	2019-10-01	q
52.60677	39.6086	Памятник Народовольцам	Нижний Парк, Липецк Россия	Достопримечательности	Культурные объекты	2019-07-01	q
52.60677	39.6086	Памятник Народовольцам	Нижний Парк, Липецк Россия	Достопримечательности	Культурные объекты	2019-04-01	q
52.60677	39.6086	Памятник Народовольцам	Нижний Парк, Липецк Россия	Достопримечательности	Культурные объекты	2019-01-01	q
52.60677	39.6086	Памятник Народовольцам	Нижний Парк, Липецк Россия	Достопримечательности	Культурные объекты	2018-10-01	q
52.60677	39.6086	Памятник Народовольцам	Нижний Парк, Липецк Россия	Достопримечательности	Культурные объекты	2018-07-01	q
52.60677	39.6086	Памятник Народовольцам	Нижний Парк, Липецк Россия	Достопримечательности	Культурные объекты	2018-04-01	q
52.60677	39.6086	Памятник Народовольцам	Нижний Парк, Липецк Россия	Достопримечательности	Культурные объекты	2018-01-01	q
52.60677	39.6086	Памятник Народовольцам	Нижний Парк, Липецк Россия	Достопримечательности	Культурные объекты	2020-01-01	y
52.60677	39.6086	Памятник Народовольцам	Нижний Парк, Липецк Россия	Достопримечательности	Культурные объекты	2019-01-01	y
52.60677	39.6086	Памятник Народовольцам	Нижний Парк, Липецк Россия	Достопримечательности	Культурные объекты	2018-01-01	y
52.60291	38.49753	Дом-Музей Елецкого Кружева	ул. Октябрьская, 108, Елец Россия	Достопримечательности	Музеи	2020-10-01	q
52.60291	38.49753	Дом-Музей Елецкого Кружева	ул. Октябрьская, 108, Елец Россия	Достопримечательности	Музеи	2020-07-01	q
52.60291	38.49753	Дом-Музей Елецкого Кружева	ул. Октябрьская, 108, Елец Россия	Достопримечательности	Музеи	2020-04-01	q
52.60291	38.49753	Дом-Музей Елецкого Кружева	ул. Октябрьская, 108, Елец Россия	Достопримечательности	Музеи	2020-01-01	q
52.60291	38.49753	Дом-Музей Елецкого Кружева	ул. Октябрьская, 108, Елец Россия	Достопримечательности	Музеи	2019-10-01	q
52.60291	38.49753	Дом-Музей Елецкого Кружева	ул. Октябрьская, 108, Елец Россия	Достопримечательности	Музеи	2019-07-01	q
52.60291	38.49753	Дом-Музей Елецкого Кружева	ул. Октябрьская, 108, Елец Россия	Достопримечательности	Музеи	2019-04-01	q
52.60291	38.49753	Дом-Музей Елецкого Кружева	ул. Октябрьская, 108, Елец Россия	Достопримечательности	Музеи	2019-01-01	q
52.60291	38.49753	Дом-Музей Елецкого Кружева	ул. Октябрьская, 108, Елец Россия	Достопримечательности	Музеи	2018-10-01	q
52.60291	38.49753	Дом-Музей Елецкого Кружева	ул. Октябрьская, 108, Елец Россия	Достопримечательности	Музеи	2018-07-01	q
