Широта	Долгота	Наименование	Адрес	Категория	Подкатегория	Дата	Тип даты
54.12309	37.58621	Тульский Государственный Музей Оружия	ул. Октябрьская, 2 Кремль, Тула 300026 Россия	Достопримечательности	Культурные объекты	2020-10-01	q
54.12309	37.58621	Тульский Государственный Музей Оружия	ул. Октябрьская, 2 Кремль, Тула 300026 Россия	Достопримечательности	Культурные объекты	2020-07-01	q
54.12309	37.58621	Тульский Государственный Музей Оружия	ул. Октябрьская, 2 Кремль, Тула 300026 Россия	Достопримечательности	Культурные объекты	2020-04-01	q
54.12309	37.58621	Тульский Государственный Музей Оружия	ул. Октябрьская, 2 Кремль, Тула 300026 Россия	Достопримечательности	Культурные объекты	2020-01-01	q
54.12309	37.58621	Тульский Государственный Музей Оружия	ул. Октябрьская, 2 Кремль, Тула 300026 Россия	Достопримечательности	Культурные объекты	2019-10-01	q
54.12309	37.58621	Тульский Государственный Музей Оружия	ул. Октябрьская, 2 Кремль, Тула 300026 Россия	Достопримечательности	Культурные объекты	2019-07-01	q
54.12309	37.58621	Тульский Государственный Музей Оружия	ул. Октябрьская, 2 Кремль, Тула 300026 Россия	Достопримечательности	Культурные объекты	2019-04-01	q
54.12309	37.58621	Тульский Государственный Музей Оружия	ул. Октябрьская, 2 Кремль, Тула 300026 Россия	Достопримечательности	Культурные объекты	2019-01-01	q
54.12309	37.58621	Тульский Государственный Музей Оружия	ул. Октябрьская, 2 Кремль, Тула 300026 Россия	Достопримечательности	Культурные объекты	2018-10-01	q
54.12309	37.58621	Тульский Государственный Музей Оружия	ул. Октябрьская, 2 Кремль, Тула 300026 Россия	Достопримечательности	Культурные объекты	2018-07-01	q
54.12309	37.58621	Тульский Государственный Музей Оружия	ул. Октябрьская, 2 Кремль, Тула 300026 Россия	Достопримечательности	Культурные объекты	2018-04-01	q
54.12309	37.58621	Тульский Государственный Музей Оружия	ул. Октябрьская, 2 Кремль, Тула 300026 Россия	Достопримечательности	Культурные объекты	2018-01-01	q
54.12309	37.58621	Тульский Государственный Музей Оружия	ул. Октябрьская, 2 Кремль, Тула 300026 Россия	Достопримечательности	Культурные объекты	2020-01-01	y
54.12309	37.58621	Тульский Государственный Музей Оружия	ул. Октябрьская, 2 Кремль, Тула 300026 Россия	Достопримечательности	Культурные объекты	2019-01-01	y
54.12309	37.58621	Тульский Государственный Музей Оружия	ул. Октябрьская, 2 Кремль, Тула 300026 Россия	Достопримечательности	Культурные объекты	2018-01-01	y
53.96754	38.54155	Водонапорная башня	ул. Бессолова, Кимовск Россия	Достопримечательности	Культурные объекты	2020-10-01	q
53.96754	38.54155	Водонапорная башня	ул. Бессолова, Кимовск Россия	Достопримечательности	Культурные объекты	2020-07-01	q
53.96754	38.54155	Водонапорная башня	ул. Бессолова, Кимовск Россия	Достопримечательности	Культурные объекты	2020-04-01	q
53.96754	38.54155	Водонапорная башня	ул. Бессолова, Кимовск Россия	Достопримечательности	Культурные объекты	2020-01-01	q
53.96754	38.54155	Водонапорная башня	ул. Бессолова, Кимовск Россия	Достопримечательности	Культурные объекты	2019-10-01	q
53.96754	38.54155	Водонапорная башня	ул. Бессолова, Кимовск Россия	Достопримечательности	Культурные объекты	2019-07-01	q
53.96754	38.54155	Водонапорная башня	ул. Бессолова, Кимовск Россия	Достопримечательности	Культурные объекты	2019-04-01	q
53.96754	38.54155	Водонапорная башня	ул. Бессолова, Кимовск Россия	Достопримечательности	Культурные объекты	2019-01-01	q
53.96754	38.54155	Водонапорная башня	ул. Бессолова, Кимовск Россия	Достопримечательности	Культурные объекты	2018-10-01	q
53.96754	38.54155	Водонапорная башня	ул. Бессолова, Кимовск Россия	Достопримечательности	Культурные объекты	2018-07-01	q
